LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709251145.865176,1074421.000,49672,4,EM,1,100,RS
1709251145.865176,1074421.000,49672,4,EM,1,100,RB
1709251145.865176,1074421.000,49672,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251145.865176,1074421.000,49672,4,EM,1,100,PS
1709251145.915426,1074471.250,49704,4,EM,1,100,RS
1709251145.965676,1074521.500,49704,4,EM,1,100,RB
1709251146.015925,1074571.750,49704,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251146.066175,1074622.000,49704,4,EM,1,100,PS
1709251146.117174,1074673.000,49737,4,EM,1,100,RS
1709251146.168174,1074724.000,49737,4,EM,1,100,RB
1709251146.219174,1074775.000,49737,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251146.270173,1074826.000,49737,4,EM,1,100,PS
1709251146.320173,1074876.000,49769,4,EM,1,100,RS
1709251146.370173,1074926.000,49769,4,EM,1,100,RB
1709251146.420172,1074976.000,49769,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251146.470172,1075026.000,49769,4,EM,1,100,PS
1709251146.520422,1075076.250,49803,4,EM,1,100,RS
1709251146.570671,1075126.500,49803,4,EM,1,100,RB
1709251146.620921,1075176.750,49803,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251146.671171,1075227.000,49803,4,EM,1,100,PS
1709251146.721420,1075277.250,49835,4,EM,1,100,RS
1709251146.771670,1075327.500,49835,4,EM,1,100,RB
1709251146.821920,1075377.750,49835,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251146.872169,1075428.000,49835,4,EM,1,100,PS
1709251146.922419,1075478.250,49870,4,EM,1,100,RS
1709251146.972669,1075528.500,49870,4,EM,1,100,RB
1709251147.022918,1075578.750,49870,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251147.073168,1075629.000,49870,4,EM,1,100,PS
1709251147.123417,1075679.250,49904,4,EM,1,100,RS
1709251147.173667,1075729.500,49904,4,EM,1,100,RB
1709251147.223917,1075779.750,49904,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251147.274166,1075830.000,49904,4,EM,1,100,PS
1709251147.324416,1075880.250,49935,4,EM,1,100,RS
1709251147.374666,1075930.500,49935,4,EM,1,100,RB
1709251147.424915,1075980.750,49935,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251147.475165,1076031.000,49935,4,EM,1,100,PS
1709251147.525415,1076081.250,49969,4,EM,1,100,RS
1709251147.575664,1076131.500,49969,4,EM,1,100,RB
1709251147.625914,1076181.750,49969,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251147.676164,1076232.000,49969,4,EM,1,100,PS
1709251147.726413,1076282.250,50000,4,EM,1,100,RS
1709251147.776663,1076332.500,50000,4,EM,1,100,RB
1709251147.826913,1076382.750,50000,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251147.877162,1076433.000,50000,4,EM,1,100,PS
1709251147.927412,1076483.250,50034,4,EM,1,100,RS
1709251147.977662,1076533.500,50034,4,EM,1,100,RB
1709251148.027911,1076583.750,50034,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251148.078161,1076634.000,50034,4,EM,1,100,PS
1709251148.128411,1076684.250,50066,4,EM,1,100,RS
1709251148.178660,1076734.500,50066,4,EM,1,100,RB
1709251148.228910,1076784.750,50066,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251148.279160,1076835.000,50066,4,EM,1,100,PS
1709251148.330159,1076886.000,50099,4,EM,1,100,RS
1709251148.381159,1076937.000,50099,4,EM,1,100,RB
1709251148.432158,1076988.000,50099,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251148.483158,1077039.000,50099,4,EM,1,100,PS
1709251148.533408,1077089.250,50131,4,EM,1,100,RS
1709251148.583657,1077139.500,50131,4,EM,1,100,RB
1709251148.633907,1077189.750,50131,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251148.684157,1077240.000,50131,4,EM,1,100,PS
1709251148.734406,1077290.250,50164,4,EM,1,100,RS
1709251148.784656,1077340.500,50164,4,EM,1,100,RB
1709251148.834906,1077390.750,50164,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251148.885155,1077441.000,50164,4,EM,1,100,PS
1709251148.935405,1077491.250,50198,4,EM,1,100,RS
1709251148.985655,1077541.500,50198,4,EM,1,100,RB
1709251149.035904,1077591.750,50198,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251149.086154,1077642.000,50198,4,EM,1,100,PS
1709251149.136404,1077692.250,50232,4,EM,1,100,RS
1709251149.186653,1077742.500,50232,4,EM,1,100,RB
1709251149.236903,1077792.750,50232,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251149.287153,1077843.000,50232,4,EM,1,100,PS
1709251149.341652,1077897.500,50256,4,EM,1,100,RS
1709251149.396152,1077952.000,50256,4,EM,1,100,RB
1709251149.450651,1078006.500,50256,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251149.505151,1078061.000,50256,4,EM,1,100,PS
1709251149.555401,1078111.250,50294,4,EM,1,100,RS
1709251149.605650,1078161.500,50294,4,EM,1,100,RB
1709251149.655900,1078211.750,50294,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251149.706150,1078262.000,50294,4,EM,1,100,PS
1709251149.757399,1078313.250,50325,4,EM,1,100,RS
1709251149.808649,1078364.500,50325,4,EM,1,100,RB
1709251149.859899,1078415.750,50325,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251149.911148,1078467.000,50325,4,EM,1,100,PS
1709251149.961148,1078517.000,50359,4,EM,1,100,RS
1709251150.011147,1078567.000,50359,4,EM,1,100,RB
1709251150.061147,1078617.000,50359,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251150.111147,1078667.000,50359,4,EM,1,100,PS
1709251150.161397,1078717.250,50392,4,EM,1,100,RS
1709251150.211646,1078767.500,50392,4,EM,1,100,RB
1709251150.261896,1078817.750,50392,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251150.312145,1078868.000,50392,4,EM,1,100,PS
1709251150.362895,1078918.750,50424,4,EM,1,100,RS
1709251150.413645,1078969.500,50424,4,EM,1,100,RB
1709251150.464394,1079020.250,50424,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251150.515144,1079071.000,50424,4,EM,1,100,PS
1709251150.565394,1079121.250,50458,4,EM,1,100,RS
1709251150.615643,1079171.500,50458,4,EM,1,100,RB
1709251150.665893,1079221.750,50458,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251150.716143,1079272.000,50458,4,EM,1,100,PS
1709251150.766392,1079322.250,50490,4,EM,1,100,RS
1709251150.816642,1079372.500,50490,4,EM,1,100,RB
1709251150.866892,1079422.750,50490,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251150.917141,1079473.000,50490,4,EM,1,100,PS
1709251150.967391,1079523.250,50523,4,EM,1,100,RS
1709251151.017641,1079573.500,50523,4,EM,1,100,RB
1709251151.067890,1079623.750,50523,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251151.118140,1079674.000,50523,4,EM,1,100,PS
1709251151.168390,1079724.250,50557,4,EM,1,100,RS
1709251151.218639,1079774.500,50557,4,EM,1,100,RB
1709251151.268889,1079824.750,50557,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251151.319139,1079875.000,50557,4,EM,1,100,PS
1709251151.369888,1079925.750,50590,4,EM,1,100,RS
1709251151.420638,1079976.500,50590,4,EM,1,100,RB
1709251151.471387,1080027.250,50590,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251151.522137,1080078.000,50590,4,EM,1,100,PS
1709251151.572387,1080128.250,50624,4,EM,1,100,RS
1709251151.622636,1080178.500,50624,4,EM,1,100,RB
1709251151.672886,1080228.750,50624,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251151.723136,1080279.000,50624,4,EM,1,100,PS
1709251151.773385,1080329.250,50658,4,EM,1,100,RS
1709251151.823635,1080379.500,50658,4,EM,1,100,RB
1709251151.873885,1080429.750,50658,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251151.924134,1080480.000,50658,4,EM,1,100,PS
1709251151.974384,1080530.250,50689,4,EM,1,100,RS
1709251152.024633,1080580.500,50689,4,EM,1,100,RB
1709251152.074883,1080630.750,50689,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251152.125133,1080681.000,50689,4,EM,1,100,PS
1709251152.175382,1080731.250,50723,4,EM,1,100,RS
1709251152.225632,1080781.500,50723,4,EM,1,100,RB
1709251152.275882,1080831.750,50723,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251152.326131,1080882.000,50723,4,EM,1,100,PS
1709251152.377381,1080933.250,50754,4,EM,1,100,RS
1709251152.428631,1080984.500,50754,4,EM,1,100,RB
1709251152.479880,1081035.750,50754,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251152.531130,1081087.000,50754,4,EM,1,100,PS
1709251152.582380,1081138.250,50788,4,EM,1,100,RS
1709251152.633629,1081189.500,50788,4,EM,1,100,RB
1709251152.684879,1081240.750,50788,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251152.736129,1081292.000,50788,4,EM,1,100,PS
1709251152.786878,1081342.750,50822,4,EM,1,100,RS
1709251152.837628,1081393.500,50822,4,EM,1,100,RB
1709251152.888377,1081444.250,50822,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251152.939127,1081495.000,50822,4,EM,1,100,PS
1709251152.989377,1081545.250,50855,4,EM,1,100,RS
1709251153.039627,1081595.500,50855,4,EM,1,100,RB
1709251153.089876,1081645.750,50855,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251153.140126,1081696.000,50855,4,EM,1,100,PS
1709251153.192375,1081748.250,50887,4,EM,1,100,RS
1709251153.244625,1081800.500,50887,4,EM,1,100,RB
1709251153.296875,1081852.750,50887,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251153.349124,1081905.000,50887,4,EM,1,100,PS
1709251153.399374,1081955.250,50922,4,EM,1,100,RS
1709251153.449624,1082005.500,50922,4,EM,1,100,RB
1709251153.499873,1082055.750,50922,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251153.550123,1082106.000,50922,4,EM,1,100,PS
1709251153.600373,1082156.250,50954,4,EM,1,100,RS
1709251153.650622,1082206.500,50954,4,EM,1,100,RB
1709251153.700872,1082256.750,50954,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251153.751122,1082307.000,50954,4,EM,1,100,PS
1709251153.801371,1082357.250,50988,4,EM,1,100,RS
1709251153.851621,1082407.500,50988,4,EM,1,100,RB
1709251153.901870,1082457.750,50988,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251153.952120,1082508.000,50988,4,EM,1,100,PS
1709251154.002620,1082558.500,51022,4,EM,1,100,RS
1709251154.053119,1082609.000,51022,4,EM,1,100,RB
1709251154.103619,1082659.500,51022,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251154.154119,1082710.000,51022,4,EM,1,100,PS
1709251154.204118,1082760.000,51055,4,EM,1,100,RS
1709251154.254118,1082810.000,51055,4,EM,1,100,RB
1709251154.304118,1082860.000,51055,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251154.354117,1082910.000,51055,4,EM,1,100,PS
1709251154.405117,1082961.000,51075,4,EM,1,100,RS
1709251154.456117,1083012.000,51075,4,EM,1,100,RB
1709251154.507116,1083063.000,51075,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251154.558116,1083114.000,51075,4,EM,1,100,PS
1709251154.609366,1083165.250,51111,4,EM,1,100,RS
1709251154.660615,1083216.500,51111,4,EM,1,100,RB
1709251154.711865,1083267.750,51111,4,EM,1,100,2024-02-29_18-59-05-401964.csv
1709251154.763114,1083319.000,51111,4,EM,1,100,PS
