LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1709251145.856176,1074412.000,49686,1,GZ,1,100,0.397
1709251145.896176,1074452.000,49700,2,GZ,1,100,0.458
1709251145.936176,1074492.000,49700,2,GZ,1,100,0.366
1709251145.976176,1074532.000,49717,3,GZ,1,100,0.305
1709251146.016175,1074572.000,49717,3,GZ,1,100,0.183
1709251146.056175,1074612.000,49717,3,GZ,1,100,0.549
1709251146.096175,1074652.000,49733,3,GZ,1,100,0.732
1709251146.136174,1074692.000,49733,3,GZ,1,100,0.580
1709251146.176174,1074732.000,49733,3,GZ,1,100,0.031
1709251146.216174,1074772.000,49751,2,GZ,1,100,0.610
1709251146.256174,1074812.000,49751,2,GZ,1,100,0.641
1709251146.296173,1074852.000,49765,2,GZ,1,100,-0.061
1709251146.336173,1074892.000,49765,2,GZ,1,100,0.092
1709251146.376173,1074932.000,49782,3,GZ,1,100,0.977
1709251146.416173,1074972.000,49782,3,GZ,1,100,0.824
1709251146.456172,1075012.000,49782,3,GZ,1,100,0.183
1709251146.496172,1075052.000,49799,3,GZ,1,100,0.214
1709251146.536172,1075092.000,49799,3,GZ,1,100,0.671
1709251146.576171,1075132.000,49799,3,GZ,1,100,0.244
1709251146.616171,1075172.000,49816,2,GZ,1,100,0.153
1709251146.656171,1075212.000,49816,2,GZ,1,100,0.336
1709251146.696171,1075252.000,49831,3,GZ,1,100,0.946
1709251146.736170,1075292.000,49831,3,GZ,1,100,0.183
1709251146.776170,1075332.000,49831,3,GZ,1,100,-0.366
1709251146.816170,1075372.000,49850,2,GZ,1,100,0.610
1709251146.856169,1075412.000,49850,2,GZ,1,100,1.373
1709251146.896169,1075452.000,49866,3,GZ,1,100,-0.153
1709251146.936169,1075492.000,49866,3,GZ,1,100,-0.336
1709251146.976168,1075532.000,49866,3,GZ,1,100,1.129
1709251147.016168,1075572.000,49883,2,GZ,1,100,1.068
1709251147.056168,1075612.000,49883,2,GZ,1,100,0.092
1709251147.096168,1075652.000,49900,3,GZ,1,100,-0.214
1709251147.136167,1075692.000,49900,3,GZ,1,100,0.244
1709251147.176167,1075732.000,49900,3,GZ,1,100,0.946
1709251147.216167,1075772.000,49915,2,GZ,1,100,0.580
1709251147.256166,1075812.000,49915,2,GZ,1,100,0.214
1709251147.296166,1075852.000,49931,3,GZ,1,100,0.214
1709251147.336166,1075892.000,49931,3,GZ,1,100,0.549
1709251147.376166,1075932.000,49931,3,GZ,1,100,0.793
1709251147.416165,1075972.000,49948,2,GZ,1,100,0.336
1709251147.456165,1076012.000,49948,2,GZ,1,100,-0.061
1709251147.496165,1076052.000,49965,3,GZ,1,100,0.458
1709251147.536165,1076092.000,49965,3,GZ,1,100,0.488
1709251147.576164,1076132.000,49965,3,GZ,1,100,0.366
1709251147.616164,1076172.000,49980,3,GZ,1,100,0.244
1709251147.656164,1076212.000,49980,3,GZ,1,100,0.397
1709251147.696163,1076252.000,49980,3,GZ,1,100,0.549
1709251147.736163,1076292.000,49996,2,GZ,1,100,0.580
1709251147.776163,1076332.000,49996,2,GZ,1,100,0.458
1709251147.811496,1076367.333,50014,3,GZ,1,100,0.183
1709251147.846829,1076402.667,50014,3,GZ,1,100,0.732
1709251147.882162,1076438.000,50014,3,GZ,1,100,0.580
1709251147.922162,1076478.000,50030,3,GZ,1,100,0.031
1709251147.962162,1076518.000,50030,3,GZ,1,100,0.519
