LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709251148.829156,1077385,50166,1,HR,1,100,41
1709251149.629150,1078185,50277,1,HR,1,100,48
1709251151.269139,1079825,50539,1,HR,1,100,46
1709251151.549137,1080105,50592,1,HR,1,100,83
1709251155.122112,1083678,51178,1,HR,1,100,69
1709251161.534068,1090090,52220,1,HR,1,100,55
1709251162.987057,1091543,52451,1,HR,1,100,52
1709251163.548054,1092104,52536,1,HR,1,100,65
1709251164.627046,1093183,52720,1,HR,1,100,63
1709251165.387041,1093943,52841,1,HR,1,100,66
1709251171.133001,1099689,53752,1,HR,1,100,54
1709251172.452992,1101009,53965,1,HR,1,100,52
1709251174.572977,1103129,54312,1,HR,1,100,47
1709251175.625970,1104182,54485,1,HR,1,100,49
1709251176.265965,1104822,54585,1,HR,1,100,59
1709251181.198931,1109755,55381,1,HR,1,100,49
1709251182.878920,1111435,55662,1,HR,1,100,46
1709251183.718914,1112275,55795,1,HR,1,100,51
1709251191.184862,1119741,57005,1,HR,1,100,42
1709251194.357840,1122914,57514,1,HR,1,100,37
1709251195.557832,1124114,57702,1,HR,1,100,40
1709251196.996822,1125553,57950,1,HR,1,100,40
1709251206.142758,1134699,59404,1,HR,1,100,33
1709251210.515728,1139072,60112,1,HR,1,100,28
1709251217.381680,1145938,61207,1,HR,1,100,24
1709251231.260584,1159817,63449,1,HR,1,100,20
1709251233.139571,1161696,63750,1,HR,1,100,22
1709251234.953559,1163510,64049,1,HR,1,100,25
1709251243.525499,1172082,65399,1,HR,1,100,21
1709251244.738491,1173295,65,1,HR,1,100,27
1709251245.458486,1174015,180,1,HR,1,100,40
1709251246.378479,1174935,330,1,HR,1,100,45
1709251253.164433,1181721,1422,1,HR,1,100,37
1709251257.657401,1186214,2135,1,HR,1,100,32
1709251258.457396,1187014,2267,1,HR,1,100,42
1709251259.137391,1187694,2382,1,HR,1,100,52
1709251270.522312,1199079,4202,1,HR,1,100,42
1709251271.416306,1199973,4351,1,HR,1,100,47
1709251271.976302,1200533,4436,1,HR,1,100,61
1709251282.001233,1210558,6040,1,HR,1,100,49
1709251287.214196,1215771,6837,1,HR,1,100,40
1709251294.480146,1223037,7998,1,HR,1,100,33
1709251307.399056,1235956,10078,1,HR,1,100,27
1709251311.332029,1239889,10692,1,HR,1,100,24
1709251314.331008,1242888,11189,1,HR,1,100,23
1709251315.585000,1244142,11389,1,HR,1,100,29
1709251319.423973,1247981,12018,1,HR,1,100,26
1709251327.569917,1256127,13319,1,HR,1,100,22
