LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709251145.856176,1074412.000,49676,1,PG,1,100,9163
1709251145.896176,1074452.000,49692,2,PG,1,100,9151
1709251145.936176,1074492.000,49692,2,PG,1,100,9158
1709251145.976176,1074532.000,49707,3,PG,1,100,9146
1709251146.016175,1074572.000,49707,3,PG,1,100,9166
1709251146.056175,1074612.000,49707,3,PG,1,100,9163
1709251146.096175,1074652.000,49723,2,PG,1,100,9148
1709251146.136174,1074692.000,49723,2,PG,1,100,9156
1709251146.176174,1074732.000,49741,3,PG,1,100,9173
1709251146.216174,1074772.000,49741,3,PG,1,100,9175
1709251146.256174,1074812.000,49741,3,PG,1,100,9160
1709251146.296173,1074852.000,49757,3,PG,1,100,9161
1709251146.336173,1074892.000,49757,3,PG,1,100,9167
1709251146.376173,1074932.000,49757,3,PG,1,100,9168
1709251146.416173,1074972.000,49772,2,PG,1,100,9151
1709251146.456172,1075012.000,49772,2,PG,1,100,9173
1709251146.496172,1075052.000,49789,3,PG,1,100,9168
1709251146.536172,1075092.000,49789,3,PG,1,100,9151
1709251146.576171,1075132.000,49789,3,PG,1,100,9144
1709251146.616171,1075172.000,49806,2,PG,1,100,9170
1709251146.656171,1075212.000,49806,2,PG,1,100,9167
1709251146.696171,1075252.000,49822,3,PG,1,100,9162
1709251146.736170,1075292.000,49822,3,PG,1,100,9183
1709251146.776170,1075332.000,49822,3,PG,1,100,9176
1709251146.816170,1075372.000,49841,2,PG,1,100,9159
1709251146.856169,1075412.000,49841,2,PG,1,100,9179
1709251146.896169,1075452.000,49856,3,PG,1,100,9174
1709251146.936169,1075492.000,49856,3,PG,1,100,9168
1709251146.976168,1075532.000,49856,3,PG,1,100,9167
1709251147.016168,1075572.000,49873,2,PG,1,100,9170
1709251147.056168,1075612.000,49873,2,PG,1,100,9167
1709251147.096168,1075652.000,49890,3,PG,1,100,9176
1709251147.136167,1075692.000,49890,3,PG,1,100,9166
1709251147.176167,1075732.000,49890,3,PG,1,100,9161
1709251147.216167,1075772.000,49907,2,PG,1,100,9181
1709251147.256166,1075812.000,49907,2,PG,1,100,9168
1709251147.296166,1075852.000,49921,3,PG,1,100,9185
1709251147.336166,1075892.000,49921,3,PG,1,100,9169
1709251147.376166,1075932.000,49921,3,PG,1,100,9188
1709251147.416165,1075972.000,49938,2,PG,1,100,9176
1709251147.456165,1076012.000,49938,2,PG,1,100,9174
1709251147.496165,1076052.000,49955,3,PG,1,100,9183
1709251147.536165,1076092.000,49955,3,PG,1,100,9184
1709251147.576164,1076132.000,49955,3,PG,1,100,9188
1709251147.616164,1076172.000,49972,3,PG,1,100,9186
1709251147.656164,1076212.000,49972,3,PG,1,100,9177
1709251147.696163,1076252.000,49972,3,PG,1,100,9184
1709251147.736163,1076292.000,49986,2,PG,1,100,9183
1709251147.776163,1076332.000,49986,2,PG,1,100,9201
1709251147.816163,1076372.000,50004,3,PG,1,100,9192
1709251147.856162,1076412.000,50004,3,PG,1,100,9198
1709251147.896162,1076452.000,50004,3,PG,1,100,9191
1709251147.936162,1076492.000,50020,2,PG,1,100,9205
1709251147.976161,1076532.000,50020,2,PG,1,100,9200
1709251148.022661,1076578.500,50037,2,PG,1,100,9208
1709251148.069161,1076625.000,50037,2,PG,1,100,9202
1709251148.109161,1076665.000,50052,3,PG,1,100,9197
1709251148.149160,1076705.000,50052,3,PG,1,100,9212
1709251148.189160,1076745.000,50052,3,PG,1,100,9204
1709251148.229160,1076785.000,50069,2,PG,1,100,9207
1709251148.269160,1076825.000,50069,2,PG,1,100,9208
1709251148.309159,1076865.000,50085,3,PG,1,100,9214
1709251148.349159,1076905.000,50085,3,PG,1,100,9224
1709251148.389159,1076945.000,50085,3,PG,1,100,9214
1709251148.429158,1076985.000,50102,3,PG,1,100,9218
1709251148.469158,1077025.000,50102,3,PG,1,100,9238
1709251148.509158,1077065.000,50102,3,PG,1,100,9229
1709251148.549158,1077105.000,50117,2,PG,1,100,9218
1709251148.589157,1077145.000,50117,2,PG,1,100,9221
1709251148.629157,1077185.000,50134,3,PG,1,100,9228
1709251148.669157,1077225.000,50134,3,PG,1,100,9222
1709251148.709157,1077265.000,50134,3,PG,1,100,9235
1709251148.749156,1077305.000,50150,2,PG,1,100,9238
1709251148.789156,1077345.000,50150,2,PG,1,100,9230
1709251148.829156,1077385.000,50170,3,PG,1,100,9228
1709251148.869155,1077425.000,50170,3,PG,1,100,9245
1709251148.909155,1077465.000,50170,3,PG,1,100,9240
1709251148.949155,1077505.000,50185,2,PG,1,100,9229
1709251148.989155,1077545.000,50185,2,PG,1,100,9237
1709251149.029154,1077585.000,50201,3,PG,1,100,9250
1709251149.069154,1077625.000,50201,3,PG,1,100,9242
1709251149.109154,1077665.000,50201,3,PG,1,100,9249
1709251149.149153,1077705.000,50218,2,PG,1,100,9241
1709251149.189153,1077745.000,50218,2,PG,1,100,9255
1709251149.229153,1077785.000,50242,6,PG,1,100,9259
1709251149.269153,1077825.000,50242,6,PG,1,100,9246
1709251149.309152,1077865.000,50242,6,PG,1,100,9251
1709251149.349152,1077905.000,50242,6,PG,1,100,9256
1709251149.389152,1077945.000,50242,6,PG,1,100,9247
1709251149.429152,1077985.000,50242,6,PG,1,100,9248
1709251149.469151,1078025.000,50260,2,PG,1,100,9278
1709251149.509151,1078065.000,50260,2,PG,1,100,9272
1709251149.549151,1078105.000,50280,3,PG,1,100,9270
1709251149.589150,1078145.000,50280,3,PG,1,100,9272
1709251149.629150,1078185.000,50280,3,PG,1,100,9282
1709251149.669150,1078225.000,50297,2,PG,1,100,9268
1709251149.709150,1078265.000,50297,2,PG,1,100,9264
1709251149.749149,1078305.000,50313,3,PG,1,100,9277
1709251149.789149,1078345.000,50313,3,PG,1,100,9290
1709251149.829149,1078385.000,50313,3,PG,1,100,9281
1709251149.869148,1078425.000,50329,2,PG,1,100,9290
1709251149.909148,1078465.000,50329,2,PG,1,100,9298
1709251149.949148,1078505.000,50345,3,PG,1,100,9292
1709251149.989148,1078545.000,50345,3,PG,1,100,9288
1709251150.029147,1078585.000,50345,3,PG,1,100,9289
1709251150.069147,1078625.000,50362,3,PG,1,100,9286
1709251150.109147,1078665.000,50362,3,PG,1,100,9286
1709251150.149147,1078705.000,50362,3,PG,1,100,9291
1709251150.189146,1078745.000,50379,2,PG,1,100,9310
1709251150.229146,1078785.000,50379,2,PG,1,100,9301
1709251150.269146,1078825.000,50395,3,PG,1,100,9308
1709251150.309145,1078865.000,50395,3,PG,1,100,9311
1709251150.349145,1078905.000,50395,3,PG,1,100,9308
1709251150.389145,1078945.000,50410,2,PG,1,100,9328
1709251150.429145,1078985.000,50410,2,PG,1,100,9306
1709251150.469144,1079025.000,50428,3,PG,1,100,9324
1709251150.509144,1079065.000,50428,3,PG,1,100,9308
1709251150.549144,1079105.000,50428,3,PG,1,100,9311
1709251150.589144,1079145.000,50444,2,PG,1,100,9309
1709251150.629143,1079185.000,50444,2,PG,1,100,9315
1709251150.669143,1079225.000,50461,3,PG,1,100,9314
1709251150.709143,1079265.000,50461,3,PG,1,100,9325
1709251150.749142,1079305.000,50461,3,PG,1,100,9316
1709251150.789142,1079345.000,50476,2,PG,1,100,9310
1709251150.829142,1079385.000,50476,2,PG,1,100,9311
1709251150.869142,1079425.000,50493,3,PG,1,100,9314
1709251150.909141,1079465.000,50493,3,PG,1,100,9309
1709251150.949141,1079505.000,50493,3,PG,1,100,9311
1709251150.989141,1079545.000,50509,2,PG,1,100,9295
1709251151.029140,1079585.000,50509,2,PG,1,100,9328
1709251151.069140,1079625.000,50526,3,PG,1,100,9311
1709251151.109140,1079665.000,50526,3,PG,1,100,9312
1709251151.149140,1079705.000,50526,3,PG,1,100,9307
1709251151.189139,1079745.000,50543,3,PG,1,100,9302
1709251151.229139,1079785.000,50543,3,PG,1,100,9305
1709251151.269139,1079825.000,50543,3,PG,1,100,9303
1709251151.309139,1079865.000,50560,2,PG,1,100,9308
1709251151.349138,1079905.000,50560,2,PG,1,100,9316
1709251151.389138,1079945.000,50576,3,PG,1,100,9318
1709251151.429138,1079985.000,50576,3,PG,1,100,9295
1709251151.469137,1080025.000,50576,3,PG,1,100,9310
1709251151.509137,1080065.000,50596,2,PG,1,100,9306
1709251151.549137,1080105.000,50596,2,PG,1,100,9310
1709251151.589137,1080145.000,50610,3,PG,1,100,9301
1709251151.629136,1080185.000,50610,3,PG,1,100,9318
1709251151.669136,1080225.000,50610,3,PG,1,100,9302
1709251151.709136,1080265.000,50627,2,PG,1,100,9287
1709251151.749135,1080305.000,50627,2,PG,1,100,9280
1709251151.789135,1080345.000,50644,3,PG,1,100,9282
1709251151.829135,1080385.000,50644,3,PG,1,100,9296
1709251151.869135,1080425.000,50644,3,PG,1,100,9285
1709251151.909134,1080465.000,50661,2,PG,1,100,9289
1709251151.949134,1080505.000,50661,2,PG,1,100,9294
1709251151.989134,1080545.000,50675,3,PG,1,100,9294
1709251152.029134,1080585.000,50675,3,PG,1,100,9281
1709251152.069133,1080625.000,50675,3,PG,1,100,9282
1709251152.109133,1080665.000,50692,2,PG,1,100,9290
1709251152.149133,1080705.000,50692,2,PG,1,100,9282
1709251152.189132,1080745.000,50709,3,PG,1,100,9296
