LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709251145.856176,1074412.000,49674,1,PI,1,100,168326
1709251145.896176,1074452.000,49690,2,PI,1,100,168330
1709251145.936176,1074492.000,49690,2,PI,1,100,168330
1709251145.976176,1074532.000,49705,3,PI,1,100,168323
1709251146.016175,1074572.000,49705,3,PI,1,100,168339
1709251146.056175,1074612.000,49705,3,PI,1,100,168306
1709251146.096175,1074652.000,49721,2,PI,1,100,168344
1709251146.136174,1074692.000,49721,2,PI,1,100,168337
1709251146.176174,1074732.000,49739,3,PI,1,100,168311
1709251146.216174,1074772.000,49739,3,PI,1,100,168332
1709251146.256174,1074812.000,49739,3,PI,1,100,168325
1709251146.296173,1074852.000,49755,3,PI,1,100,168297
1709251146.336173,1074892.000,49755,3,PI,1,100,168313
1709251146.376173,1074932.000,49755,3,PI,1,100,168335
1709251146.416173,1074972.000,49770,2,PI,1,100,168371
1709251146.456172,1075012.000,49770,2,PI,1,100,168356
1709251146.496172,1075052.000,49787,3,PI,1,100,168365
1709251146.536172,1075092.000,49787,3,PI,1,100,168363
1709251146.576171,1075132.000,49787,3,PI,1,100,168335
1709251146.616171,1075172.000,49804,2,PI,1,100,168346
1709251146.656171,1075212.000,49804,2,PI,1,100,168354
1709251146.696171,1075252.000,49820,3,PI,1,100,168367
1709251146.736170,1075292.000,49820,3,PI,1,100,168360
1709251146.776170,1075332.000,49820,3,PI,1,100,168361
1709251146.816170,1075372.000,49839,2,PI,1,100,168374
1709251146.856169,1075412.000,49839,2,PI,1,100,168334
1709251146.896169,1075452.000,49854,3,PI,1,100,168319
1709251146.936169,1075492.000,49854,3,PI,1,100,168336
1709251146.976168,1075532.000,49854,3,PI,1,100,168378
1709251147.016168,1075572.000,49871,2,PI,1,100,168363
1709251147.056168,1075612.000,49871,2,PI,1,100,168348
1709251147.096168,1075652.000,49888,3,PI,1,100,168361
1709251147.136167,1075692.000,49888,3,PI,1,100,168355
1709251147.176167,1075732.000,49888,3,PI,1,100,168368
1709251147.216167,1075772.000,49905,2,PI,1,100,168350
1709251147.256166,1075812.000,49905,2,PI,1,100,168366
1709251147.296166,1075852.000,49919,3,PI,1,100,168382
1709251147.336166,1075892.000,49919,3,PI,1,100,168379
1709251147.376166,1075932.000,49919,3,PI,1,100,168367
1709251147.416165,1075972.000,49936,2,PI,1,100,168392
1709251147.456165,1076012.000,49936,2,PI,1,100,168396
1709251147.496165,1076052.000,49953,3,PI,1,100,168399
1709251147.536165,1076092.000,49953,3,PI,1,100,168399
1709251147.576164,1076132.000,49953,3,PI,1,100,168378
1709251147.616164,1076172.000,49970,3,PI,1,100,168389
1709251147.656164,1076212.000,49970,3,PI,1,100,168366
1709251147.696163,1076252.000,49970,3,PI,1,100,168407
1709251147.736163,1076292.000,49984,2,PI,1,100,168413
1709251147.776163,1076332.000,49984,2,PI,1,100,168383
1709251147.816163,1076372.000,50002,3,PI,1,100,168411
1709251147.856162,1076412.000,50002,3,PI,1,100,168407
1709251147.896162,1076452.000,50002,3,PI,1,100,168400
1709251147.936162,1076492.000,50018,2,PI,1,100,168405
1709251147.976161,1076532.000,50018,2,PI,1,100,168423
1709251148.022661,1076578.500,50035,2,PI,1,100,168415
1709251148.069161,1076625.000,50035,2,PI,1,100,168378
1709251148.109161,1076665.000,50050,3,PI,1,100,168412
1709251148.149160,1076705.000,50050,3,PI,1,100,168410
1709251148.189160,1076745.000,50050,3,PI,1,100,168375
1709251148.229160,1076785.000,50067,2,PI,1,100,168387
1709251148.269160,1076825.000,50067,2,PI,1,100,168412
1709251148.309159,1076865.000,50083,3,PI,1,100,168395
1709251148.349159,1076905.000,50083,3,PI,1,100,168386
1709251148.389159,1076945.000,50083,3,PI,1,100,168394
1709251148.429158,1076985.000,50100,3,PI,1,100,168428
1709251148.469158,1077025.000,50100,3,PI,1,100,168419
1709251148.509158,1077065.000,50100,3,PI,1,100,168435
1709251148.549158,1077105.000,50115,2,PI,1,100,168439
1709251148.589157,1077145.000,50115,2,PI,1,100,168412
1709251148.629157,1077185.000,50132,3,PI,1,100,168416
1709251148.669157,1077225.000,50132,3,PI,1,100,168400
1709251148.709157,1077265.000,50132,3,PI,1,100,168417
1709251148.749156,1077305.000,50148,2,PI,1,100,168415
1709251148.789156,1077345.000,50148,2,PI,1,100,168420
1709251148.829156,1077385.000,50168,3,PI,1,100,168415
1709251148.869155,1077425.000,50168,3,PI,1,100,168411
1709251148.909155,1077465.000,50168,3,PI,1,100,168406
1709251148.949155,1077505.000,50183,2,PI,1,100,168429
1709251148.989155,1077545.000,50183,2,PI,1,100,168453
1709251149.029154,1077585.000,50199,3,PI,1,100,168461
1709251149.069154,1077625.000,50199,3,PI,1,100,168482
1709251149.109154,1077665.000,50199,3,PI,1,100,168498
1709251149.149153,1077705.000,50216,2,PI,1,100,168479
1709251149.189153,1077745.000,50216,2,PI,1,100,168455
1709251149.229153,1077785.000,50240,6,PI,1,100,168407
1709251149.269153,1077825.000,50240,6,PI,1,100,168384
1709251149.309152,1077865.000,50240,6,PI,1,100,168403
1709251149.349152,1077905.000,50240,6,PI,1,100,168420
1709251149.389152,1077945.000,50240,6,PI,1,100,168399
1709251149.429152,1077985.000,50240,6,PI,1,100,168399
1709251149.469151,1078025.000,50258,2,PI,1,100,168349
1709251149.509151,1078065.000,50258,2,PI,1,100,168390
1709251149.549151,1078105.000,50278,3,PI,1,100,168424
1709251149.589150,1078145.000,50278,3,PI,1,100,168461
1709251149.629150,1078185.000,50278,3,PI,1,100,168491
1709251149.669150,1078225.000,50295,2,PI,1,100,168483
1709251149.709150,1078265.000,50295,2,PI,1,100,168461
1709251149.749149,1078305.000,50311,3,PI,1,100,168478
1709251149.789149,1078345.000,50311,3,PI,1,100,168506
1709251149.829149,1078385.000,50311,3,PI,1,100,168518
1709251149.869148,1078425.000,50327,2,PI,1,100,168525
1709251149.909148,1078465.000,50327,2,PI,1,100,168522
1709251149.949148,1078505.000,50343,3,PI,1,100,168555
1709251149.989148,1078545.000,50343,3,PI,1,100,168550
1709251150.029147,1078585.000,50343,3,PI,1,100,168518
1709251150.069147,1078625.000,50360,3,PI,1,100,168520
1709251150.109147,1078665.000,50360,3,PI,1,100,168534
1709251150.149147,1078705.000,50360,3,PI,1,100,168543
1709251150.189146,1078745.000,50377,2,PI,1,100,168573
1709251150.229146,1078785.000,50377,2,PI,1,100,168560
