LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709251145.856176,1074412.000,49675,1,PR,1,100,128343
1709251145.896176,1074452.000,49691,2,PR,1,100,128349
1709251145.936176,1074492.000,49691,2,PR,1,100,128340
1709251145.976176,1074532.000,49706,3,PR,1,100,128350
1709251146.016175,1074572.000,49706,3,PR,1,100,128354
1709251146.056175,1074612.000,49706,3,PR,1,100,128354
1709251146.096175,1074652.000,49722,2,PR,1,100,128356
1709251146.136174,1074692.000,49722,2,PR,1,100,128331
1709251146.176174,1074732.000,49740,3,PR,1,100,128316
1709251146.216174,1074772.000,49740,3,PR,1,100,128333
1709251146.256174,1074812.000,49740,3,PR,1,100,128349
1709251146.296173,1074852.000,49756,3,PR,1,100,128320
1709251146.336173,1074892.000,49756,3,PR,1,100,128324
1709251146.376173,1074932.000,49756,3,PR,1,100,128380
1709251146.416173,1074972.000,49771,2,PR,1,100,128378
1709251146.456172,1075012.000,49771,2,PR,1,100,128332
1709251146.496172,1075052.000,49788,3,PR,1,100,128381
1709251146.536172,1075092.000,49788,3,PR,1,100,128394
1709251146.576171,1075132.000,49788,3,PR,1,100,128345
1709251146.616171,1075172.000,49805,2,PR,1,100,128339
1709251146.656171,1075212.000,49805,2,PR,1,100,128365
1709251146.696171,1075252.000,49821,3,PR,1,100,128366
1709251146.736170,1075292.000,49821,3,PR,1,100,128345
1709251146.776170,1075332.000,49821,3,PR,1,100,128330
1709251146.816170,1075372.000,49840,2,PR,1,100,128400
1709251146.856169,1075412.000,49840,2,PR,1,100,128350
1709251146.896169,1075452.000,49855,3,PR,1,100,128309
1709251146.936169,1075492.000,49855,3,PR,1,100,128333
1709251146.976168,1075532.000,49855,3,PR,1,100,128371
1709251147.016168,1075572.000,49872,2,PR,1,100,128344
1709251147.056168,1075612.000,49872,2,PR,1,100,128322
1709251147.096168,1075652.000,49889,3,PR,1,100,128336
1709251147.136167,1075692.000,49889,3,PR,1,100,128355
1709251147.176167,1075732.000,49889,3,PR,1,100,128321
1709251147.216167,1075772.000,49906,2,PR,1,100,128337
1709251147.256166,1075812.000,49906,2,PR,1,100,128325
1709251147.296166,1075852.000,49920,3,PR,1,100,128348
1709251147.336166,1075892.000,49920,3,PR,1,100,128354
1709251147.376166,1075932.000,49920,3,PR,1,100,128367
1709251147.416165,1075972.000,49937,2,PR,1,100,128356
1709251147.456165,1076012.000,49937,2,PR,1,100,128347
1709251147.496165,1076052.000,49954,3,PR,1,100,128371
1709251147.536165,1076092.000,49954,3,PR,1,100,128363
1709251147.576164,1076132.000,49954,3,PR,1,100,128340
1709251147.616164,1076172.000,49971,3,PR,1,100,128346
1709251147.656164,1076212.000,49971,3,PR,1,100,128346
1709251147.696163,1076252.000,49971,3,PR,1,100,128348
1709251147.736163,1076292.000,49985,2,PR,1,100,128340
1709251147.776163,1076332.000,49985,2,PR,1,100,128344
1709251147.816163,1076372.000,50003,3,PR,1,100,128332
1709251147.856162,1076412.000,50003,3,PR,1,100,128345
1709251147.896162,1076452.000,50003,3,PR,1,100,128334
1709251147.936162,1076492.000,50019,2,PR,1,100,128347
1709251147.976161,1076532.000,50019,2,PR,1,100,128374
1709251148.022661,1076578.500,50036,2,PR,1,100,128334
1709251148.069161,1076625.000,50036,2,PR,1,100,128318
1709251148.109161,1076665.000,50051,3,PR,1,100,128354
1709251148.149160,1076705.000,50051,3,PR,1,100,128334
1709251148.189160,1076745.000,50051,3,PR,1,100,128295
1709251148.229160,1076785.000,50068,2,PR,1,100,128307
1709251148.269160,1076825.000,50068,2,PR,1,100,128333
1709251148.309159,1076865.000,50084,3,PR,1,100,128316
1709251148.349159,1076905.000,50084,3,PR,1,100,128336
1709251148.389159,1076945.000,50084,3,PR,1,100,128335
1709251148.429158,1076985.000,50101,3,PR,1,100,128322
1709251148.469158,1077025.000,50101,3,PR,1,100,128316
1709251148.509158,1077065.000,50101,3,PR,1,100,128346
1709251148.549158,1077105.000,50116,2,PR,1,100,128338
1709251148.589157,1077145.000,50116,2,PR,1,100,128313
1709251148.629157,1077185.000,50133,3,PR,1,100,128303
1709251148.669157,1077225.000,50133,3,PR,1,100,128313
1709251148.709157,1077265.000,50133,3,PR,1,100,128298
1709251148.749156,1077305.000,50149,2,PR,1,100,128298
1709251148.789156,1077345.000,50149,2,PR,1,100,128290
1709251148.829156,1077385.000,50169,3,PR,1,100,128309
1709251148.869155,1077425.000,50169,3,PR,1,100,128297
1709251148.909155,1077465.000,50169,3,PR,1,100,128298
1709251148.949155,1077505.000,50184,2,PR,1,100,128322
1709251148.989155,1077545.000,50184,2,PR,1,100,128318
1709251149.029154,1077585.000,50200,3,PR,1,100,128324
1709251149.069154,1077625.000,50200,3,PR,1,100,128356
1709251149.109154,1077665.000,50200,3,PR,1,100,128353
1709251149.149153,1077705.000,50217,2,PR,1,100,128318
1709251149.189153,1077745.000,50217,2,PR,1,100,128355
1709251149.229153,1077785.000,50241,6,PR,1,100,128322
1709251149.269153,1077825.000,50241,6,PR,1,100,128260
1709251149.309152,1077865.000,50241,6,PR,1,100,128276
1709251149.349152,1077905.000,50241,6,PR,1,100,128286
1709251149.389152,1077945.000,50241,6,PR,1,100,128285
1709251149.429152,1077985.000,50241,6,PR,1,100,128259
1709251149.469151,1078025.000,50259,2,PR,1,100,128263
1709251149.509151,1078065.000,50259,2,PR,1,100,128290
1709251149.549151,1078105.000,50279,3,PR,1,100,128310
1709251149.589150,1078145.000,50279,3,PR,1,100,128306
1709251149.629150,1078185.000,50279,3,PR,1,100,128339
1709251149.669150,1078225.000,50296,2,PR,1,100,128366
1709251149.709150,1078265.000,50296,2,PR,1,100,128319
1709251149.749149,1078305.000,50312,3,PR,1,100,128345
1709251149.789149,1078345.000,50312,3,PR,1,100,128372
1709251149.829149,1078385.000,50312,3,PR,1,100,128353
1709251149.869148,1078425.000,50328,2,PR,1,100,128353
1709251149.909148,1078465.000,50328,2,PR,1,100,128350
1709251149.949148,1078505.000,50344,3,PR,1,100,128383
1709251149.989148,1078545.000,50344,3,PR,1,100,128392
1709251150.029147,1078585.000,50344,3,PR,1,100,128335
1709251150.069147,1078625.000,50361,3,PR,1,100,128346
1709251150.109147,1078665.000,50361,3,PR,1,100,128381
1709251150.149147,1078705.000,50361,3,PR,1,100,128373
1709251150.189146,1078745.000,50378,2,PR,1,100,128387
1709251150.229146,1078785.000,50378,2,PR,1,100,128371
1709251150.269146,1078825.000,50394,3,PR,1,100,128394
1709251150.309145,1078865.000,50394,3,PR,1,100,128379
1709251150.349145,1078905.000,50394,3,PR,1,100,128396
1709251150.389145,1078945.000,50409,2,PR,1,100,128391
1709251150.429145,1078985.000,50409,2,PR,1,100,128384
1709251150.469144,1079025.000,50427,3,PR,1,100,128393
1709251150.509144,1079065.000,50427,3,PR,1,100,128379
1709251150.549144,1079105.000,50427,3,PR,1,100,128366
1709251150.589144,1079145.000,50443,2,PR,1,100,128391
1709251150.629143,1079185.000,50443,2,PR,1,100,128392
1709251150.669143,1079225.000,50460,3,PR,1,100,128390
1709251150.709143,1079265.000,50460,3,PR,1,100,128386
1709251150.749142,1079305.000,50460,3,PR,1,100,128379
