LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709251149.333152,1077889.000,50237,2,RD,1,100,TL
1709251149.333152,1077889.000,50237,2,RD,1,100,TU
1709251151.895134,1080451.000,51074,2,RD,1,100,TL
1709251154.457117,1083013.000,51074,2,RD,1,100,TU
1709251157.023099,1085579.000,51904,2,RD,1,100,TL
1709251159.589081,1088145.000,51904,2,RD,1,100,TU
1709251162.150563,1090706.500,52739,2,RD,1,100,TL
1709251164.712046,1093268.000,52739,2,RD,1,100,TU
1709251167.266528,1095822.500,53550,2,RD,1,100,TL
1709251169.821010,1098377.000,53550,2,RD,1,100,TU
1709251172.390492,1100946.500,54383,2,RD,1,100,TL
1709251174.959975,1103516.000,54383,2,RD,1,100,TU
1709251177.515957,1106072.000,55214,2,RD,1,100,TL
1709251180.071939,1108628.000,55214,2,RD,1,100,TU
1709251182.638921,1111195.000,56045,2,RD,1,100,TL
1709251185.205904,1113762.000,56045,2,RD,1,100,TU
1709251187.770386,1116326.500,56870,2,RD,1,100,TL
1709251190.334868,1118891.000,56870,2,RD,1,100,TU
1709251192.894350,1121450.500,57697,2,RD,1,100,TL
1709251195.453832,1124010.000,57697,2,RD,1,100,TU
1709251198.019815,1126576.000,58527,2,RD,1,100,TL
1709251200.585797,1129142.000,58527,2,RD,1,100,TU
1709251203.140779,1131697.000,59336,2,RD,1,100,TL
1709251205.695761,1134252.000,59336,2,RD,1,100,TU
1709251208.262244,1136818.500,60166,2,RD,1,100,TL
1709251210.828726,1139385.000,60166,2,RD,1,100,TU
1709251213.396708,1141953.000,60990,2,RD,1,100,TL
1709251215.964690,1144521.000,60990,2,RD,1,100,TU
1709251218.530173,1147086.500,61817,2,RD,1,100,TL
1709251221.095655,1149652.000,61817,2,RD,1,100,TU
1709251223.659637,1152216.000,62641,2,RD,1,100,TL
1709251226.223619,1154780.000,62641,2,RD,1,100,TU
1709251228.791601,1157348.000,63468,2,RD,1,100,TL
1709251231.359584,1159916.000,63468,2,RD,1,100,TU
1709251233.913066,1162469.500,64279,2,RD,1,100,TL
1709251236.466548,1165023.000,64279,2,RD,1,100,TU
1709251239.033530,1167590.000,65103,2,RD,1,100,TL
1709251241.600513,1170157.000,65103,2,RD,1,100,TU
1709251244.165495,1172722.000,399,2,RD,1,100,TL
1709251246.730477,1175287.000,399,2,RD,1,100,TU
1709251249.298459,1177855.000,1222,2,RD,1,100,TL
1709251251.866441,1180423.000,1222,2,RD,1,100,TU
1709251254.419924,1182976.500,2033,2,RD,1,100,TL
1709251256.973406,1185530.000,2033,2,RD,1,100,TU
1709251259.535888,1188092.500,2862,2,RD,1,100,TL
1709251262.098371,1190655.000,2862,2,RD,1,100,TU
1709251264.666853,1193223.500,3690,2,RD,1,100,TL
1709251267.235335,1195792.000,3690,2,RD,1,100,TU
1709251269.792817,1198349.500,4505,2,RD,1,100,TL
1709251272.350300,1200907.000,4505,2,RD,1,100,TU
1709251274.903782,1203460.500,5314,2,RD,1,100,TL
1709251277.457264,1206014.000,5314,2,RD,1,100,TU
1709251280.019246,1208576.000,6142,2,RD,1,100,TL
1709251282.581228,1211138.000,6142,2,RD,1,100,TU
1709251285.138211,1213695.000,6907,2,RD,1,100,TL
1709251287.695193,1216252.000,6907,2,RD,1,100,TU
1709251290.259175,1218816.000,7734,2,RD,1,100,TL
1709251292.823158,1221380.000,7734,2,RD,1,100,TU
1709251295.388640,1223945.500,8560,2,RD,1,100,TL
1709251297.954122,1226511.000,8560,2,RD,1,100,TU
1709251300.504604,1229061.500,9386,2,RD,1,100,TL
1709251303.055087,1231612.000,9386,2,RD,1,100,TU
1709251305.610569,1234167.500,10196,2,RD,1,100,TL
1709251308.166051,1236723.000,10196,2,RD,1,100,TU
1709251310.735533,1239292.500,11022,2,RD,1,100,TL
1709251313.305016,1241862.000,11022,2,RD,1,100,TU
1709251315.864998,1244422.000,11851,2,RD,1,100,TL
1709251318.424980,1246982.000,11851,2,RD,1,100,TU
1709251320.975962,1249533.000,12677,2,RD,1,100,TL
1709251323.526945,1252084.000,12677,2,RD,1,100,TU
