LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709251145.588178,1074144,49836,1,SA,1,100,0.036517
1709251151.388138,1079944,50789,1,SA,1,100,0.018510
1709251152.987127,1081543,50888,1,SA,1,100,0.004390
1709251153.787121,1082343,50989,1,SA,1,100,0.001684
1709251155.920106,1084476,51375,1,SA,1,100,0.000975
1709251162.386062,1090942,52501,1,SA,1,100,0.014539
1709251170.385006,1098941,53683,1,SA,1,100,0.000221
1709251176.050967,1104607,54685,1,SA,1,100,0.005032
1709251179.451943,1108008,55146,1,SA,1,100,0.000363
1709251181.517929,1110074,55545,1,SA,1,100,0.010622
1709251207.848747,1136405,59781,1,SA,1,100,0.003583
1709251263.442361,1191999,3195,1,SA,1,100,0.005240
1709251267.908330,1196465,3870,1,SA,1,100,0.001204
1709251285.706207,1214263,6701,1,SA,1,100,0.002673
1709251288.706186,1217263,7172,1,SA,1,100,0.002357
1709251301.305099,1229862,9169,1,SA,1,100,0.006569
