LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709251145.854176,1074410.000,49673,1,SF,1,100,10.5925
1709251146.254174,1074810.000,49738,1,SF,1,100,10.4700
1709251146.521172,1075077.000,49786,1,SF,1,100,10.3489
1709251146.854169,1075410.000,49838,1,SF,1,100,12.3114
1709251147.188167,1075744.000,49887,1,SF,1,100,12.1690
1709251147.588164,1076144.000,49952,1,SF,1,100,12.0282
1709251147.854162,1076410.000,50001,1,SF,1,100,11.8891
1709251148.188160,1076744.000,50049,1,SF,1,100,11.7515
1709251148.587157,1077143.000,50114,1,SF,1,100,11.6156
1709251148.854156,1077410.000,50167,1,SF,1,100,11.4812
1709251149.188153,1077744.000,50215,1,SF,1,100,11.3484
1709251149.521151,1078077.000,50257,1,SF,1,100,11.2171
1709251149.921148,1078477.000,50326,1,SF,1,100,11.0874
1709251150.187146,1078743.000,50376,1,SF,1,100,10.9591
1709251150.521144,1079077.000,50425,1,SF,1,100,10.8323
1709251150.854142,1079410.000,50473,1,SF,1,100,10.7070
1709251151.254139,1079810.000,50540,1,SF,1,100,10.5832
1709251151.521137,1080077.000,50593,1,SF,1,100,10.4607
1709251151.854135,1080410.000,50641,1,SF,1,100,10.3397
1709251152.254132,1080810.000,50706,1,SF,1,100,10.2201
1709251152.587130,1081143.000,50755,1,SF,1,100,10.1019
1709251152.854128,1081410.000,50807,1,SF,1,100,12.0673
1709251153.187125,1081743.000,50856,1,SF,1,100,11.9277
1709251153.587123,1082143.000,50923,1,SF,1,100,13.8720
1709251153.854121,1082410.000,50971,1,SF,1,100,13.7115
1709251154.187119,1082743.000,51023,1,SF,1,100,15.6351
1709251154.520116,1083076.000,51076,1,SF,1,100,15.4543
1709251154.854114,1083410.000,51126,1,SF,1,100,15.2755
1709251155.254111,1083810.000,51193,1,SF,1,100,15.0988
1709251155.520109,1084076.000,51244,1,SF,1,100,14.9241
1709251155.853107,1084409.000,51292,1,SF,1,100,14.7515
1709251156.187105,1084743.000,51341,1,SF,1,100,14.5808
1709251156.587102,1085143.000,51408,1,SF,1,100,16.4944
1709251156.853100,1085409.000,51458,1,SF,1,100,16.3036
1709251157.187098,1085743.000,51507,1,SF,1,100,16.1150
1709251157.587095,1086143.000,51572,1,SF,1,100,15.9286
1709251157.853093,1086409.000,51620,1,SF,1,100,15.7443
1709251158.187091,1086743.000,51670,1,SF,1,100,15.5622
1709251158.520088,1087076.000,51719,1,SF,1,100,15.3822
1709251158.920086,1087476.000,51784,1,SF,1,100,15.2042
1709251159.186084,1087742.000,51833,1,SF,1,100,15.0283
