LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709251145.588178,1074144,49837,1,SR,1,100,1.200000
1709251151.388138,1079944,50790,1,SR,1,100,1.333333
1709251152.987127,1081543,50889,1,SR,1,100,0.266667
1709251153.787121,1082343,50990,1,SR,1,100,0.133333
1709251155.920106,1084476,51376,1,SR,1,100,0.400000
1709251162.386062,1090942,52502,1,SR,1,100,0.800000
1709251170.385006,1098941,53684,1,SR,1,100,0.200000
1709251176.050967,1104607,54686,1,SR,1,100,0.733333
1709251179.451943,1108008,55147,1,SR,1,100,0.200000
1709251181.517929,1110074,55546,1,SR,1,100,0.533333
1709251207.848747,1136405,59782,1,SR,1,100,0.600000
1709251263.442361,1191999,3196,1,SR,1,100,0.733333
1709251267.908330,1196465,3871,1,SR,1,100,0.466667
1709251285.706207,1214263,6702,1,SR,1,100,0.533333
1709251288.706186,1217263,7173,1,SR,1,100,0.600000
1709251301.305099,1229862,9170,1,SR,1,100,0.333333
