LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709251145.848176,1074404.000,49679,1,T1,1,100,33.008
1709251145.981175,1074537.000,49710,1,T1,1,100,32.968
1709251146.114175,1074670.000,49726,1,T1,1,100,32.986
1709251146.248173,1074804.000,49744,1,T1,1,100,32.852
1709251146.381173,1074937.000,49775,1,T1,1,100,32.971
1709251146.514172,1075070.000,49792,1,T1,1,100,33.023
1709251146.648171,1075204.000,49809,1,T1,1,100,33.045
1709251146.781170,1075337.000,49825,1,T1,1,100,33.126
1709251146.914169,1075470.000,49859,1,T1,1,100,33.090
1709251147.047168,1075603.000,49876,1,T1,1,100,33.003
1709251147.181167,1075737.000,49893,1,T1,1,100,33.002
1709251147.314166,1075870.000,49924,1,T1,1,100,32.894
1709251147.448165,1076004.000,49941,1,T1,1,100,32.883
1709251147.581164,1076137.000,49958,1,T1,1,100,32.985
1709251147.714163,1076270.000,49989,1,T1,1,100,33.029
1709251147.847162,1076403.000,50007,1,T1,1,100,33.013
1709251147.981162,1076537.000,50023,1,T1,1,100,32.899
1709251148.114161,1076670.000,50055,1,T1,1,100,32.921
1709251148.247160,1076803.000,50072,1,T1,1,100,33.001
1709251148.381159,1076937.000,50088,1,T1,1,100,33.001
1709251148.514158,1077070.000,50120,1,T1,1,100,33.000
1709251148.647157,1077203.000,50137,1,T1,1,100,32.965
1709251148.781156,1077337.000,50153,1,T1,1,100,32.878
1709251148.914155,1077470.000,50173,1,T1,1,100,32.983
1709251149.047154,1077603.000,50204,1,T1,1,100,32.993
1709251149.181153,1077737.000,50221,1,T1,1,100,32.926
1709251149.314152,1077870.000,50245,1,T1,1,100,32.968
1709251149.447151,1078003.000,50263,1,T1,1,100,32.986
1709251149.581151,1078137.000,50283,1,T1,1,100,32.888
1709251149.714149,1078270.000,50300,1,T1,1,100,33.058
1709251149.847149,1078403.000,50332,1,T1,1,100,33.131
1709251149.981148,1078537.000,50348,1,T1,1,100,33.021
1709251150.114147,1078670.000,50365,1,T1,1,100,32.974
1709251150.247146,1078803.000,50382,1,T1,1,100,32.989
1709251150.381145,1078937.000,50413,1,T1,1,100,32.995
1709251150.514144,1079070.000,50431,1,T1,1,100,33.069
1709251150.647143,1079203.000,50447,1,T1,1,100,33.101
1709251150.780142,1079336.000,50479,1,T1,1,100,33.079
1709251150.914141,1079470.000,50496,1,T1,1,100,32.999
1709251151.047140,1079603.000,50512,1,T1,1,100,33.070
1709251151.180139,1079736.000,50546,1,T1,1,100,32.995
1709251151.314138,1079870.000,50563,1,T1,1,100,33.069
1709251151.447138,1080003.000,50579,1,T1,1,100,33.101
1709251151.580137,1080136.000,50613,1,T1,1,100,32.866
1709251151.714136,1080270.000,50630,1,T1,1,100,32.978
1709251151.847135,1080403.000,50647,1,T1,1,100,33.026
1709251151.980134,1080536.000,50678,1,T1,1,100,33.082
1709251152.114133,1080670.000,50695,1,T1,1,100,33.142
1709251152.247132,1080803.000,50712,1,T1,1,100,33.061
1709251152.380131,1080936.000,50729,1,T1,1,100,33.062
1709251152.514130,1081070.000,50761,1,T1,1,100,33.062
1709251152.647129,1081203.000,50777,1,T1,1,100,33.062
1709251152.780128,1081336.000,50796,1,T1,1,100,33.062
1709251152.914127,1081470.000,50828,1,T1,1,100,33.098
1709251153.047127,1081603.000,50844,1,T1,1,100,32.971
1709251153.180125,1081736.000,50862,1,T1,1,100,33.023
1709251153.314125,1081870.000,50895,1,T1,1,100,33.045
1709251153.447124,1082003.000,50911,1,T1,1,100,33.126
