LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709251145.863176,1074419.000,49680,1,TH,1,100,32.673
1709251145.996175,1074552.000,49711,1,TH,1,100,32.653
1709251146.129174,1074685.000,49727,1,TH,1,100,32.653
1709251146.263173,1074819.000,49745,1,TH,1,100,32.722
1709251146.396173,1074952.000,49776,1,TH,1,100,32.722
1709251146.529172,1075085.000,49793,1,TH,1,100,32.709
1709251146.662171,1075218.000,49810,1,TH,1,100,32.709
1709251146.796170,1075352.000,49844,1,TH,1,100,32.609
1709251146.929169,1075485.000,49860,1,TH,1,100,32.609
1709251147.063168,1075619.000,49877,1,TH,1,100,32.660
1709251147.196167,1075752.000,49894,1,TH,1,100,32.667
1709251147.329166,1075885.000,49925,1,TH,1,100,32.716
1709251147.462165,1076018.000,49942,1,TH,1,100,32.716
1709251147.596164,1076152.000,49959,1,TH,1,100,32.696
1709251147.729163,1076285.000,49990,1,TH,1,100,32.696
1709251147.862162,1076418.000,50008,1,TH,1,100,32.738
1709251147.996161,1076552.000,50024,1,TH,1,100,32.738
1709251148.129160,1076685.000,50056,1,TH,1,100,32.770
1709251148.262160,1076818.000,50073,1,TH,1,100,32.777
1709251148.396159,1076952.000,50089,1,TH,1,100,32.750
1709251148.529158,1077085.000,50121,1,TH,1,100,32.750
1709251148.662157,1077218.000,50138,1,TH,1,100,32.706
1709251148.796156,1077352.000,50154,1,TH,1,100,32.706
1709251148.929155,1077485.000,50188,1,TH,1,100,32.665
1709251149.062154,1077618.000,50205,1,TH,1,100,32.665
1709251149.196153,1077752.000,50222,1,TH,1,100,32.718
1709251149.329152,1077885.000,50246,1,TH,1,100,32.718
1709251149.462151,1078018.000,50264,1,TH,1,100,32.711
1709251149.596150,1078152.000,50284,1,TH,1,100,32.718
1709251149.729149,1078285.000,50301,1,TH,1,100,32.659
1709251149.862149,1078418.000,50333,1,TH,1,100,32.659
1709251149.996148,1078552.000,50349,1,TH,1,100,32.713
1709251150.129147,1078685.000,50366,1,TH,1,100,32.713
1709251150.262146,1078818.000,50398,1,TH,1,100,32.708
1709251150.395145,1078951.000,50414,1,TH,1,100,32.708
1709251150.529144,1079085.000,50432,1,TH,1,100,32.791
1709251150.662143,1079218.000,50448,1,TH,1,100,32.791
1709251150.795142,1079351.000,50480,1,TH,1,100,32.752
1709251150.929141,1079485.000,50497,1,TH,1,100,32.759
1709251151.062140,1079618.000,50513,1,TH,1,100,32.762
1709251151.195139,1079751.000,50547,1,TH,1,100,32.762
1709251151.329138,1079885.000,50564,1,TH,1,100,32.693
1709251151.462137,1080018.000,50580,1,TH,1,100,32.693
1709251151.595136,1080151.000,50614,1,TH,1,100,32.723
1709251151.729136,1080285.000,50631,1,TH,1,100,32.723
1709251151.862135,1080418.000,50648,1,TH,1,100,32.789
1709251151.995134,1080551.000,50679,1,TH,1,100,32.788
1709251152.129133,1080685.000,50696,1,TH,1,100,32.713
1709251152.262132,1080818.000,50713,1,TH,1,100,32.720
1709251152.395131,1080951.000,50744,1,TH,1,100,32.740
1709251152.529130,1081085.000,50762,1,TH,1,100,32.740
1709251152.662129,1081218.000,50778,1,TH,1,100,32.751
1709251152.795128,1081351.000,50797,1,TH,1,100,32.751
1709251152.929127,1081485.000,50829,1,TH,1,100,32.788
1709251153.062126,1081618.000,50845,1,TH,1,100,32.788
1709251153.195125,1081751.000,50863,1,TH,1,100,32.756
1709251153.328125,1081884.000,50896,1,TH,1,100,32.756
1709251153.462124,1082018.000,50912,1,TH,1,100,32.766
1709251153.595123,1082151.000,50930,1,TH,1,100,32.773
1709251153.729122,1082285.000,50961,1,TH,1,100,32.766
1709251153.862121,1082418.000,50978,1,TH,1,100,32.766
1709251153.995120,1082551.000,50997,1,TH,1,100,32.766
1709251154.129119,1082685.000,51029,1,TH,1,100,32.766
1709251154.262118,1082818.000,51045,1,TH,1,100,32.754
1709251154.395117,1082951.000,51062,1,TH,1,100,32.754
1709251154.528116,1083084.000,51083,1,TH,1,100,32.798
1709251154.662115,1083218.000,51101,1,TH,1,100,32.798
1709251154.795114,1083351.000,51133,1,TH,1,100,32.827
1709251154.928113,1083484.000,51150,1,TH,1,100,32.834
1709251155.062113,1083618.000,51166,1,TH,1,100,32.753
1709251155.195112,1083751.000,51200,1,TH,1,100,32.753
1709251155.328111,1083884.000,51217,1,TH,1,100,32.727
1709251155.462110,1084018.000,51233,1,TH,1,100,32.727
1709251155.595109,1084151.000,51265,1,TH,1,100,32.793
1709251155.728108,1084284.000,51282,1,TH,1,100,32.793
1709251155.862107,1084418.000,51299,1,TH,1,100,32.790
