LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709251149.319152,1077875.000,50233,1,TL,1,100,2024-02-29_18-59-04-356849
1709251149.326152,1077882.000,50235,1,TL,1,100,2024-02-29_18-59-04-356922
1709251149.364152,1077920.000,50238,1,TL,1,100,2024-02-29_18-59-09-341790
1709251154.452117,1083008.000,51072,1,TL,1,100,2024-02-29_18-59-09-470883
1709251159.582081,1088138.000,51900,1,TL,1,100,2024-02-29_18-59-14-537802
1709251159.585081,1088141.000,51902,1,TL,1,100,2024-02-29_18-59-14-601099
1709251159.603081,1088159.000,51905,1,TL,1,100,2024-02-29_18-59-19-596081
1709251164.709046,1093265.000,52737,1,TL,1,100,2024-02-29_18-59-19-756559
1709251169.817010,1098373.000,53546,1,TL,1,100,2024-02-29_18-59-25-323857
1709251169.820010,1098376.000,53548,1,TL,1,100,2024-02-29_18-59-25-323930
1709251174.952975,1103509.000,54379,1,TL,1,100,2024-02-29_18-59-30-316570
1709251174.954975,1103511.000,54381,1,TL,1,100,2024-02-29_18-59-30-316641
1709251175.009974,1103566.000,54384,1,TL,1,100,2024-02-29_18-59-35-005003
1709251180.069939,1108626.000,55212,1,TL,1,100,2024-02-29_18-59-35-112099
1709251185.201904,1113758.000,56041,1,TL,1,100,2024-02-29_18-59-40-367485
1709251185.203903,1113760.000,56043,1,TL,1,100,2024-02-29_18-59-40-367577
1709251190.327868,1118884.000,56866,1,TL,1,100,2024-02-29_18-59-45-487001
1709251190.333868,1118890.000,56868,1,TL,1,100,2024-02-29_18-59-45-487086
1709251190.377868,1118934.000,56871,1,TL,1,100,2024-02-29_18-59-50-372778
1709251195.451833,1124008.000,57695,1,TL,1,100,2024-02-29_18-59-51-299270
1709251195.469832,1124026.000,57698,1,TL,1,100,2024-02-29_18-59-55-464767
1709251200.579797,1129136.000,58525,1,TL,1,100,2024-02-29_18-59-55-593868
1709251205.690762,1134247.000,59332,1,TL,1,100,2024-02-29_19-00-00-997091
1709251205.692761,1134249.000,59334,1,TL,1,100,2024-02-29_19-00-00-997167
1709251210.819726,1139376.000,60162,1,TL,1,100,2024-02-29_19-00-06-255896
