RD,TS_received,TS_sent,AK,RoundTrip,
1077889,1077920,2024-02-29_18-59-09-341790,1077921,31,
1083013,1088138,2024-02-29_18-59-14-537802,1088139,5125,
1088145,1088159,2024-02-29_18-59-19-596081,1088160,14,
1093268,1098373,2024-02-29_18-59-25-323857,1098375,5105,
1098377,1103509,2024-02-29_18-59-30-316570,1103510,5132,
1103516,1103566,2024-02-29_18-59-35-005003,1103571,50,
1108628,1113758,2024-02-29_18-59-40-367485,1113759,5130,
1113762,1118884,2024-02-29_18-59-45-487001,1118888,5122,
1118891,1118934,2024-02-29_18-59-50-372778,1118935,43,
1124010,1124026,2024-02-29_18-59-55-464767,1124027,16,
1129142,1134247,2024-02-29_19-00-00-997091,1134248,5105,
1134252,1139376,2024-02-29_19-00-06-255896,1139380,5124,
1139385,1144517,2024-02-29_19-00-11-194537,1144518,5132,
1144521,1144538,2024-02-29_19-00-15-974599,1144540,17,
1149652,1154773,2024-02-29_19-00-21-275341,1154777,5121,
1154780,1154814,2024-02-29_19-00-26-246023,1154818,34,
1159916,1159991,2024-02-29_19-00-31-429404,1159992,75,
1165023,1165064,2024-02-29_19-00-36-501675,1165065,41,
1170157,1175283,2024-02-29_19-00-42-322762,1175284,5126,
1175287,1180418,2024-02-29_19-00-46-984389,1180420,5131,
1180423,1185526,2024-02-29_19-00-52-606174,1185527,5103,
1185530,1190648,2024-02-29_19-00-57-404310,1190649,5118,
1190655,1190748,2024-02-29_19-01-02-185660,1190750,93,
1195792,1200900,2024-02-29_19-01-07-341061,1200901,5108,
1200907,1201001,2024-02-29_19-01-12-439319,1201002,94,
1206014,1206027,2024-02-29_19-01-17-462344,1206028,13,
1211138,1216244,2024-02-29_19-01-22-979296,1216245,5106,
1216252,1221374,2024-02-29_19-01-27-995533,1221376,5122,
1221380,1226505,2024-02-29_19-01-33-301526,1226507,5125,
1226511,1226551,2024-02-29_19-01-37-959308,1226552,40,
1231612,1236719,2024-02-29_19-01-43-358151,1236720,5107,
1236723,1241854,2024-02-29_19-01-48-368004,1241856,5131,
1241862,1246974,2024-02-29_19-01-53-406204,1246976,5112,
1246982,1246990,2024-02-29_19-01-58-428980,1246991,8,
1252084,
