timestamps,TP9,AF7,AF8,TP10,Right AUX
1701222357.939,47.852,-942.383,47.852,7.812,-42.969
1701222357.943,-1.953,-925.781,47.363,27.832,-68.848
1701222357.947,-12.207,-595.703,48.340,73.242,36.133
1701222357.951,54.688,-562.500,51.270,52.734,62.500
1701222357.955,88.867,-890.625,52.246,4.883,-12.207
1701222357.959,30.762,-944.824,48.340,4.883,-22.461
1701222357.963,-14.160,-732.910,45.898,49.805,41.992
1701222357.966,30.762,-670.898,46.387,56.152,78.613
1701222357.970,91.309,-876.953,47.852,16.602,13.184
1701222357.974,54.199,-917.969,45.410,17.578,-26.855
1701222357.978,-3.418,-611.328,41.992,44.922,45.898
1701222357.982,16.602,-490.723,42.480,57.617,71.289
1701222358.011,57.617,-777.832,43.945,31.250,21.973
1701222358.015,48.340,-1000.000,43.457,8.789,-45.410
1701222358.019,0.488,-779.785,40.039,30.273,-5.859
1701222358.023,-5.371,-481.934,39.062,61.523,92.773
1701222358.027,53.223,-747.070,43.457,43.457,43.945
1701222358.031,81.055,-1000.000,45.410,-8.301,-76.660
1701222358.035,14.648,-857.422,39.551,3.418,-34.668
1701222358.038,-11.719,-601.074,37.598,43.945,48.340
1701222358.042,44.434,-794.434,38.574,30.273,50.293
1701222358.046,60.547,-1000.000,39.551,-16.113,-17.090
1701222358.050,7.324,-863.281,42.969,-0.488,-18.555
1701222358.054,-22.949,-725.586,42.480,56.152,46.875
1701222358.040,31.250,-740.723,42.480,58.105,62.012
1701222358.044,93.750,-843.750,43.457,9.277,10.254
1701222358.048,60.059,-953.613,44.434,8.789,-43.945
1701222358.052,-1.465,-790.527,47.852,63.477,3.418
1701222358.056,22.461,-598.145,50.781,61.035,80.078
1701222358.060,69.824,-784.180,47.852,10.254,38.086
1701222358.064,44.922,-1000.000,42.480,-12.207,-23.438
1701222358.067,-22.949,-895.508,41.992,20.508,13.672
1701222358.071,-18.555,-585.449,41.992,51.758,89.844
1701222358.075,58.594,-637.695,42.480,30.762,64.941
1701222358.079,58.594,-930.664,42.480,-0.488,-15.137
1701222358.083,-8.789,-998.047,39.551,13.184,-57.617
1701222358.102,-31.738,-886.230,37.598,45.410,-9.277
1701222358.106,22.461,-671.387,40.039,41.504,64.941
1701222358.110,63.965,-832.520,43.457,0.000,18.555
1701222358.114,24.902,-935.059,42.480,7.324,-18.555
1701222358.118,-14.160,-615.234,44.434,52.734,44.434
1701222358.122,35.645,-625.977,40.527,65.430,71.777
1701222358.126,89.355,-912.598,43.457,37.598,8.301
1701222358.129,40.039,-1000.000,53.711,6.348,-71.777
1701222358.133,-5.371,-791.016,53.711,45.410,-21.484
1701222358.137,-5.859,-456.543,53.711,68.848,86.426
1701222358.141,14.648,-687.500,57.129,26.367,52.246
1701222358.145,18.066,-1000.000,59.082,0.977,-23.926
1701222358.236,-34.668,-880.371,58.105,11.719,-20.508
1701222358.240,-54.199,-531.250,53.711,47.363,64.453
1701222358.244,10.742,-645.508,55.176,38.086,93.750
1701222358.248,45.410,-1000.000,58.594,-12.207,0.488
1701222358.252,-18.555,-919.434,56.152,-6.836,-25.391
1701222358.256,-45.410,-752.930,54.199,49.316,41.016
1701222358.260,5.859,-834.473,54.199,50.293,48.340
1701222358.263,45.898,-979.980,52.734,0.000,-19.043
1701222358.267,28.809,-985.352,50.781,-7.324,-49.316
1701222358.271,-21.484,-703.613,49.316,35.156,13.672
1701222358.275,-9.766,-682.617,48.340,41.992,70.312
1701222358.279,43.945,-989.746,49.805,3.906,9.766
1701222358.240,49.316,-957.520,45.410,-13.184,-27.344
1701222358.244,4.395,-758.301,42.480,20.996,4.395
1701222358.248,-12.695,-687.988,44.434,47.363,24.902
1701222358.252,22.461,-814.453,43.457,10.254,12.695
1701222358.256,41.016,-938.477,42.969,-20.508,-31.250
1701222358.260,-7.324,-960.449,44.922,20.020,-17.578
1701222358.264,-41.016,-868.164,44.922,69.824,47.852
1701222358.267,20.996,-814.941,44.434,38.574,29.785
1701222358.271,64.941,-864.746,42.480,-12.695,-6.836
1701222358.275,8.301,-958.984,43.457,3.418,-40.039
1701222358.279,-26.855,-820.801,41.504,48.828,-14.648
1701222358.283,15.625,-577.637,38.574,52.734,66.406
1701222358.267,71.289,-755.859,41.992,19.531,39.551
1701222358.271,31.250,-1000.000,42.480,19.531,-26.855
1701222358.275,-36.133,-793.457,42.969,50.293,24.414
1701222358.279,-6.836,-508.301,41.992,67.383,89.844
1701222358.283,64.453,-768.066,44.922,33.691,30.762
1701222358.287,58.105,-1000.000,49.316,10.254,-58.105
1701222358.291,-2.441,-903.320,46.875,45.410,-46.387
1701222358.294,-15.625,-687.988,43.457,75.195,60.059
1701222358.298,40.039,-798.828,45.410,52.246,53.711
1701222358.302,61.523,-995.117,47.852,12.207,-53.223
1701222358.306,5.371,-939.453,47.852,28.809,-57.617
1701222358.310,1.465,-754.883,47.852,79.102,17.090
1701222358.271,47.363,-763.184,44.434,64.941,36.621
1701222358.275,54.688,-964.844,45.898,14.160,-27.832
1701222358.279,12.207,-956.543,45.898,21.484,-64.453
1701222358.283,-25.391,-721.191,38.574,60.547,11.230
1701222358.287,19.531,-639.648,37.598,71.289,59.082
1701222358.291,58.594,-878.418,41.504,29.785,16.602
1701222358.295,43.457,-1000.000,41.992,18.555,-58.594
1701222358.298,-4.883,-838.379,40.527,45.410,-37.598
1701222358.302,11.719,-685.547,37.598,63.965,29.297
1701222358.306,76.172,-880.371,38.574,31.250,-14.160
1701222358.310,53.223,-1000.000,40.039,0.977,-109.375
1701222358.314,-0.977,-835.449,35.156,31.738,-41.504
1701222358.342,-6.836,-590.820,30.762,61.523,75.195
1701222358.346,44.922,-724.121,31.738,36.133,65.430
1701222358.350,59.082,-973.633,30.273,-9.277,-22.949
1701222358.354,3.418,-850.098,28.320,18.066,-12.207
1701222358.358,-20.020,-669.922,30.762,63.965,48.828
1701222358.362,40.527,-903.809,35.156,52.734,19.043
1701222358.366,75.195,-1000.000,32.227,10.742,-56.152
1701222358.369,48.828,-811.523,24.902,22.949,-62.500
1701222358.373,16.113,-592.285,27.832,76.660,24.414
1701222358.377,29.785,-513.672,36.133,65.918,65.918
1701222358.381,68.848,-640.625,39.062,12.695,6.348
1701222358.385,50.293,-869.141,38.086,-1.465,-68.848
1701222358.401,-14.160,-677.246,38.574,32.227,-7.324
1701222358.405,-10.254,-377.930,40.039,70.801,83.496
1701222358.409,56.641,-628.906,41.992,45.898,30.762
1701222358.413,48.828,-1000.000,45.898,-5.859,-57.129
