timestamps,TP9,AF7,AF8,TP10,Right AUX
1701220171.493,314.453,53.223,76.660,214.355,48.828
1701220171.497,325.195,14.648,50.781,249.023,54.199
1701220171.501,376.953,-15.137,26.367,270.020,85.938
1701220171.505,398.438,-46.875,6.836,354.980,163.086
1701220171.509,339.355,-73.730,-5.371,346.191,147.461
1701220171.513,276.367,-104.980,-26.367,241.211,142.090
1701220171.517,292.480,-115.234,-40.527,296.387,167.969
1701220171.520,313.477,-120.117,-51.758,304.199,196.289
1701220171.524,365.723,-127.930,-68.359,242.188,225.586
1701220171.528,363.770,-118.652,-73.730,237.793,206.055
1701220171.532,240.234,-116.699,-66.895,222.656,205.078
1701220171.536,135.742,-112.793,-67.383,189.941,245.117
1701220171.539,132.324,-109.863,-83.008,122.070,282.227
1701220171.543,132.324,-111.816,-86.914,51.758,274.902
1701220171.547,105.957,-99.121,-74.707,33.691,246.094
1701220171.551,58.594,-78.613,-66.895,62.500,284.668
1701220171.555,13.184,-82.031,-63.965,7.812,338.379
1701220171.559,-39.551,-104.004,-90.332,-131.348,327.148
1701220171.563,-67.383,-79.590,-94.238,-168.457,326.172
1701220171.566,-92.773,-65.918,-82.520,-130.859,348.633
1701220171.570,-76.172,-75.195,-87.891,-112.305,407.227
1701220171.574,-59.570,-56.641,-83.984,-114.258,439.941
1701220171.578,-99.609,-61.523,-91.309,-158.691,417.969
1701220171.582,-206.543,-71.777,-83.984,-182.617,431.641
1701220171.552,-192.383,-35.645,-67.383,-179.688,507.812
1701220171.556,-128.418,-33.203,-67.871,-188.965,559.570
1701220171.560,-89.355,-27.832,-67.383,-160.645,510.254
1701220171.564,-41.504,2.930,-73.242,-130.859,522.949
1701220171.568,-71.289,10.742,-69.824,-99.121,593.750
1701220171.572,-77.148,30.762,-61.035,-103.027,632.812
1701220171.576,-70.312,18.066,-71.777,-175.781,616.699
1701220171.579,-146.484,30.273,-71.289,-188.965,607.422
1701220171.583,-93.262,107.910,-40.527,-128.418,647.461
1701220171.587,-6.348,111.816,-41.992,-61.035,693.848
1701220171.591,19.043,130.859,-36.621,-28.809,704.102
1701220171.595,-45.898,159.180,-19.043,-99.609,688.965
1701220171.615,-32.227,168.457,-23.438,-113.281,724.121
1701220171.619,-50.781,185.059,-0.488,-16.113,769.043
1701220171.623,-43.457,215.332,7.324,-34.180,756.348
1701220171.627,-86.426,240.234,11.230,-132.812,734.863
1701220171.631,-111.816,267.578,30.762,-109.375,762.207
1701220171.635,-68.359,295.898,40.039,-82.520,797.852
1701220171.639,-53.711,330.566,35.645,-93.750,815.430
1701220171.642,17.090,352.051,36.621,-72.266,781.738
1701220171.646,35.645,352.539,33.203,-42.480,753.418
1701220171.650,-36.133,363.770,35.156,-3.418,793.457
1701220171.654,-78.125,368.652,43.945,-52.246,806.641
1701220171.658,-33.203,378.906,35.645,-112.793,780.762
1701220171.658,-6.836,389.160,27.344,-79.102,721.191
1701220171.662,-45.898,402.344,28.320,-56.152,728.516
1701220171.666,-35.156,401.855,23.438,-63.965,752.930
1701220171.670,14.160,388.672,26.367,-5.859,745.605
1701220171.674,-18.555,376.465,21.973,-13.184,693.848
1701220171.678,-28.809,375.488,7.812,-59.570,652.832
1701220171.682,-22.949,368.652,4.883,-26.367,687.500
1701220171.685,23.438,354.004,-12.695,-33.203,700.195
1701220171.689,62.012,347.168,-22.461,-35.645,644.043
1701220171.693,-46.387,336.426,-23.926,-4.395,583.496
1701220171.697,-66.406,314.941,-31.738,-18.066,604.980
1701220171.701,35.156,294.922,-35.645,-46.387,644.531
1701220171.733,26.855,266.602,-46.387,-34.668,618.164
1701220171.737,15.625,258.301,-48.340,21.484,565.430
1701220171.741,41.016,234.863,-45.898,47.852,570.801
1701220171.745,57.617,202.148,-59.570,10.254,612.793
1701220171.749,193.848,197.754,-62.012,76.660,562.012
1701220171.753,110.352,167.969,-58.105,126.953,486.816
1701220171.757,-29.785,143.555,-60.059,23.438,467.773
1701220171.760,74.707,127.930,-55.664,18.066,523.926
1701220171.764,172.852,111.816,-57.617,104.004,521.973
1701220171.768,154.785,98.633,-68.848,154.297,452.637
1701220171.772,62.988,78.125,-68.359,170.410,501.953
1701220171.776,161.621,66.895,-59.082,165.527,544.434
1701220171.762,176.270,42.969,-59.082,159.668,521.484
1701220171.766,195.801,22.461,-71.289,160.645,526.367
1701220171.770,410.156,20.996,-67.871,272.949,526.855
1701220171.774,362.305,4.883,-62.988,395.996,551.758
1701220171.778,251.465,-20.996,-81.055,367.188,566.895
1701220171.782,360.352,-37.598,-87.891,313.477,516.602
1701220171.786,347.656,-47.852,-83.984,378.418,477.051
1701220171.789,387.695,-47.363,-88.867,424.805,509.277
1701220171.793,496.094,-47.852,-98.633,416.016,591.309
1701220171.797,508.301,-53.711,-100.586,506.348,597.168
1701220171.801,418.457,-58.594,-101.074,555.664,543.457
1701220171.805,448.242,-56.641,-111.816,486.328,518.066
1701220171.792,490.234,-55.176,-115.723,441.406,519.043
1701220171.796,506.348,-55.176,-116.211,444.824,537.109
1701220171.800,489.258,-53.711,-116.211,462.402,514.160
1701220171.804,399.902,-49.805,-107.910,475.098,492.188
1701220171.808,401.855,-46.875,-99.609,461.426,494.629
1701220171.812,412.109,-44.434,-102.539,427.246,512.207
1701220171.816,389.648,-44.922,-102.539,422.363,504.395
1701220171.819,375.977,-41.504,-94.727,393.555,447.266
1701220171.823,356.934,-27.344,-89.355,351.074,450.684
1701220171.827,318.359,-38.574,-85.938,290.039,492.188
1701220171.831,288.574,-20.508,-72.754,266.113,432.617
1701220171.835,268.066,-8.789,-54.199,264.648,342.285
1701220171.838,215.820,-22.461,-51.270,205.566,366.211
1701220171.842,157.715,-30.273,-58.105,141.113,444.336
1701220171.846,128.906,-40.527,-47.852,93.750,436.523
1701220171.850,100.586,-28.809,-27.832,72.754,365.234
1701220171.854,65.430,-29.785,-21.484,23.438,375.000
1701220171.858,-27.832,-46.387,-16.602,-43.945,423.340
1701220171.862,-37.598,-38.086,0.488,-61.523,378.418
1701220171.865,-46.387,-53.711,4.395,-84.961,310.547
1701220171.869,-186.035,-59.082,-0.488,-144.531,331.055
1701220171.873,-173.340,-27.832,-9.277,-178.711,354.980
1701220171.877,-193.848,-67.871,-22.461,-210.449,322.266
1701220171.881,-149.902,-29.785,-0.488,-207.031,252.930
1701220171.882,-126.953,18.555,-16.602,-189.453,186.035
1701220171.886,-188.477,-11.230,-45.898,-200.195,216.797
1701220171.890,-137.695,0.488,-29.297,-167.969,240.234
1701220171.894,-95.215,26.367,-11.230,-183.594,138.672
1701220171.898,-120.605,25.391,-6.836,-157.227,97.656
1701220171.902,-145.508,31.250,-14.160,-96.191,89.355
1701220171.906,-125.000,46.387,-16.602,-155.273,64.453
1701220171.909,-139.160,51.270,-14.160,-178.711,37.598
1701220171.913,-109.863,67.383,-16.602,-163.086,2.930
1701220171.917,-71.777,80.078,-15.625,-150.879,-28.809
1701220171.921,-73.730,76.172,-8.789,-56.152,-35.645
1701220171.925,-22.949,85.449,-7.324,-22.949,-44.434
1701220171.944,-11.230,93.262,-7.812,-37.109,-66.895
1701220171.948,5.371,92.285,-11.719,-25.391,-80.566
1701220171.952,107.910,95.703,-10.254,44.922,-89.844
1701220171.956,170.898,93.262,-8.301,116.699,-62.988
1701220171.960,164.062,82.031,-14.648,127.930,-97.168
1701220171.964,145.508,74.219,-17.090,156.250,-144.043
1701220171.968,213.867,75.684,-22.461,203.125,-149.414
1701220171.971,249.512,65.918,-31.738,210.938,-113.281
1701220171.975,248.535,49.316,-35.156,227.539,-117.188
1701220171.979,310.059,45.410,-43.457,272.461,-187.012
1701220171.983,301.758,41.992,-50.293,290.527,-199.219
1701220171.987,285.156,39.551,-57.129,244.629,-159.668
1701220172.003,328.613,35.156,-63.477,279.785,-142.578
1701220172.007,347.656,27.832,-66.406,301.270,-180.176
1701220172.011,317.871,24.902,-68.848,262.207,-181.152
1701220172.015,339.355,24.902,-66.895,296.875,-105.469
1701220172.019,339.355,25.879,-60.547,307.129,-115.723
1701220172.023,289.551,19.531,-61.523,265.625,-204.102
1701220172.027,286.133,19.043,-63.477,250.000,-222.168
1701220172.030,292.969,22.949,-59.570,251.465,-218.750
1701220172.034,315.918,19.531,-57.617,275.391,-206.543
