LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1701221179.846036,2337099.000,56297,2,AK,1,100,55568
1701221179.846036,2337099.000,56297,2,AK,1,100,RD
1701221182.406024,2339659.500,57131,2,AK,1,100,56298
1701221184.966013,2342220.000,57131,2,AK,1,100,RD
1701221184.967513,2342221.500,57133,2,AK,1,100,56298
1701221184.969012,2342223.000,57133,2,AK,1,100,RD
1701221185.007005,2342261.000,57136,2,AK,1,100,57134
1701221185.044997,2342299.000,57136,2,AK,1,100,RD
1701221187.564994,2344819.500,57970,2,AK,1,100,57134
1701221190.084990,2347340.000,57970,2,AK,1,100,RD
1701221192.640980,2349896.500,58787,2,AK,1,100,57971
1701221195.196969,2352453.000,58787,2,AK,1,100,RD
1701221195.199469,2352455.500,58789,2,AK,1,100,57971
1701221195.201968,2352458.000,58789,2,AK,1,100,RD
1701221197.759457,2355016.000,59614,2,AK,1,100,58790
1701221200.316946,2357574.000,59614,2,AK,1,100,RD
1701221202.880434,2360138.000,60453,2,AK,1,100,59615
1701221205.443922,2362702.000,60453,2,AK,1,100,RD
1701221205.444922,2362703.000,60455,2,AK,1,100,59615
1701221205.445922,2362704.000,60455,2,AK,1,100,RD
1701221208.004411,2365263.000,61285,2,AK,1,100,60456
1701221210.562900,2367822.000,61285,2,AK,1,100,RD
1701221210.564399,2367823.500,61287,2,AK,1,100,60456
1701221210.565899,2367825.000,61287,2,AK,1,100,RD
1701221210.599392,2367858.500,61290,2,AK,1,100,61288
1701221210.632885,2367892.000,61290,2,AK,1,100,RD
1701221213.156881,2370416.500,62122,2,AK,1,100,61288
1701221215.680877,2372941.000,62122,2,AK,1,100,RD
1701221215.705372,2372965.500,62125,2,AK,1,100,62123
1701221215.729867,2372990.000,62125,2,AK,1,100,RD
1701221218.266361,2375527.000,62961,2,AK,1,100,62123
1701221220.802854,2378064.000,62961,2,AK,1,100,RD
1701221223.357844,2380619.500,63776,2,AK,1,100,62962
1701221225.912833,2383175.000,63776,2,AK,1,100,RD
1701221225.913833,2383176.000,63778,2,AK,1,100,62962
1701221225.914833,2383177.000,63778,2,AK,1,100,RD
1701221231.028811,2388292.000,65432,2,AK,1,100,64599
1701221236.142790,2393407.000,65432,2,AK,1,100,RD
1701221236.144289,2393408.500,65434,2,AK,1,100,64599
1701221236.145789,2393410.000,65434,2,AK,1,100,RD
1701221236.155787,2393420.000,65437,2,AK,1,100,65435
1701221236.165785,2393430.000,65437,2,AK,1,100,RD
1701221238.712776,2395977.500,730,2,AK,1,100,65435
1701221241.259767,2398525.000,730,2,AK,1,100,RD
1701221241.266266,2398531.500,733,2,AK,1,100,731
1701221241.272765,2398538.000,733,2,AK,1,100,RD
1701221243.819756,2401085.500,1572,2,AK,1,100,731
1701221246.366747,2403633.000,1572,2,AK,1,100,RD
1701221246.376745,2403643.000,1575,2,AK,1,100,1573
1701221246.386743,2403653.000,1575,2,AK,1,100,RD
