LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1701221177.824440,2335077.000,55986,1,B%,1,100, 0
1701221182.822441,2340076.000,56797,1,B%,1,100, 0
1701221187.821442,2345076.000,57622,1,B%,1,100, 0
1701221192.819444,2350075.000,58424,1,B%,1,100, 0
1701221197.818445,2355075.000,59217,1,B%,1,100, 0
1701221202.816447,2360074.000,60034,1,B%,1,100, 0
1701221207.815448,2365074.000,60854,1,B%,1,100, 0
1701221212.813450,2370073.000,61672,1,B%,1,100, 0
1701221217.812451,2375073.000,62476,1,B%,1,100, 0
1701221222.810453,2380072.000,63293,1,B%,1,100, 0
1701221227.809454,2385072.000,64096,1,B%,1,100, 0
1701221232.807456,2390071.000,64900,1,B%,1,100, 0
1701221237.806457,2395071.000,186,1,B%,1,100, 0
1701221242.804459,2400070.000,1002,1,B%,1,100, 0
