LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1701221181.391727,2338645,56546,1,BI,1,100,7880
1701221182.071591,2339325,56647,1,BI,1,100,680
1701221185.843837,2343098,57270,1,BI,1,100,3760
1701221186.163774,2343418,57322,1,BI,1,100,320
1701221187.443518,2344698,57537,1,BI,1,100,1280
1701221188.576292,2345831,57722,1,BI,1,100,1120
1701221199.880033,2357137,59529,1,BI,1,100,11280
1701221200.958818,2358216,59716,1,BI,1,100,1080
1701221201.478714,2358736,59800,1,BI,1,100,520
1701221203.118387,2360376,60068,1,BI,1,100,1640
1701221204.212168,2361470,60254,1,BI,1,100,1080
1701221204.811049,2362069,60354,1,BI,1,100,600
1701221207.690473,2364949,60818,1,BI,1,100,2880
1701221209.263159,2366522,61070,1,BI,1,100,1560
1701221211.062800,2368322,61357,1,BI,1,100,1800
1701221214.435126,2371695,61920,1,BI,1,100,3360
1701221215.154982,2372415,62035,1,BI,1,100,720
1701221215.514910,2372775,62087,1,BI,1,100,360
1701221216.554703,2373815,62259,1,BI,1,100,1040
1701221216.954623,2374215,62328,1,BI,1,100,400
1701221218.167380,2375428,62528,1,BI,1,100,1200
1701221219.487117,2376748,62744,1,BI,1,100,1320
1701221220.126989,2377388,62845,1,BI,1,100,640
1701221222.646486,2379908,63242,1,BI,1,100,2520
1701221223.459323,2380721,63376,1,BI,1,100,800
1701221224.659084,2381921,63576,1,BI,1,100,1200
1701221225.498916,2382761,63708,1,BI,1,100,840
1701221228.031410,2385294,64114,1,BI,1,100,2520
1701221228.671282,2385934,64213,1,BI,1,100,640
1701221229.871042,2387134,64412,1,BI,1,100,1200
1701221230.589899,2387853,64532,1,BI,1,100,720
1701221230.989819,2388253,64601,1,BI,1,100,400
1701221233.003417,2390267,64918,1,BI,1,100,2000
1701221233.562305,2390826,65002,1,BI,1,100,560
1701221236.161786,2393426,65439,1,BI,1,100,2600
1701221236.641690,2393906,65507,1,BI,1,100,480
1701221238.654288,2395919,301,1,BI,1,100,2000
1701221239.374144,2396639,416,1,BI,1,100,720
1701221243.346351,2400612,1069,1,BI,1,100,3960
1701221243.906239,2401172,1170,1,BI,1,100,560
1701221244.546111,2401812,1268,1,BI,1,100,640
1701221245.225975,2402492,1388,1,BI,1,100,680
1701221245.985823,2403252,1504,1,BI,1,100,760
