LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1701221177.824440,2335077.000,55985,1,BV,1,100,3.28
1701221182.822441,2340076.000,56796,1,BV,1,100,3.26
1701221187.821442,2345076.000,57621,1,BV,1,100,3.26
1701221192.819444,2350075.000,58423,1,BV,1,100,3.25
1701221197.818445,2355075.000,59216,1,BV,1,100,3.25
1701221202.816447,2360074.000,60033,1,BV,1,100,3.24
1701221207.815448,2365074.000,60853,1,BV,1,100,3.24
1701221212.813450,2370073.000,61671,1,BV,1,100,3.23
1701221217.812451,2375073.000,62475,1,BV,1,100,3.23
1701221222.810453,2380072.000,63292,1,BV,1,100,3.23
1701221227.809454,2385072.000,64095,1,BV,1,100,3.22
1701221232.807456,2390071.000,64899,1,BV,1,100,3.22
1701221237.806457,2395071.000,185,1,BV,1,100,3.21
1701221242.804459,2400070.000,1001,1,BV,1,100,3.21
