LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1701221177.858433,2335111.000,55973,2,EL,1,100,25977.199219
1701221177.858433,2335111.000,55973,2,EL,1,100,25943.599609
1701221177.924419,2335177.000,55992,1,EL,1,100,25991.199219
1701221177.991406,2335244.000,56006,2,EL,1,100,26003.800781
1701221178.058393,2335311.000,56006,2,EL,1,100,25993.400391
1701221178.124380,2335377.000,56023,1,EL,1,100,25986.199219
1701221178.191366,2335444.000,56040,2,EL,1,100,26010.000000
1701221178.258353,2335511.000,56040,2,EL,1,100,25998.800781
1701221178.324340,2335577.000,56057,1,EL,1,100,25993.599609
1701221178.391326,2335644.000,56072,2,EL,1,100,25972.800781
1701221178.458313,2335711.000,56072,2,EL,1,100,25982.599609
1701221178.524800,2335777.500,56089,2,EL,1,100,25973.800781
1701221178.591286,2335844.000,56089,2,EL,1,100,25994.800781
1701221178.658273,2335911.000,56105,1,EL,1,100,25992.400391
1701221178.724760,2335977.500,56122,2,EL,1,100,25963.199219
1701221178.791246,2336044.000,56122,2,EL,1,100,26013.800781
1701221178.858233,2336111.000,56139,1,EL,1,100,25996.000000
1701221178.924720,2336177.500,56154,2,EL,1,100,25997.000000
1701221178.991206,2336244.000,56154,2,EL,1,100,26002.000000
1701221179.058193,2336311.000,56170,1,EL,1,100,25993.199219
1701221179.124680,2336377.500,56188,2,EL,1,100,26001.400391
1701221179.191166,2336444.000,56188,2,EL,1,100,25990.800781
1701221179.258153,2336511.000,56204,1,EL,1,100,25988.199219
1701221179.324640,2336577.500,56219,2,EL,1,100,25995.400391
1701221179.391126,2336644.000,56219,2,EL,1,100,25987.800781
1701221179.458113,2336711.000,56235,1,EL,1,100,25991.000000
1701221179.524600,2336777.500,56253,2,EL,1,100,25995.800781
1701221179.591087,2336844.000,56253,2,EL,1,100,25987.599609
1701221179.658073,2336911.000,56269,1,EL,1,100,25987.000000
1701221179.724560,2336977.500,56284,2,EL,1,100,25994.599609
1701221179.791047,2337044.000,56284,2,EL,1,100,25984.400391
1701221179.857533,2337110.500,56304,2,EL,1,100,25983.599609
1701221179.924020,2337177.000,56304,2,EL,1,100,25989.800781
1701221179.991007,2337244.000,56321,1,EL,1,100,25995.400391
1701221180.057493,2337310.500,56337,2,EL,1,100,25964.400391
1701221180.123980,2337377.000,56337,2,EL,1,100,25970.400391
1701221180.190967,2337444.000,56355,1,EL,1,100,25987.400391
1701221180.257453,2337510.500,56370,2,EL,1,100,25962.400391
1701221180.323940,2337577.000,56370,2,EL,1,100,25981.199219
1701221180.390927,2337644.000,56386,1,EL,1,100,25983.199219
1701221180.457413,2337710.500,56403,2,EL,1,100,25982.800781
1701221180.523900,2337777.000,56403,2,EL,1,100,25982.000000
1701221180.590387,2337843.500,56420,2,EL,1,100,25971.400391
1701221180.656874,2337910.000,56420,2,EL,1,100,25978.800781
1701221180.723860,2337977.000,56436,1,EL,1,100,25972.000000
1701221180.790347,2338043.500,56452,2,EL,1,100,25959.599609
1701221180.856834,2338110.000,56452,2,EL,1,100,25979.199219
1701221180.923820,2338177.000,56468,1,EL,1,100,25966.199219
1701221180.990307,2338243.500,56485,2,EL,1,100,25975.800781
1701221181.056794,2338310.000,56485,2,EL,1,100,25976.800781
1701221181.123780,2338377.000,56501,1,EL,1,100,25970.599609
1701221181.190267,2338443.500,56517,2,EL,1,100,25977.000000
1701221181.256754,2338510.000,56517,2,EL,1,100,25958.400391
1701221181.323740,2338577.000,56533,1,EL,1,100,25949.000000
1701221181.390227,2338643.500,56554,2,EL,1,100,25961.400391
1701221181.456714,2338710.000,56554,2,EL,1,100,25966.599609
1701221181.523700,2338777.000,56571,1,EL,1,100,25964.199219
1701221181.590187,2338843.500,56586,2,EL,1,100,25946.199219
1701221181.656674,2338910.000,56586,2,EL,1,100,25948.800781
1701221181.723660,2338977.000,56602,1,EL,1,100,25950.000000
1701221181.790147,2339043.500,56620,2,EL,1,100,25969.800781
1701221181.856634,2339110.000,56620,2,EL,1,100,25966.199219
1701221181.923621,2339177.000,56636,1,EL,1,100,25956.400391
1701221181.990107,2339243.500,56653,2,EL,1,100,25960.400391
1701221182.056594,2339310.000,56653,2,EL,1,100,25963.800781
1701221182.123581,2339377.000,56669,1,EL,1,100,25959.800781
1701221182.190067,2339443.500,56687,2,EL,1,100,25986.400391
1701221182.256554,2339510.000,56687,2,EL,1,100,25970.000000
1701221182.323541,2339577.000,56703,1,EL,1,100,25972.400391
1701221182.390028,2339643.500,56719,2,EL,1,100,25965.000000
1701221182.456514,2339710.000,56719,2,EL,1,100,25956.800781
1701221182.523501,2339777.000,56735,1,EL,1,100,25969.599609
1701221182.589988,2339843.500,56752,2,EL,1,100,25969.000000
1701221182.656474,2339910.000,56752,2,EL,1,100,25954.800781
1701221182.722961,2339976.500,56768,2,EL,1,100,25962.000000
1701221182.789448,2340043.000,56768,2,EL,1,100,25964.400391
1701221182.856434,2340110.000,56786,1,EL,1,100,25953.199219
1701221182.922921,2340176.500,56802,2,EL,1,100,25961.199219
1701221182.989408,2340243.000,56802,2,EL,1,100,25948.400391
1701221183.056394,2340310.000,56819,1,EL,1,100,25947.800781
1701221183.122881,2340376.500,56838,2,EL,1,100,25961.000000
1701221183.189368,2340443.000,56838,2,EL,1,100,25962.800781
1701221183.256354,2340510.000,56855,1,EL,1,100,25947.599609
1701221183.322841,2340576.500,56869,2,EL,1,100,25949.199219
