LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1701221177.774449,2335027.000,55964,4,EM,1,100,RS
1701221177.774449,2335027.000,55964,4,EM,1,100,RB
1701221177.774449,2335027.000,55964,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221177.774449,2335027.000,55964,4,EM,1,100,PS
1701221177.824689,2335077.250,55987,4,EM,1,100,RS
1701221177.874929,2335127.500,55987,4,EM,1,100,RB
1701221177.925169,2335177.750,55987,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221177.975409,2335228.000,55987,4,EM,1,100,PS
1701221178.025649,2335278.250,56018,4,EM,1,100,RS
1701221178.075889,2335328.500,56018,4,EM,1,100,RB
1701221178.126129,2335378.750,56018,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221178.176369,2335429.000,56018,4,EM,1,100,PS
1701221178.227109,2335479.750,56052,4,EM,1,100,RS
1701221178.277849,2335530.500,56052,4,EM,1,100,RB
1701221178.328589,2335581.250,56052,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221178.379329,2335632.000,56052,4,EM,1,100,PS
1701221178.429569,2335682.250,56083,4,EM,1,100,RS
1701221178.479809,2335732.500,56083,4,EM,1,100,RB
1701221178.530049,2335782.750,56083,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221178.580288,2335833.000,56083,4,EM,1,100,PS
1701221178.630528,2335883.250,56117,4,EM,1,100,RS
1701221178.680768,2335933.500,56117,4,EM,1,100,RB
1701221178.731008,2335983.750,56117,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221178.781248,2336034.000,56117,4,EM,1,100,PS
1701221178.831488,2336084.250,56149,4,EM,1,100,RS
1701221178.881728,2336134.500,56149,4,EM,1,100,RB
1701221178.931968,2336184.750,56149,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221178.982208,2336235.000,56149,4,EM,1,100,PS
1701221179.032948,2336285.750,56182,4,EM,1,100,RS
1701221179.083688,2336336.500,56182,4,EM,1,100,RB
1701221179.134428,2336387.250,56182,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221179.185168,2336438.000,56182,4,EM,1,100,PS
1701221179.235408,2336488.250,56214,4,EM,1,100,RS
1701221179.285648,2336538.500,56214,4,EM,1,100,RB
1701221179.335887,2336588.750,56214,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221179.386127,2336639.000,56214,4,EM,1,100,PS
1701221179.436368,2336689.250,56247,4,EM,1,100,RS
1701221179.486607,2336739.500,56247,4,EM,1,100,RB
1701221179.536847,2336789.750,56247,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221179.587087,2336840.000,56247,4,EM,1,100,PS
1701221179.637327,2336890.250,56279,4,EM,1,100,RS
1701221179.687567,2336940.500,56279,4,EM,1,100,RB
1701221179.737807,2336990.750,56279,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221179.788047,2337041.000,56279,4,EM,1,100,PS
1701221179.844536,2337097.500,56316,4,EM,1,100,RS
1701221179.901025,2337154.000,56316,4,EM,1,100,RB
1701221179.957513,2337210.500,56316,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221180.014002,2337267.000,56316,4,EM,1,100,PS
1701221180.064242,2337317.250,56349,4,EM,1,100,RS
1701221180.114482,2337367.500,56349,4,EM,1,100,RB
1701221180.164722,2337417.750,56349,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221180.214962,2337468.000,56349,4,EM,1,100,PS
1701221180.265202,2337518.250,56381,4,EM,1,100,RS
1701221180.315442,2337568.500,56381,4,EM,1,100,RB
1701221180.365682,2337618.750,56381,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221180.415922,2337669.000,56381,4,EM,1,100,PS
1701221180.466662,2337719.750,56415,4,EM,1,100,RS
1701221180.517401,2337770.500,56415,4,EM,1,100,RB
1701221180.568141,2337821.250,56415,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221180.618881,2337872.000,56415,4,EM,1,100,PS
1701221180.669121,2337922.250,56446,4,EM,1,100,RS
1701221180.719361,2337972.500,56446,4,EM,1,100,RB
1701221180.769601,2338022.750,56446,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221180.819841,2338073.000,56446,4,EM,1,100,PS
1701221180.870081,2338123.250,56480,4,EM,1,100,RS
1701221180.920321,2338173.500,56480,4,EM,1,100,RB
1701221180.970561,2338223.750,56480,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221181.020801,2338274.000,56480,4,EM,1,100,PS
1701221181.071041,2338324.250,56511,4,EM,1,100,RS
1701221181.121281,2338374.500,56511,4,EM,1,100,RB
1701221181.171521,2338424.750,56511,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221181.221761,2338475.000,56511,4,EM,1,100,PS
1701221181.272501,2338525.750,56545,4,EM,1,100,RS
1701221181.323241,2338576.500,56545,4,EM,1,100,RB
1701221181.373980,2338627.250,56545,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221181.424720,2338678.000,56545,4,EM,1,100,PS
1701221181.474960,2338728.250,56581,4,EM,1,100,RS
1701221181.525200,2338778.500,56581,4,EM,1,100,RB
1701221181.575440,2338828.750,56581,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221181.625680,2338879.000,56581,4,EM,1,100,PS
1701221181.675920,2338929.250,56614,4,EM,1,100,RS
1701221181.726160,2338979.500,56614,4,EM,1,100,RB
1701221181.776400,2339029.750,56614,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221181.826640,2339080.000,56614,4,EM,1,100,PS
1701221181.876880,2339130.250,56646,4,EM,1,100,RS
1701221181.927120,2339180.500,56646,4,EM,1,100,RB
1701221181.977360,2339230.750,56646,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221182.027600,2339281.000,56646,4,EM,1,100,PS
1701221182.077840,2339331.250,56681,4,EM,1,100,RS
1701221182.128080,2339381.500,56681,4,EM,1,100,RB
1701221182.178320,2339431.750,56681,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221182.228560,2339482.000,56681,4,EM,1,100,PS
1701221182.279799,2339533.250,56714,4,EM,1,100,RS
1701221182.331039,2339584.500,56714,4,EM,1,100,RB
1701221182.382279,2339635.750,56714,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221182.433519,2339687.000,56714,4,EM,1,100,PS
1701221182.483759,2339737.250,56747,4,EM,1,100,RS
1701221182.533999,2339787.500,56747,4,EM,1,100,RB
1701221182.584239,2339837.750,56747,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221182.634479,2339888.000,56747,4,EM,1,100,PS
1701221182.685968,2339939.500,56780,4,EM,1,100,RS
1701221182.737458,2339991.000,56780,4,EM,1,100,RB
1701221182.788948,2340042.500,56780,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221182.840437,2340094.000,56780,4,EM,1,100,PS
1701221182.890677,2340144.250,56814,4,EM,1,100,RS
1701221182.940917,2340194.500,56814,4,EM,1,100,RB
1701221182.991157,2340244.750,56814,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221183.041397,2340295.000,56814,4,EM,1,100,PS
1701221183.092387,2340346.000,56850,4,EM,1,100,RS
1701221183.143377,2340397.000,56850,4,EM,1,100,RB
1701221183.194367,2340448.000,56850,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221183.245357,2340499.000,56850,4,EM,1,100,PS
1701221183.295597,2340549.250,56881,4,EM,1,100,RS
1701221183.345836,2340599.500,56881,4,EM,1,100,RB
1701221183.396076,2340649.750,56881,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221183.446316,2340700.000,56881,4,EM,1,100,PS
1701221183.496806,2340750.500,56917,4,EM,1,100,RS
1701221183.547296,2340801.000,56917,4,EM,1,100,RB
1701221183.597786,2340851.500,56917,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221183.648276,2340902.000,56917,4,EM,1,100,PS
1701221183.698266,2340952.000,56948,4,EM,1,100,RS
1701221183.748256,2341002.000,56948,4,EM,1,100,RB
1701221183.798246,2341052.000,56948,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221183.848236,2341102.000,56948,4,EM,1,100,PS
1701221183.898476,2341152.250,56982,4,EM,1,100,RS
1701221183.948716,2341202.500,56982,4,EM,1,100,RB
1701221183.998956,2341252.750,56982,4,EM,1,100,2023-11-28_20-26-16-815628.csv
1701221184.049196,2341303.000,56982,4,EM,1,100,PS
