LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1701221181.391727,2338645,56547,1,HR,1,100,24
1701221182.071591,2339325,56648,1,HR,1,100,38
1701221185.843837,2343098,57271,1,HR,1,100,33
1701221186.163774,2343418,57323,1,HR,1,100,67
1701221187.443518,2344698,57538,1,HR,1,100,63
1701221188.576292,2345831,57723,1,HR,1,100,61
1701221199.880033,2357137,59530,1,HR,1,100,48
1701221200.958818,2358216,59717,1,HR,1,100,50
1701221201.478714,2358736,59801,1,HR,1,100,65
1701221203.118387,2360376,60069,1,HR,1,100,58
1701221204.212168,2361470,60255,1,HR,1,100,58
1701221204.811049,2362069,60355,1,HR,1,100,67
1701221207.690473,2364949,60819,1,HR,1,100,57
1701221209.263159,2366522,61071,1,HR,1,100,53
1701221211.062800,2368322,61358,1,HR,1,100,48
1701221214.435126,2371695,61921,1,HR,1,100,42
1701221215.154982,2372415,62036,1,HR,1,100,51
1701221215.514910,2372775,62088,1,HR,1,100,77
1701221216.554703,2373815,62260,1,HR,1,100,72
1701221216.954623,2374215,62329,1,HR,1,100,90
1701221218.167380,2375428,62529,1,HR,1,100,81
1701221219.487117,2376748,62745,1,HR,1,100,73
1701221220.126989,2377388,62846,1,HR,1,100,78
1701221222.646486,2379908,63243,1,HR,1,100,66
1701221223.459323,2380721,63377,1,HR,1,100,68
1701221224.659084,2381921,63577,1,HR,1,100,64
1701221225.498916,2382761,63709,1,HR,1,100,65
1701221228.031410,2385294,64115,1,HR,1,100,56
1701221228.671282,2385934,64214,1,HR,1,100,65
1701221229.871042,2387134,64413,1,HR,1,100,61
1701221230.589899,2387853,64533,1,HR,1,100,66
1701221230.989819,2388253,64602,1,HR,1,100,85
1701221233.003417,2390267,64919,1,HR,1,100,73
1701221233.562305,2390826,65003,1,HR,1,100,80
1701221236.161786,2393426,65440,1,HR,1,100,68
1701221236.641690,2393906,65508,1,HR,1,100,80
1701221238.654288,2395919,302,1,HR,1,100,69
1701221239.374144,2396639,417,1,HR,1,100,72
1701221243.346351,2400612,1070,1,HR,1,100,60
1701221243.906239,2401172,1171,1,HR,1,100,70
1701221244.546111,2401812,1269,1,HR,1,100,75
1701221245.225975,2402492,1389,1,HR,1,100,78
1701221245.985823,2403252,1505,1,HR,1,100,78
