LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1701221177.779449,2335032.000,55965,1,PI,1,100,125513
1701221177.819440,2335072.000,55969,2,PI,1,100,125537
1701221177.859432,2335112.000,55969,2,PI,1,100,125552
1701221177.899425,2335152.000,55988,3,PI,1,100,125550
1701221177.939416,2335192.000,55988,3,PI,1,100,125538
1701221177.979409,2335232.000,55988,3,PI,1,100,125550
1701221178.025899,2335278.500,56002,2,PI,1,100,125560
1701221178.072390,2335325.000,56002,2,PI,1,100,125565
1701221178.112382,2335365.000,56019,2,PI,1,100,125552
1701221178.152374,2335405.000,56019,2,PI,1,100,125555
1701221178.192366,2335445.000,56036,3,PI,1,100,125577
1701221178.232358,2335485.000,56036,3,PI,1,100,125563
1701221178.272350,2335525.000,56036,3,PI,1,100,125547
1701221178.312342,2335565.000,56053,2,PI,1,100,125534
1701221178.352334,2335605.000,56053,2,PI,1,100,125549
1701221178.392326,2335645.000,56068,3,PI,1,100,125550
1701221178.432318,2335685.000,56068,3,PI,1,100,125538
1701221178.472310,2335725.000,56068,3,PI,1,100,125532
1701221178.512302,2335765.000,56085,3,PI,1,100,125549
1701221178.552294,2335805.000,56085,3,PI,1,100,125551
1701221178.592286,2335845.000,56085,3,PI,1,100,125546
1701221178.632278,2335885.000,56101,2,PI,1,100,125543
1701221178.672270,2335925.000,56101,2,PI,1,100,125539
1701221178.712262,2335965.000,56118,3,PI,1,100,125562
1701221178.752254,2336005.000,56118,3,PI,1,100,125546
1701221178.792246,2336045.000,56118,3,PI,1,100,125558
1701221178.832238,2336085.000,56135,2,PI,1,100,125563
1701221178.872230,2336125.000,56135,2,PI,1,100,125566
1701221178.912222,2336165.000,56150,3,PI,1,100,125545
1701221178.952214,2336205.000,56150,3,PI,1,100,125541
1701221178.992206,2336245.000,56150,3,PI,1,100,125516
1701221179.032198,2336285.000,56166,2,PI,1,100,125530
1701221179.072190,2336325.000,56166,2,PI,1,100,125536
1701221179.112182,2336365.000,56184,3,PI,1,100,125521
1701221179.152174,2336405.000,56184,3,PI,1,100,125536
1701221179.192166,2336445.000,56184,3,PI,1,100,125536
1701221179.232158,2336485.000,56200,2,PI,1,100,125526
1701221179.272150,2336525.000,56200,2,PI,1,100,125518
1701221179.312142,2336565.000,56215,3,PI,1,100,125531
1701221179.352134,2336605.000,56215,3,PI,1,100,125540
1701221179.392126,2336645.000,56215,3,PI,1,100,125533
1701221179.432118,2336685.000,56231,2,PI,1,100,125531
1701221179.472110,2336725.000,56231,2,PI,1,100,125546
1701221179.512102,2336765.000,56249,3,PI,1,100,125546
1701221179.552094,2336805.000,56249,3,PI,1,100,125546
1701221179.592086,2336845.000,56249,3,PI,1,100,125542
1701221179.632078,2336885.000,56265,2,PI,1,100,125521
1701221179.672070,2336925.000,56265,2,PI,1,100,125517
1701221179.712062,2336965.000,56280,3,PI,1,100,125527
1701221179.752054,2337005.000,56280,3,PI,1,100,125506
1701221179.792046,2337045.000,56280,3,PI,1,100,125529
1701221179.832038,2337085.000,56300,3,PI,1,100,125529
1701221179.872030,2337125.000,56300,3,PI,1,100,125519
1701221179.912022,2337165.000,56300,3,PI,1,100,125510
1701221179.952014,2337205.000,56317,3,PI,1,100,125514
1701221179.992007,2337245.000,56317,3,PI,1,100,125511
1701221180.031998,2337285.000,56317,3,PI,1,100,125521
1701221180.071990,2337325.000,56333,3,PI,1,100,125531
1701221180.111983,2337365.000,56333,3,PI,1,100,125538
1701221180.151974,2337405.000,56333,3,PI,1,100,125543
1701221180.191967,2337445.000,56351,2,PI,1,100,125525
1701221180.231959,2337485.000,56351,2,PI,1,100,125532
1701221180.271950,2337525.000,56366,3,PI,1,100,125515
1701221180.311943,2337565.000,56366,3,PI,1,100,125509
1701221180.351935,2337605.000,56366,3,PI,1,100,125505
1701221180.391927,2337645.000,56382,2,PI,1,100,125517
1701221180.431919,2337685.000,56382,2,PI,1,100,125504
1701221180.471910,2337725.000,56399,3,PI,1,100,125504
1701221180.511903,2337765.000,56399,3,PI,1,100,125505
1701221180.551895,2337805.000,56399,3,PI,1,100,125502
1701221180.591887,2337845.000,56416,2,PI,1,100,125498
1701221180.631879,2337885.000,56416,2,PI,1,100,125501
1701221180.671871,2337925.000,56432,3,PI,1,100,125522
1701221180.711863,2337965.000,56432,3,PI,1,100,125510
1701221180.751855,2338005.000,56432,3,PI,1,100,125525
1701221180.791847,2338045.000,56448,2,PI,1,100,125528
1701221180.831839,2338085.000,56448,2,PI,1,100,125528
1701221180.871831,2338125.000,56464,3,PI,1,100,125528
1701221180.911823,2338165.000,56464,3,PI,1,100,125530
1701221180.951815,2338205.000,56464,3,PI,1,100,125516
1701221180.991807,2338245.000,56481,2,PI,1,100,125503
1701221181.031799,2338285.000,56481,2,PI,1,100,125522
1701221181.071791,2338325.000,56497,3,PI,1,100,125524
1701221181.111783,2338365.000,56497,3,PI,1,100,125479
1701221181.151775,2338405.000,56497,3,PI,1,100,125496
1701221181.191767,2338445.000,56513,3,PI,1,100,125507
1701221181.231759,2338485.000,56513,3,PI,1,100,125506
1701221181.271751,2338525.000,56513,3,PI,1,100,125489
1701221181.311743,2338565.000,56529,2,PI,1,100,125515
1701221181.351735,2338605.000,56529,2,PI,1,100,125496
1701221181.391727,2338645.000,56550,3,PI,1,100,125514
1701221181.431719,2338685.000,56550,3,PI,1,100,125510
1701221181.471711,2338725.000,56550,3,PI,1,100,125513
1701221181.511703,2338765.000,56567,2,PI,1,100,125505
1701221181.551695,2338805.000,56567,2,PI,1,100,125534
1701221181.591687,2338845.000,56582,3,PI,1,100,125533
1701221181.631679,2338885.000,56582,3,PI,1,100,125538
1701221181.671671,2338925.000,56582,3,PI,1,100,125518
1701221181.711663,2338965.000,56598,2,PI,1,100,125513
1701221181.751655,2339005.000,56598,2,PI,1,100,125500
1701221181.791647,2339045.000,56616,3,PI,1,100,125472
1701221181.831639,2339085.000,56616,3,PI,1,100,125488
1701221181.871631,2339125.000,56616,3,PI,1,100,125490
1701221181.911623,2339165.000,56632,2,PI,1,100,125453
1701221181.951615,2339205.000,56632,2,PI,1,100,125496
1701221181.991607,2339245.000,56649,3,PI,1,100,125508
1701221182.031599,2339285.000,56649,3,PI,1,100,125496
1701221182.071591,2339325.000,56649,3,PI,1,100,125501
