LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1701221177.779449,2335032.000,55966,1,PR,1,100,39362
1701221177.819440,2335072.000,55970,2,PR,1,100,39377
1701221177.859432,2335112.000,55970,2,PR,1,100,39376
1701221177.899425,2335152.000,55989,3,PR,1,100,39384
1701221177.939416,2335192.000,55989,3,PR,1,100,39361
1701221177.979409,2335232.000,55989,3,PR,1,100,39364
1701221178.025899,2335278.500,56003,2,PR,1,100,39366
1701221178.072390,2335325.000,56003,2,PR,1,100,39342
1701221178.112382,2335365.000,56020,2,PR,1,100,39367
1701221178.152374,2335405.000,56020,2,PR,1,100,39379
1701221178.192366,2335445.000,56037,3,PR,1,100,39397
1701221178.232358,2335485.000,56037,3,PR,1,100,39372
1701221178.272350,2335525.000,56037,3,PR,1,100,39357
1701221178.312342,2335565.000,56054,2,PR,1,100,39369
1701221178.352334,2335605.000,56054,2,PR,1,100,39382
1701221178.392326,2335645.000,56069,3,PR,1,100,39391
1701221178.432318,2335685.000,56069,3,PR,1,100,39383
1701221178.472310,2335725.000,56069,3,PR,1,100,39378
1701221178.512302,2335765.000,56086,3,PR,1,100,39364
1701221178.552294,2335805.000,56086,3,PR,1,100,39369
1701221178.592286,2335845.000,56086,3,PR,1,100,39364
1701221178.632278,2335885.000,56102,2,PR,1,100,39375
1701221178.672270,2335925.000,56102,2,PR,1,100,39370
1701221178.712262,2335965.000,56119,3,PR,1,100,39361
1701221178.752254,2336005.000,56119,3,PR,1,100,39369
1701221178.792246,2336045.000,56119,3,PR,1,100,39370
1701221178.832238,2336085.000,56136,2,PR,1,100,39373
1701221178.872230,2336125.000,56136,2,PR,1,100,39368
1701221178.912222,2336165.000,56151,3,PR,1,100,39367
1701221178.952214,2336205.000,56151,3,PR,1,100,39375
1701221178.992206,2336245.000,56151,3,PR,1,100,39371
1701221179.032198,2336285.000,56167,2,PR,1,100,39371
1701221179.072190,2336325.000,56167,2,PR,1,100,39363
1701221179.112182,2336365.000,56185,3,PR,1,100,39358
1701221179.152174,2336405.000,56185,3,PR,1,100,39371
1701221179.192166,2336445.000,56185,3,PR,1,100,39366
1701221179.232158,2336485.000,56201,2,PR,1,100,39364
1701221179.272150,2336525.000,56201,2,PR,1,100,39354
1701221179.312142,2336565.000,56216,3,PR,1,100,39367
1701221179.352134,2336605.000,56216,3,PR,1,100,39370
1701221179.392126,2336645.000,56216,3,PR,1,100,39375
1701221179.432118,2336685.000,56232,2,PR,1,100,39377
1701221179.472110,2336725.000,56232,2,PR,1,100,39372
1701221179.512102,2336765.000,56250,3,PR,1,100,39357
1701221179.552094,2336805.000,56250,3,PR,1,100,39360
1701221179.592086,2336845.000,56250,3,PR,1,100,39369
1701221179.632078,2336885.000,56266,2,PR,1,100,39372
1701221179.672070,2336925.000,56266,2,PR,1,100,39355
1701221179.712062,2336965.000,56281,3,PR,1,100,39361
1701221179.752054,2337005.000,56281,3,PR,1,100,39381
1701221179.792046,2337045.000,56281,3,PR,1,100,39375
1701221179.832038,2337085.000,56301,3,PR,1,100,39372
1701221179.872030,2337125.000,56301,3,PR,1,100,39365
1701221179.912022,2337165.000,56301,3,PR,1,100,39368
1701221179.952014,2337205.000,56318,3,PR,1,100,39366
1701221179.992007,2337245.000,56318,3,PR,1,100,39365
