LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1701221179.847035,2337100.000,56298,2,RD,1,100,TL
1701221179.847035,2337100.000,56298,2,RD,1,100,TU
1701221182.408024,2339661.500,57134,2,RD,1,100,TL
1701221184.969012,2342223.000,57134,2,RD,1,100,TU
1701221187.527501,2344782.000,57971,2,RD,1,100,TL
1701221190.085990,2347341.000,57971,2,RD,1,100,TU
1701221192.644479,2349900.000,58790,2,RD,1,100,TL
1701221195.202968,2352459.000,58790,2,RD,1,100,TU
1701221197.761957,2355018.500,59615,2,RD,1,100,TL
1701221200.320946,2357578.000,59615,2,RD,1,100,TU
1701221202.883934,2360141.500,60456,2,RD,1,100,TL
1701221205.446922,2362705.000,60456,2,RD,1,100,TU
1701221208.006410,2365265.000,61288,2,RD,1,100,TL
1701221210.565899,2367825.000,61288,2,RD,1,100,TU
1701221213.123888,2370383.500,62123,2,RD,1,100,TL
1701221215.681877,2372942.000,62123,2,RD,1,100,TU
1701221218.242865,2375503.500,62962,2,RD,1,100,TL
1701221220.803854,2378065.000,62962,2,RD,1,100,TU
1701221223.359843,2380621.500,63779,2,RD,1,100,TL
1701221225.915833,2383178.000,63779,2,RD,1,100,TU
1701221228.466823,2385729.500,64599,2,RD,1,100,TL
1701221231.017813,2388281.000,64599,2,RD,1,100,TU
1701221233.583301,2390847.000,65435,2,RD,1,100,TL
1701221236.148788,2393413.000,65435,2,RD,1,100,TU
1701221238.704778,2395969.500,731,2,RD,1,100,TL
1701221241.260767,2398526.000,731,2,RD,1,100,TU
1701221243.814257,2401080.000,1573,2,RD,1,100,TL
1701221246.367747,2403634.000,1573,2,RD,1,100,TU
