LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1701221181.256754,2338510,56548,1,SA,1,100,0.000006
1701221182.989408,2340243,56831,1,SA,1,100,0.000000
1701221183.256354,2340510,56898,1,SA,1,100,0.000003
1701221185.189968,2342444,57219,1,SA,1,100,0.000014
1701221185.789848,2343044,57305,1,SA,1,100,0.000018
1701221189.321143,2346576,57869,1,SA,1,100,0.000003
1701221189.921023,2347176,57973,1,SA,1,100,0.000008
1701221190.521903,2347777,58074,1,SA,1,100,0.000032
1701221192.120584,2349376,58321,1,SA,1,100,0.000026
1701221192.320544,2349576,58339,1,SA,1,100,0.000021
1701221194.453118,2351709,58719,1,SA,1,100,0.000020
1701221200.984813,2358242,59732,1,SA,1,100,0.000001
1701221202.584493,2359842,59999,1,SA,1,100,0.000017
1701221203.384334,2360642,60152,1,SA,1,100,0.000006
1701221203.784254,2361042,60220,1,SA,1,100,0.000021
1701221208.316348,2365575,60953,1,SA,1,100,0.000015
1701221211.981616,2369241,61555,1,SA,1,100,0.000016
1701221213.580297,2370840,61788,1,SA,1,100,0.000003
1701221215.846844,2373107,62177,1,SA,1,100,0.000036
1701221218.512311,2375773,62610,1,SA,1,100,0.000003
1701221219.579098,2376840,62812,1,SA,1,100,0.000356
1701221223.778260,2381040,63461,1,SA,1,100,0.000001
1701221226.843647,2384106,63962,1,SA,1,100,0.000052
1701221229.109195,2386372,64314,1,SA,1,100,0.000002
1701221229.843048,2387106,64448,1,SA,1,100,0.000027
1701221232.175582,2389439,64800,1,SA,1,100,0.000003
1701221233.775263,2391039,65085,1,SA,1,100,0.000014
1701221234.174183,2391438,65137,1,SA,1,100,0.000012
1701221241.439731,2398705,800,1,SA,1,100,0.000015
1701221242.172585,2399438,901,1,SA,1,100,0.000005
1701221242.572505,2399838,968,1,SA,1,100,0.000010
1701221244.438133,2401704,1271,1,SA,1,100,0.000008
