LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1701221177.858433,2335111.000,55968,1,SF,1,100,72.7270
1701221178.258353,2335511.000,56035,1,SF,1,100,71.8857
1701221178.591286,2335844.000,56084,1,SF,1,100,71.0541
1701221178.858233,2336111.000,56134,1,SF,1,100,70.2321
1701221179.191166,2336444.000,56183,1,SF,1,100,69.4197
1701221179.591087,2336844.000,56248,1,SF,1,100,68.6166
1701221179.924020,2337177.000,56299,1,SF,1,100,67.8229
1701221180.190967,2337444.000,56350,1,SF,1,100,67.0383
1701221180.523900,2337777.000,56398,1,SF,1,100,66.2628
1701221180.856834,2338110.000,56447,1,SF,1,100,65.4962
1701221181.256754,2338510.000,56512,1,SF,1,100,64.7386
1701221181.523700,2338777.000,56566,1,SF,1,100,66.0719
1701221181.856634,2339110.000,56615,1,SF,1,100,65.3076
1701221182.256554,2339510.000,56682,1,SF,1,100,64.5521
1701221182.523501,2339777.000,56730,1,SF,1,100,63.8054
1701221182.856434,2340110.000,56781,1,SF,1,100,63.0673
1701221183.189368,2340443.000,56833,1,SF,1,100,64.4200
1701221183.589288,2340843.000,56900,1,SF,1,100,65.7570
1701221183.856235,2341110.000,56949,1,SF,1,100,64.9963
1701221184.189168,2341443.000,56997,1,SF,1,100,64.2444
1701221184.589088,2341843.000,57063,1,SF,1,100,63.5012
1701221184.923021,2342177.000,57113,1,SF,1,100,62.7667
1701221185.255955,2342510.000,57169,1,SF,1,100,62.0406
1701221185.522902,2342777.000,57221,1,SF,1,100,63.4051
1701221185.855835,2343110.000,57272,1,SF,1,100,62.6716
1701221186.188769,2343443.000,57324,1,SF,1,100,64.0289
1701221186.588689,2343843.000,57389,1,SF,1,100,63.2882
1701221186.855635,2344110.000,57440,1,SF,1,100,62.5561
1701221187.188569,2344443.000,57488,1,SF,1,100,61.8324
1701221187.588489,2344843.000,57555,1,SF,1,100,61.1172
1701221187.855436,2345110.000,57604,1,SF,1,100,60.4102
1701221188.188369,2345443.000,57656,1,SF,1,100,59.7113
1701221188.521303,2345776.000,57705,1,SF,1,100,59.0206
1701221188.921223,2346176.000,57772,1,SF,1,100,58.3378
1701221189.188169,2346443.000,57820,1,SF,1,100,57.6630
1701221189.521103,2346776.000,57871,1,SF,1,100,59.0782
1701221189.921023,2347176.000,57937,1,SF,1,100,58.3948
1701221190.187970,2347443.000,57975,1,SF,1,100,59.8015
1701221190.587890,2347843.000,58040,1,SF,1,100,59.1097
1701221190.853837,2348109.000,58092,1,SF,1,100,60.5082
1701221191.187770,2348443.000,58141,1,SF,1,100,59.8082
1701221191.587690,2348843.000,58206,1,SF,1,100,59.1163
1701221191.853637,2349109.000,58254,1,SF,1,100,58.4325
1701221192.187570,2349443.000,58305,1,SF,1,100,57.7565
1701221192.520504,2349776.000,58357,1,SF,1,100,61.2529
1701221192.853437,2350109.000,58406,1,SF,1,100,60.5443
1701221193.253357,2350509.000,58473,1,SF,1,100,59.8439
1701221193.520304,2350776.000,58523,1,SF,1,100,59.1517
1701221193.853237,2351109.000,58572,1,SF,1,100,58.4674
1701221194.253158,2351509.000,58637,1,SF,1,100,57.7910
1701221194.586091,2351842.000,58685,1,SF,1,100,57.1225
1701221194.853038,2352109.000,58738,1,SF,1,100,58.5440
1701221195.252958,2352509.000,58792,1,SF,1,100,57.8667
1701221195.585891,2352842.000,58841,1,SF,1,100,57.1973
1701221195.919825,2353176.000,58890,1,SF,1,100,56.5357
1701221196.185771,2353442.000,58940,1,SF,1,100,55.8816
1701221196.518705,2353775.000,58989,1,SF,1,100,55.2352
1701221196.919625,2354176.000,59054,1,SF,1,100,54.5962
1701221197.185572,2354442.000,59102,1,SF,1,100,53.9647
1701221197.518505,2354775.000,59151,1,SF,1,100,53.3404
1701221197.918425,2355175.000,59219,1,SF,1,100,52.7234
1701221198.252359,2355509.000,59268,1,SF,1,100,52.1134
1701221198.518306,2355775.000,59317,1,SF,1,100,51.5106
1701221198.852239,2356109.000,59365,1,SF,1,100,50.9147
1701221199.251159,2356508.000,59430,1,SF,1,100,50.3257
1701221199.518106,2356775.000,59481,1,SF,1,100,49.7436
1701221199.851039,2357108.000,59531,1,SF,1,100,49.1681
1701221200.184973,2357442.000,59580,1,SF,1,100,48.5993
1701221200.517906,2357775.000,59633,1,SF,1,100,48.0371
1701221200.917826,2358175.000,59698,1,SF,1,100,47.4814
1701221201.184773,2358442.000,59751,1,SF,1,100,49.0144
1701221201.517706,2358775.000,59802,1,SF,1,100,48.4474
1701221201.917627,2359175.000,59867,1,SF,1,100,47.8870
1701221202.250560,2359508.000,59917,1,SF,1,100,47.3330
1701221202.517507,2359775.000,59965,1,SF,1,100,46.7855
