LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1701221181.256754,2338510,56549,1,SR,1,100,0.066667
1701221182.989408,2340243,56832,1,SR,1,100,0.066667
1701221183.256354,2340510,56899,1,SR,1,100,0.200000
1701221185.189968,2342444,57220,1,SR,1,100,0.266667
1701221185.789848,2343044,57306,1,SR,1,100,0.200000
1701221189.321143,2346576,57870,1,SR,1,100,0.066667
1701221189.921023,2347176,57974,1,SR,1,100,0.200000
1701221190.521903,2347777,58075,1,SR,1,100,0.133333
1701221192.120584,2349376,58322,1,SR,1,100,0.066667
1701221192.320544,2349576,58340,1,SR,1,100,0.066667
1701221194.453118,2351709,58720,1,SR,1,100,0.200000
1701221200.984813,2358242,59733,1,SR,1,100,0.066667
1701221202.584493,2359842,60000,1,SR,1,100,0.066667
1701221203.384334,2360642,60153,1,SR,1,100,0.133333
1701221203.784254,2361042,60221,1,SR,1,100,0.200000
1701221208.316348,2365575,60954,1,SR,1,100,0.200000
1701221211.981616,2369241,61556,1,SR,1,100,0.200000
1701221213.580297,2370840,61789,1,SR,1,100,0.066667
1701221215.846844,2373107,62178,1,SR,1,100,0.133333
1701221218.512311,2375773,62611,1,SR,1,100,0.066667
1701221219.579098,2376840,62813,1,SR,1,100,0.266667
1701221223.778260,2381040,63462,1,SR,1,100,0.066667
1701221226.843647,2384106,63963,1,SR,1,100,0.200000
1701221229.109195,2386372,64315,1,SR,1,100,0.066667
1701221229.843048,2387106,64449,1,SR,1,100,0.133333
1701221232.175582,2389439,64801,1,SR,1,100,0.066667
1701221233.775263,2391039,65086,1,SR,1,100,0.133333
1701221234.174183,2391438,65138,1,SR,1,100,0.066667
1701221241.439731,2398705,801,1,SR,1,100,0.133333
1701221242.172585,2399438,902,1,SR,1,100,0.066667
1701221242.572505,2399838,969,1,SR,1,100,0.066667
1701221244.438133,2401704,1272,1,SR,1,100,0.066667
