LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1701221177.851434,2335104.000,55974,1,T1,1,100,32.319
1701221177.984407,2335237.000,56007,1,T1,1,100,32.421
1701221178.118381,2335371.000,56024,1,T1,1,100,32.395
1701221178.251354,2335504.000,56041,1,T1,1,100,32.490
1701221178.384328,2335637.000,56058,1,T1,1,100,32.389
1701221178.517301,2335770.000,56090,1,T1,1,100,32.417
1701221178.651274,2335904.000,56106,1,T1,1,100,32.428
1701221178.784248,2336037.000,56123,1,T1,1,100,32.363
1701221178.917221,2336170.000,56155,1,T1,1,100,32.476
1701221179.051194,2336304.000,56171,1,T1,1,100,32.454
1701221179.184168,2336437.000,56189,1,T1,1,100,32.374
1701221179.317141,2336570.000,56220,1,T1,1,100,32.339
1701221179.451114,2336704.000,56236,1,T1,1,100,32.395
1701221179.584088,2336837.000,56254,1,T1,1,100,32.313
1701221179.717061,2336970.000,56285,1,T1,1,100,32.348
1701221179.851035,2337104.000,56305,1,T1,1,100,32.328
1701221179.984008,2337237.000,56322,1,T1,1,100,32.426
1701221180.116982,2337370.000,56338,1,T1,1,100,32.397
1701221180.250955,2337504.000,56356,1,T1,1,100,32.384
1701221180.383928,2337637.000,56387,1,T1,1,100,32.344
1701221180.516901,2337770.000,56404,1,T1,1,100,32.397
1701221180.650875,2337904.000,56421,1,T1,1,100,32.526
1701221180.783848,2338037.000,56453,1,T1,1,100,32.370
1701221180.916822,2338170.000,56469,1,T1,1,100,32.373
1701221181.050795,2338304.000,56486,1,T1,1,100,32.374
1701221181.183768,2338437.000,56518,1,T1,1,100,32.339
1701221181.316742,2338570.000,56534,1,T1,1,100,32.324
1701221181.449715,2338703.000,56555,1,T1,1,100,32.353
1701221181.583688,2338837.000,56587,1,T1,1,100,32.365
1701221181.716662,2338970.000,56603,1,T1,1,100,32.406
1701221181.849635,2339103.000,56621,1,T1,1,100,32.424
1701221181.983609,2339237.000,56654,1,T1,1,100,32.290
1701221182.116582,2339370.000,56670,1,T1,1,100,32.480
1701221182.249556,2339503.000,56688,1,T1,1,100,32.527
1701221182.383529,2339637.000,56704,1,T1,1,100,32.476
1701221182.516502,2339770.000,56736,1,T1,1,100,32.419
1701221182.649476,2339903.000,56753,1,T1,1,100,32.429
1701221182.783449,2340037.000,56769,1,T1,1,100,32.363
1701221182.916422,2340170.000,56803,1,T1,1,100,32.370
1701221183.049396,2340303.000,56820,1,T1,1,100,32.408
1701221183.183369,2340437.000,56839,1,T1,1,100,32.389
1701221183.316342,2340570.000,56870,1,T1,1,100,32.381
1701221183.449316,2340703.000,56887,1,T1,1,100,32.484
1701221183.583289,2340837.000,56906,1,T1,1,100,32.529
1701221183.716263,2340970.000,56937,1,T1,1,100,32.406
1701221183.849236,2341103.000,56955,1,T1,1,100,32.388
1701221183.983209,2341237.000,56971,1,T1,1,100,32.381
1701221184.116183,2341370.000,57003,1,T1,1,100,32.448
1701221184.249156,2341503.000,57020,1,T1,1,100,32.478
1701221184.383129,2341637.000,57036,1,T1,1,100,32.526
1701221184.516103,2341770.000,57053,1,T1,1,100,32.369
1701221184.649076,2341903.000,57085,1,T1,1,100,32.408
1701221184.783049,2342037.000,57101,1,T1,1,100,32.389
1701221184.916023,2342170.000,57119,1,T1,1,100,32.417
1701221185.048996,2342303.000,57143,1,T1,1,100,32.358
1701221185.182970,2342437.000,57175,1,T1,1,100,32.438
1701221185.315943,2342570.000,57191,1,T1,1,100,32.402
1701221185.448916,2342703.000,57208,1,T1,1,100,32.493
1701221185.581890,2342836.000,57227,1,T1,1,100,32.497
1701221185.715863,2342970.000,57258,1,T1,1,100,32.428
1701221185.848836,2343103.000,57278,1,T1,1,100,32.433
1701221185.981810,2343236.000,57294,1,T1,1,100,32.436
1701221186.115783,2343370.000,57330,1,T1,1,100,32.366
1701221186.248757,2343503.000,57347,1,T1,1,100,32.336
1701221186.381730,2343636.000,57363,1,T1,1,100,32.358
1701221186.515703,2343770.000,57395,1,T1,1,100,32.297
1701221186.648677,2343903.000,57412,1,T1,1,100,32.412
1701221186.781650,2344036.000,57428,1,T1,1,100,32.391
1701221186.915623,2344170.000,57460,1,T1,1,100,32.311
1701221187.048597,2344303.000,57477,1,T1,1,100,32.276
1701221187.181570,2344436.000,57494,1,T1,1,100,32.474
1701221187.315543,2344570.000,57525,1,T1,1,100,32.418
1701221187.448517,2344703.000,57544,1,T1,1,100,32.429
1701221187.581490,2344836.000,57561,1,T1,1,100,32.540
1701221187.714464,2344969.000,57578,1,T1,1,100,32.446
1701221187.848437,2345103.000,57610,1,T1,1,100,32.406
1701221187.981411,2345236.000,57628,1,T1,1,100,32.459
1701221188.114384,2345369.000,57645,1,T1,1,100,32.341
1701221188.248357,2345503.000,57677,1,T1,1,100,32.289
1701221188.381330,2345636.000,57693,1,T1,1,100,32.338
1701221188.514304,2345769.000,57711,1,T1,1,100,32.465
1701221188.648277,2345903.000,57744,1,T1,1,100,32.308
1701221188.781251,2346036.000,57760,1,T1,1,100,32.310
1701221188.914224,2346169.000,57778,1,T1,1,100,32.383
1701221189.048197,2346303.000,57809,1,T1,1,100,32.414
1701221189.181171,2346436.000,57826,1,T1,1,100,32.392
1701221189.314144,2346569.000,57843,1,T1,1,100,32.347
1701221189.448117,2346703.000,57877,1,T1,1,100,32.398
1701221189.581091,2346836.000,57893,1,T1,1,100,32.421
1701221189.714064,2346969.000,57910,1,T1,1,100,32.359
1701221189.848037,2347103.000,57926,1,T1,1,100,32.439
1701221189.981011,2347236.000,57958,1,T1,1,100,32.403
1701221190.113984,2347369.000,57981,1,T1,1,100,32.422
1701221190.247958,2347503.000,57997,1,T1,1,100,32.360
1701221190.380931,2347636.000,58014,1,T1,1,100,32.475
1701221190.513905,2347769.000,58046,1,T1,1,100,32.454
1701221190.647878,2347903.000,58062,1,T1,1,100,32.409
1701221190.780851,2348036.000,58081,1,T1,1,100,32.532
1701221190.913825,2348169.000,58113,1,T1,1,100,32.478
1701221191.046798,2348302.000,58129,1,T1,1,100,32.313
1701221191.180771,2348436.000,58147,1,T1,1,100,32.348
1701221191.313745,2348569.000,58178,1,T1,1,100,32.434
1701221191.447718,2348703.000,58194,1,T1,1,100,32.365
1701221191.580692,2348836.000,58212,1,T1,1,100,32.442
1701221191.713665,2348969.000,58243,1,T1,1,100,32.439
1701221191.847638,2349103.000,58260,1,T1,1,100,32.438
1701221191.980612,2349236.000,58277,1,T1,1,100,32.438
1701221192.113585,2349369.000,58293,1,T1,1,100,32.402
1701221192.246558,2349502.000,58311,1,T1,1,100,32.458
1701221192.380532,2349636.000,58346,1,T1,1,100,32.517
