LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1701221177.866431,2335119.000,55975,1,TH,1,100,31.067
1701221177.999404,2335252.000,56008,1,TH,1,100,31.075
1701221178.132378,2335385.000,56025,1,TH,1,100,31.092
1701221178.266351,2335519.000,56042,1,TH,1,100,31.085
1701221178.399325,2335652.000,56073,1,TH,1,100,30.968
1701221178.533298,2335786.000,56091,1,TH,1,100,30.975
1701221178.666271,2335919.000,56107,1,TH,1,100,31.127
1701221178.799245,2336052.000,56124,1,TH,1,100,31.127
1701221178.932218,2336185.000,56156,1,TH,1,100,31.119
1701221179.066191,2336319.000,56172,1,TH,1,100,31.119
1701221179.199165,2336452.000,56190,1,TH,1,100,31.082
1701221179.332138,2336585.000,56221,1,TH,1,100,31.082
1701221179.466111,2336719.000,56237,1,TH,1,100,31.094
1701221179.599085,2336852.000,56255,1,TH,1,100,31.094
1701221179.732058,2336985.000,56286,1,TH,1,100,31.045
1701221179.866032,2337119.000,56306,1,TH,1,100,31.045
1701221179.999005,2337252.000,56323,1,TH,1,100,31.139
1701221180.131979,2337385.000,56339,1,TH,1,100,31.139
1701221180.265952,2337519.000,56371,1,TH,1,100,31.119
1701221180.398925,2337652.000,56388,1,TH,1,100,31.119
1701221180.531898,2337785.000,56405,1,TH,1,100,31.114
1701221180.664872,2337918.000,56422,1,TH,1,100,31.114
1701221180.798845,2338052.000,56454,1,TH,1,100,30.990
1701221180.931819,2338185.000,56470,1,TH,1,100,30.990
1701221181.064792,2338318.000,56487,1,TH,1,100,31.077
1701221181.198765,2338452.000,56519,1,TH,1,100,31.077
1701221181.331739,2338585.000,56535,1,TH,1,100,31.084
1701221181.464712,2338718.000,56556,1,TH,1,100,31.084
1701221181.598686,2338852.000,56588,1,TH,1,100,31.094
1701221181.731659,2338985.000,56604,1,TH,1,100,31.094
1701221181.864632,2339118.000,56622,1,TH,1,100,31.211
1701221181.998606,2339252.000,56655,1,TH,1,100,31.211
1701221182.131579,2339385.000,56671,1,TH,1,100,31.141
1701221182.264553,2339518.000,56689,1,TH,1,100,31.141
1701221182.398526,2339652.000,56720,1,TH,1,100,31.107
1701221182.531499,2339785.000,56737,1,TH,1,100,31.107
1701221182.664473,2339918.000,56754,1,TH,1,100,31.017
1701221182.798446,2340052.000,56770,1,TH,1,100,31.017
1701221182.931419,2340185.000,56804,1,TH,1,100,31.102
1701221183.064393,2340318.000,56821,1,TH,1,100,31.102
1701221183.198366,2340452.000,56840,1,TH,1,100,31.030
1701221183.331339,2340585.000,56871,1,TH,1,100,31.030
1701221183.464313,2340718.000,56888,1,TH,1,100,31.186
1701221183.598286,2340852.000,56907,1,TH,1,100,31.186
1701221183.731260,2340985.000,56938,1,TH,1,100,31.124
1701221183.864233,2341118.000,56956,1,TH,1,100,31.131
1701221183.997206,2341251.000,56972,1,TH,1,100,31.134
1701221184.131180,2341385.000,57004,1,TH,1,100,31.134
1701221184.264153,2341518.000,57021,1,TH,1,100,31.061
1701221184.398126,2341652.000,57037,1,TH,1,100,31.061
1701221184.531100,2341785.000,57069,1,TH,1,100,31.183
1701221184.664073,2341918.000,57086,1,TH,1,100,31.183
1701221184.797047,2342051.000,57102,1,TH,1,100,31.062
1701221184.931020,2342185.000,57120,1,TH,1,100,31.062
1701221185.063993,2342318.000,57144,1,TH,1,100,31.106
1701221185.196967,2342451.000,57176,1,TH,1,100,31.106
1701221185.330940,2342585.000,57192,1,TH,1,100,31.119
1701221185.463913,2342718.000,57209,1,TH,1,100,31.119
1701221185.597887,2342852.000,57243,1,TH,1,100,31.186
1701221185.730860,2342985.000,57259,1,TH,1,100,31.186
1701221185.863833,2343118.000,57279,1,TH,1,100,31.149
1701221185.996807,2343251.000,57312,1,TH,1,100,31.149
1701221186.130780,2343385.000,57331,1,TH,1,100,31.126
1701221186.263754,2343518.000,57348,1,TH,1,100,31.126
1701221186.396727,2343651.000,57364,1,TH,1,100,31.164
1701221186.530700,2343785.000,57396,1,TH,1,100,31.164
1701221186.663674,2343918.000,57413,1,TH,1,100,31.104
1701221186.796647,2344051.000,57429,1,TH,1,100,31.104
1701221186.930620,2344185.000,57461,1,TH,1,100,31.116
1701221187.063594,2344318.000,57478,1,TH,1,100,31.116
1701221187.196567,2344451.000,57495,1,TH,1,100,31.156
1701221187.330540,2344585.000,57526,1,TH,1,100,31.156
1701221187.463514,2344718.000,57545,1,TH,1,100,31.164
1701221187.596487,2344851.000,57562,1,TH,1,100,31.164
1701221187.729461,2344984.000,57593,1,TH,1,100,31.139
1701221187.863434,2345118.000,57611,1,TH,1,100,31.139
1701221187.996408,2345251.000,57629,1,TH,1,100,31.119
1701221188.129381,2345384.000,57646,1,TH,1,100,31.119
1701221188.263354,2345518.000,57678,1,TH,1,100,31.154
1701221188.396327,2345651.000,57694,1,TH,1,100,31.146
1701221188.529301,2345784.000,57712,1,TH,1,100,31.261
1701221188.663274,2345918.000,57745,1,TH,1,100,31.261
1701221188.796248,2346051.000,57761,1,TH,1,100,31.253
1701221188.929221,2346184.000,57779,1,TH,1,100,31.253
1701221189.063194,2346318.000,57810,1,TH,1,100,31.201
1701221189.196168,2346451.000,57827,1,TH,1,100,31.201
1701221189.329141,2346584.000,57844,1,TH,1,100,31.281
1701221189.463115,2346718.000,57878,1,TH,1,100,31.281
1701221189.596088,2346851.000,57894,1,TH,1,100,31.196
1701221189.729061,2346984.000,57911,1,TH,1,100,31.196
1701221189.863034,2347118.000,57943,1,TH,1,100,31.114
1701221189.996008,2347251.000,57959,1,TH,1,100,31.114
1701221190.128981,2347384.000,57982,1,TH,1,100,31.261
1701221190.262955,2347518.000,57998,1,TH,1,100,31.261
1701221190.395928,2347651.000,58015,1,TH,1,100,31.310
1701221190.528902,2347784.000,58047,1,TH,1,100,31.310
1701221190.661875,2347917.000,58063,1,TH,1,100,31.231
1701221190.795848,2348051.000,58082,1,TH,1,100,31.231
1701221190.928822,2348184.000,58114,1,TH,1,100,31.224
1701221191.061795,2348317.000,58130,1,TH,1,100,31.224
1701221191.195768,2348451.000,58148,1,TH,1,100,31.181
1701221191.328742,2348584.000,58179,1,TH,1,100,31.181
1701221191.461715,2348717.000,58195,1,TH,1,100,31.286
1701221191.595689,2348851.000,58213,1,TH,1,100,31.286
1701221191.728662,2348984.000,58244,1,TH,1,100,31.263
1701221191.862635,2349118.000,58261,1,TH,1,100,31.263
1701221191.995609,2349251.000,58278,1,TH,1,100,31.191
1701221192.128582,2349384.000,58294,1,TH,1,100,31.191
1701221192.261555,2349517.000,58328,1,TH,1,100,31.216
1701221192.395529,2349651.000,58347,1,TH,1,100,31.216
1701221192.528502,2349784.000,58364,1,TH,1,100,31.166
1701221192.661476,2349917.000,58381,1,TH,1,100,31.166
1701221192.795449,2350051.000,58413,1,TH,1,100,31.216
1701221192.928422,2350184.000,58431,1,TH,1,100,31.216
1701221193.061396,2350317.000,58448,1,TH,1,100,31.216
1701221193.195369,2350451.000,58480,1,TH,1,100,31.216
1701221193.328342,2350584.000,58496,1,TH,1,100,31.281
1701221193.461316,2350717.000,58513,1,TH,1,100,31.281
1701221193.595289,2350851.000,58545,1,TH,1,100,31.276
1701221193.728262,2350984.000,58561,1,TH,1,100,31.276
1701221193.861236,2351117.000,58579,1,TH,1,100,31.206
1701221193.995209,2351251.000,58610,1,TH,1,100,31.206
1701221194.128183,2351384.000,58626,1,TH,1,100,31.300
1701221194.261156,2351517.000,58644,1,TH,1,100,31.300
1701221194.394130,2351650.000,58675,1,TH,1,100,31.208
1701221194.528103,2351784.000,58692,1,TH,1,100,31.208
1701221194.661076,2351917.000,58709,1,TH,1,100,31.286
1701221194.794050,2352050.000,58727,1,TH,1,100,31.286
1701221194.928023,2352184.000,58759,1,TH,1,100,31.181
1701221195.060996,2352317.000,58776,1,TH,1,100,31.181
1701221195.193970,2352450.000,58799,1,TH,1,100,31.218
1701221195.327943,2352584.000,58814,1,TH,1,100,31.218
1701221195.460916,2352717.000,58831,1,TH,1,100,31.290
1701221195.593890,2352850.000,58848,1,TH,1,100,31.290
1701221195.727863,2352984.000,58879,1,TH,1,100,31.286
1701221195.860837,2353117.000,58897,1,TH,1,100,31.286
1701221195.993810,2353250.000,58913,1,TH,1,100,31.310
1701221196.127783,2353384.000,58930,1,TH,1,100,31.310
1701221196.260756,2353517.000,58962,1,TH,1,100,31.221
1701221196.393730,2353650.000,58978,1,TH,1,100,31.221
1701221196.527703,2353784.000,58996,1,TH,1,100,31.276
1701221196.660677,2353917.000,59027,1,TH,1,100,31.276
1701221196.793650,2354050.000,59043,1,TH,1,100,31.271
1701221196.927623,2354184.000,59061,1,TH,1,100,31.271
1701221197.060597,2354317.000,59092,1,TH,1,100,31.176
1701221197.193570,2354450.000,59109,1,TH,1,100,31.176
1701221197.327543,2354584.000,59126,1,TH,1,100,31.104
1701221197.460517,2354717.000,59158,1,TH,1,100,31.104
1701221197.593490,2354850.000,59174,1,TH,1,100,31.248
1701221197.726464,2354983.000,59191,1,TH,1,100,31.248
1701221197.860437,2355117.000,59225,1,TH,1,100,31.141
1701221197.993410,2355250.000,59241,1,TH,1,100,31.141
1701221198.126384,2355383.000,59258,1,TH,1,100,31.231
1701221198.260357,2355517.000,59275,1,TH,1,100,31.231
1701221198.393331,2355650.000,59306,1,TH,1,100,31.263
1701221198.527304,2355784.000,59324,1,TH,1,100,31.263
1701221198.660277,2355917.000,59340,1,TH,1,100,31.193
1701221198.793251,2356050.000,59372,1,TH,1,100,31.193
1701221198.926224,2356183.000,59389,1,TH,1,100,31.286
1701221199.060197,2356317.000,59405,1,TH,1,100,31.293
1701221199.193171,2356450.000,59437,1,TH,1,100,31.198
1701221199.326144,2356583.000,59454,1,TH,1,100,31.191
1701221199.460117,2356717.000,59470,1,TH,1,100,31.243
1701221199.593091,2356850.000,59502,1,TH,1,100,31.243
1701221199.726064,2356983.000,59519,1,TH,1,100,31.213
1701221199.860038,2357117.000,59538,1,TH,1,100,31.213
1701221199.993011,2357250.000,59569,1,TH,1,100,31.290
1701221200.125984,2357383.000,59587,1,TH,1,100,31.290
1701221200.259958,2357517.000,59603,1,TH,1,100,31.196
1701221200.392931,2357650.000,59623,1,TH,1,100,31.196
1701221200.525904,2357783.000,59640,1,TH,1,100,31.328
1701221200.659878,2357917.000,59671,1,TH,1,100,31.335
1701221200.792851,2358050.000,59688,1,TH,1,100,31.270
1701221200.925825,2358183.000,59705,1,TH,1,100,31.263
1701221201.059798,2358317.000,59740,1,TH,1,100,31.263
1701221201.192771,2358450.000,59758,1,TH,1,100,31.270
1701221201.325745,2358583.000,59774,1,TH,1,100,31.226
1701221201.459718,2358717.000,59808,1,TH,1,100,31.225
1701221201.592691,2358850.000,59825,1,TH,1,100,31.201
1701221201.725665,2358983.000,59841,1,TH,1,100,31.193
1701221201.858638,2359116.000,59873,1,TH,1,100,31.258
1701221201.992612,2359250.000,59890,1,TH,1,100,31.265
1701221202.125585,2359383.000,59906,1,TH,1,100,31.201
1701221202.258559,2359516.000,59924,1,TH,1,100,31.201
1701221202.392532,2359650.000,59955,1,TH,1,100,31.330
1701221202.525505,2359783.000,59972,1,TH,1,100,31.330
1701221202.658478,2359916.000,59989,1,TH,1,100,31.305
1701221202.792452,2360050.000,60023,1,TH,1,100,31.305
1701221202.925425,2360183.000,60041,1,TH,1,100,31.310
1701221203.058399,2360316.000,60058,1,TH,1,100,31.310
1701221203.192372,2360450.000,60092,1,TH,1,100,31.171
1701221203.325345,2360583.000,60108,1,TH,1,100,31.171
1701221203.458319,2360716.000,60125,1,TH,1,100,31.211
1701221203.591292,2360849.000,60159,1,TH,1,100,31.211
1701221203.725266,2360983.000,60175,1,TH,1,100,31.318
1701221203.858239,2361116.000,60193,1,TH,1,100,31.318
1701221203.991212,2361249.000,60209,1,TH,1,100,31.297
1701221204.125185,2361383.000,60243,1,TH,1,100,31.297
1701221204.258159,2361516.000,60262,1,TH,1,100,31.325
1701221204.391132,2361649.000,60278,1,TH,1,100,31.325
1701221204.525106,2361783.000,60310,1,TH,1,100,31.223
1701221204.658079,2361916.000,60327,1,TH,1,100,31.223
1701221204.791053,2362049.000,60343,1,TH,1,100,31.329
1701221204.925026,2362183.000,60377,1,TH,1,100,31.329
1701221205.057999,2362316.000,60394,1,TH,1,100,31.292
1701221205.190973,2362449.000,60411,1,TH,1,100,31.292
1701221205.324946,2362583.000,60442,1,TH,1,100,31.228
1701221205.457919,2362716.000,60465,1,TH,1,100,31.228
1701221205.590893,2362849.000,60481,1,TH,1,100,31.364
1701221205.724866,2362983.000,60498,1,TH,1,100,31.364
1701221205.857839,2363116.000,60515,1,TH,1,100,31.302
1701221205.991813,2363250.000,60546,1,TH,1,100,31.302
1701221206.124786,2363383.000,60563,1,TH,1,100,31.342
1701221206.257760,2363516.000,60580,1,TH,1,100,31.342
1701221206.390733,2363649.000,60611,1,TH,1,100,31.367
1701221206.524706,2363783.000,60629,1,TH,1,100,31.367
1701221206.657680,2363916.000,60645,1,TH,1,100,31.258
1701221206.790653,2364049.000,60677,1,TH,1,100,31.258
1701221206.924626,2364183.000,60694,1,TH,1,100,31.310
1701221207.057600,2364316.000,60710,1,TH,1,100,31.310
1701221207.190573,2364449.000,60742,1,TH,1,100,31.285
