LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1701221179.842036,2337095.000,56296,1,TL,1,100,2023-11-28_20-26-14-835634
1701221184.961014,2342215.000,57130,1,TL,1,100,2023-11-28_20-26-19-891862
1701221184.967013,2342221.000,57132,1,TL,1,100,2023-11-28_20-26-19-975858
1701221185.039998,2342294.000,57135,1,TL,1,100,2023-11-28_20-26-25-004498
1701221190.083990,2347339.000,57969,1,TL,1,100,2023-11-28_20-26-25-112044
1701221195.190970,2352447.000,58786,1,TL,1,100,2023-11-28_20-26-30-164342
1701221195.197969,2352454.000,58788,1,TL,1,100,2023-11-28_20-26-30-279766
1701221200.314947,2357572.000,59613,1,TL,1,100,2023-11-28_20-26-35-284718
1701221205.440923,2362699.000,60452,1,TL,1,100,2023-11-28_20-26-40-367367
1701221205.444922,2362703.000,60454,1,TL,1,100,2023-11-28_20-26-40-470106
1701221210.561900,2367821.000,61284,1,TL,1,100,2023-11-28_20-26-45-693213
1701221210.563899,2367823.000,61286,1,TL,1,100,2023-11-28_20-26-45-693594
1701221210.631886,2367891.000,61289,1,TL,1,100,2023-11-28_20-26-50-618027
1701221215.679877,2372940.000,62121,1,TL,1,100,2023-11-28_20-26-50-720173
1701221215.728868,2372989.000,62124,1,TL,1,100,2023-11-28_20-26-55-715782
1701221220.801854,2378063.000,62960,1,TL,1,100,2023-11-28_20-26-55-832255
1701221225.908834,2383171.000,63775,1,TL,1,100,2023-11-28_20-27-00-961501
1701221225.913833,2383176.000,63777,1,TL,1,100,2023-11-28_20-27-01-187665
1701221236.141790,2393406.000,65431,1,TL,1,100,2023-11-28_20-27-11-490279
1701221236.144789,2393409.000,65433,1,TL,1,100,2023-11-28_20-27-11-568617
1701221236.164785,2393429.000,65436,1,TL,1,100,2023-11-28_20-27-16-155214
1701221241.258768,2398524.000,729,1,TL,1,100,2023-11-28_20-27-16-297264
1701221241.271765,2398537.000,732,1,TL,1,100,2023-11-28_20-27-21-266265
1701221246.365747,2403632.000,1571,1,TL,1,100,2023-11-28_20-27-21-362799
1701221246.381744,2403648.000,1574,1,TL,1,100,2023-11-28_20-27-26-369752
