RD,TS_received,TS_sent,AK,RoundTrip,
2337100,2342215,2023-11-28_20-26-19-891862,2342220,5115,
2342223,2342294,2023-11-28_20-26-25-004498,2342299,71,
2347341,2352447,2023-11-28_20-26-30-164342,2352453,5106,
2352459,2357572,2023-11-28_20-26-35-284718,2357574,5113,
2357578,2362699,2023-11-28_20-26-40-367367,2362702,5121,
2362705,2367821,2023-11-28_20-26-45-693213,2367822,5116,
2367825,2367891,2023-11-28_20-26-50-618027,2367892,66,
2372942,2372989,2023-11-28_20-26-55-715782,2372990,47,
2378065,2383171,2023-11-28_20-27-00-961501,2383175,5106,
2383178,
2388281,2393406,2023-11-28_20-27-11-490279,2393407,5125,
2393413,2393429,2023-11-28_20-27-16-155214,2393430,16,
2398526,2398537,2023-11-28_20-27-21-266265,2398538,11,
2403634,2403648,2023-11-28_20-27-26-369752,2403653,14,
