LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1701220224.247976,1381517.000,29961,2,AK,1,100,29168
1701220224.247976,1381517.000,29961,2,AK,1,100,RD
1701220226.804540,1384073.500,30791,2,AK,1,100,29962
1701220229.361104,1386630.000,30791,2,AK,1,100,RD
1701220229.363604,1386632.500,30793,2,AK,1,100,29962
1701220229.366104,1386635.000,30793,2,AK,1,100,RD
1701220231.932668,1389201.500,31618,2,AK,1,100,30794
1701220234.499233,1391768.000,31618,2,AK,1,100,RD
1701220234.500233,1391769.000,31620,2,AK,1,100,30794
1701220234.501233,1391770.000,31620,2,AK,1,100,RD
1701220237.069297,1394338.000,32443,2,AK,1,100,31621
1701220239.637362,1396906.000,32443,2,AK,1,100,RD
1701220239.638362,1396907.000,32445,2,AK,1,100,31621
1701220239.639362,1396908.000,32445,2,AK,1,100,RD
1701220239.662362,1396931.000,32448,2,AK,1,100,32446
1701220239.685363,1396954.000,32448,2,AK,1,100,RD
1701220242.220427,1399489.000,33287,2,AK,1,100,32446
1701220244.755490,1402024.000,33287,2,AK,1,100,RD
1701220244.780491,1402049.000,33290,2,AK,1,100,33288
1701220244.805491,1402074.000,33290,2,AK,1,100,RD
1701220247.334555,1404603.000,34103,2,AK,1,100,33288
1701220249.863618,1407132.000,34103,2,AK,1,100,RD
1701220249.880619,1407149.000,34106,2,AK,1,100,34104
1701220249.897619,1407166.000,34106,2,AK,1,100,RD
1701220252.434683,1409703.000,34877,2,AK,1,100,34104
1701220254.971746,1412240.000,34877,2,AK,1,100,RD
1701220257.534311,1414802.500,35709,2,AK,1,100,34878
1701220260.096875,1417365.000,35709,2,AK,1,100,RD
1701220262.650939,1419919.000,36539,2,AK,1,100,35710
1701220265.205003,1422473.000,36539,2,AK,1,100,RD
1701220265.206503,1422474.500,36541,2,AK,1,100,35710
1701220265.208003,1422476.000,36541,2,AK,1,100,RD
1701220265.232504,1422500.500,36544,2,AK,1,100,36542
1701220265.257004,1422525.000,36544,2,AK,1,100,RD
1701220267.793568,1425061.500,37371,2,AK,1,100,36542
1701220270.330132,1427598.000,37371,2,AK,1,100,RD
1701220272.884196,1430152.000,38180,2,AK,1,100,37372
1701220275.438260,1432706.000,38180,2,AK,1,100,RD
1701220275.441260,1432709.000,38182,2,AK,1,100,37372
1701220275.444260,1432712.000,38182,2,AK,1,100,RD
1701220275.479261,1432747.000,38185,2,AK,1,100,38183
1701220275.514261,1432782.000,38185,2,AK,1,100,RD
1701220278.035825,1435303.500,39021,2,AK,1,100,38183
1701220280.557388,1437825.000,39021,2,AK,1,100,RD
1701220280.590389,1437858.000,39024,2,AK,1,100,39022
1701220280.623390,1437891.000,39024,2,AK,1,100,RD
1701220283.150453,1440418.000,39855,2,AK,1,100,39022
1701220285.677516,1442945.000,39855,2,AK,1,100,RD
1701220285.697517,1442965.000,39858,2,AK,1,100,39856
1701220285.717517,1442985.000,39858,2,AK,1,100,RD
1701220288.261581,1445529.000,40689,2,AK,1,100,39856
1701220290.805645,1448073.000,40689,2,AK,1,100,RD
1701220293.365709,1450633.000,41514,2,AK,1,100,40690
1701220295.925774,1453193.000,41514,2,AK,1,100,RD
1701220295.926774,1453194.000,41516,2,AK,1,100,40690
1701220295.927773,1453195.000,41516,2,AK,1,100,RD
1701220298.503838,1455771.000,42340,2,AK,1,100,41517
1701220301.079903,1458347.000,42340,2,AK,1,100,RD
1701220301.080903,1458348.000,42342,2,AK,1,100,41517
1701220301.081903,1458349.000,42342,2,AK,1,100,RD
1701220303.646967,1460914.000,43169,2,AK,1,100,42343
1701220306.212032,1463479.000,43169,2,AK,1,100,RD
1701220306.213531,1463480.500,43171,2,AK,1,100,42343
1701220306.215032,1463482.000,43171,2,AK,1,100,RD
1701220306.224532,1463491.500,43174,2,AK,1,100,43172
1701220306.234032,1463501.000,43174,2,AK,1,100,RD
1701220308.774096,1466041.000,43992,2,AK,1,100,43172
1701220311.314159,1468581.000,43992,2,AK,1,100,RD
1701220311.345660,1468612.500,43995,2,AK,1,100,43993
1701220311.377161,1468644.000,43995,2,AK,1,100,RD
1701220313.899224,1471166.000,44812,2,AK,1,100,43993
1701220316.421288,1473688.000,44812,2,AK,1,100,RD
1701220318.994352,1476261.000,45648,2,AK,1,100,44813
1701220321.567417,1478834.000,45648,2,AK,1,100,RD
1701220321.569917,1478836.500,45650,2,AK,1,100,44813
1701220321.572417,1478839.000,45650,2,AK,1,100,RD
1701220324.134981,1481401.500,46480,2,AK,1,100,45651
1701220326.697545,1483964.000,46480,2,AK,1,100,RD
1701220326.698545,1483965.000,46482,2,AK,1,100,45651
1701220326.699545,1483966.000,46482,2,AK,1,100,RD
1701220329.257610,1486524.000,47313,2,AK,1,100,46483
1701220331.815674,1489082.000,47313,2,AK,1,100,RD
1701220331.816674,1489083.000,47315,2,AK,1,100,46483
1701220331.817674,1489084.000,47315,2,AK,1,100,RD
1701220334.372238,1491638.500,48147,2,AK,1,100,47316
1701220336.926802,1494193.000,48147,2,AK,1,100,RD
1701220336.929802,1494196.000,48149,2,AK,1,100,47316
1701220336.932802,1494199.000,48149,2,AK,1,100,RD
1701220336.941802,1494208.000,48152,2,AK,1,100,48150
1701220336.950802,1494217.000,48152,2,AK,1,100,RD
1701220339.504366,1496770.500,48975,2,AK,1,100,48150
1701220342.057930,1499324.000,48975,2,AK,1,100,RD
1701220342.066931,1499333.000,48978,2,AK,1,100,48976
1701220342.075931,1499342.000,48978,2,AK,1,100,RD
1701220344.620995,1501887.000,49790,2,AK,1,100,48976
1701220347.166059,1504432.000,49790,2,AK,1,100,RD
1701220349.728123,1506994.000,50625,2,AK,1,100,49791
1701220352.290187,1509556.000,50625,2,AK,1,100,RD
1701220352.291187,1509557.000,50627,2,AK,1,100,49791
1701220352.292187,1509558.000,50627,2,AK,1,100,RD
1701220354.852751,1512118.500,51463,2,AK,1,100,50628
1701220357.413316,1514679.000,51463,2,AK,1,100,RD
1701220357.414316,1514680.000,51465,2,AK,1,100,50628
1701220357.415316,1514681.000,51465,2,AK,1,100,RD
1701220359.973380,1517239.000,52293,2,AK,1,100,51466
1701220362.531444,1519797.000,52293,2,AK,1,100,RD
1701220362.532444,1519798.000,52295,2,AK,1,100,51466
1701220362.533444,1519799.000,52295,2,AK,1,100,RD
