LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1701220222.902942,1380172.000,29760,1,B%,1,100, 2
1701220227.903068,1385172.000,30557,1,B%,1,100, 2
1701220232.902193,1390171.000,31371,1,B%,1,100, 2
1701220237.902318,1395171.000,32189,1,B%,1,100, 2
1701220242.901444,1400170.000,33006,1,B%,1,100, 1
1701220247.901569,1405170.000,33807,1,B%,1,100, 1
1701220252.900694,1410169.000,34605,1,B%,1,100, 2
1701220257.900820,1415169.000,35357,1,B%,1,100, 2
1701220262.899945,1420168.000,36176,1,B%,1,100, 1
1701220267.900071,1425168.000,36990,1,B%,1,100, 1
1701220272.899196,1430167.000,37801,1,B%,1,100, 2
1701220277.899321,1435167.000,38604,1,B%,1,100, 1
1701220282.898447,1440166.000,39405,1,B%,1,100, 1
1701220287.898572,1445166.000,40221,1,B%,1,100, 1
1701220292.897698,1450165.000,41038,1,B%,1,100, 1
1701220297.897823,1455165.000,41848,1,B%,1,100, 1
1701220302.896948,1460164.000,42641,1,B%,1,100, 1
1701220307.897074,1465164.000,43459,1,B%,1,100, 1
1701220312.896199,1470163.000,44263,1,B%,1,100, 1
1701220317.896325,1475163.000,45068,1,B%,1,100, 1
1701220322.895450,1480162.000,45868,1,B%,1,100, 1
1701220327.895575,1485162.000,46683,1,B%,1,100, 1
1701220332.894701,1490161.000,47501,1,B%,1,100, 1
1701220337.894826,1495161.000,48319,1,B%,1,100, 0
1701220342.893951,1500160.000,49128,1,B%,1,100, 0
1701220347.894077,1505160.000,49926,1,B%,1,100, 0
1701220352.893202,1510159.000,50729,1,B%,1,100, 1
1701220357.893328,1515159.000,51550,1,B%,1,100, 0
1701220362.892453,1520158.000,52366,1,B%,1,100, 0
