LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1701220221.844916,1379114,29577,1,BI,1,100,1840
1701220223.178949,1380448,29794,1,BI,1,100,1320
1701220230.111123,1387380,30911,1,BI,1,100,6920
1701220233.924218,1391193,31519,1,BI,1,100,3800
1701220234.844242,1392113,31671,1,BI,1,100,920
1701220235.364255,1392633,31756,1,BI,1,100,520
1701220235.884268,1393153,31839,1,BI,1,100,520
1701220237.457307,1394726,32086,1,BI,1,100,1560
1701220238.497333,1395766,32260,1,BI,1,100,1040
1701220243.750465,1401019,33123,1,BI,1,100,5240
1701220246.323529,1403592,33539,1,BI,1,100,2560
1701220249.043598,1406312,33970,1,BI,1,100,2720
1701220252.336680,1409605,34488,1,BI,1,100,3280
1701220253.216702,1410485,34640,1,BI,1,100,880
1701220253.696714,1410965,34722,1,BI,1,100,480
1701220254.655738,1411924,34826,1,BI,1,100,960
1701220254.975746,1412244,34879,1,BI,1,100,320
1701220256.429783,1413698,35111,1,BI,1,100,1440
1701220258.348831,1415617,35426,1,BI,1,100,1920
1701220260.108875,1417377,35711,1,BI,1,100,1760
1701220261.721916,1418990,35961,1,BI,1,100,1600
1701220265.001998,1422270,36503,1,BI,1,100,3280
1701220265.695015,1422963,36611,1,BI,1,100,680
1701220276.561288,1433829,38353,1,BI,1,100,10840
1701220279.321357,1436589,38822,1,BI,1,100,2760
1701220280.534388,1437802,39026,1,BI,1,100,1200
1701220284.254481,1441522,39619,1,BI,1,100,3720
1701220284.947498,1442215,39734,1,BI,1,100,680
1701220287.186554,1444454,40088,1,BI,1,100,2240
1701220288.306582,1445574,40272,1,BI,1,100,1120
1701220289.026601,1446294,40389,1,BI,1,100,720
1701220290.279632,1447547,40605,1,BI,1,100,1240
1701220291.599665,1448867,40806,1,BI,1,100,1320
1701220293.159704,1450427,41072,1,BI,1,100,1560
1701220303.225957,1460493,42691,1,BI,1,100,10040
1701220304.158980,1461426,42841,1,BI,1,100,920
1701220306.599041,1463866,43226,1,BI,1,100,2440
1701220308.772096,1466039,43590,1,BI,1,100,2160
1701220309.372111,1466639,43675,1,BI,1,100,600
1701220309.972126,1467239,43773,1,BI,1,100,600
1701220310.532140,1467799,43874,1,BI,1,100,560
1701220311.132155,1468399,43973,1,BI,1,100,600
1701220311.932175,1469199,44079,1,BI,1,100,800
1701220312.652193,1469919,44212,1,BI,1,100,720
1701220313.225207,1470492,44298,1,BI,1,100,560
1701220313.745220,1471012,44381,1,BI,1,100,520
1701220314.625242,1471892,44529,1,BI,1,100,880
1701220316.464289,1473731,44815,1,BI,1,100,1840
1701220317.105305,1474372,44916,1,BI,1,100,640
1701220317.784322,1475051,45031,1,BI,1,100,680
1701220318.118330,1475385,45085,1,BI,1,100,320
1701220318.958351,1476225,45218,1,BI,1,100,840
1701220319.438363,1476705,45300,1,BI,1,100,480
1701220320.918400,1478185,45531,1,BI,1,100,1480
1701220321.797422,1479064,45685,1,BI,1,100,880
1701220323.770472,1481037,46000,1,BI,1,100,1960
1701220325.530516,1482797,46280,1,BI,1,100,1760
1701220327.370562,1484637,46584,1,BI,1,100,1840
1701220328.023579,1485290,46685,1,BI,1,100,640
1701220329.223609,1486490,46884,1,BI,1,100,1200
1701220329.823624,1487090,46983,1,BI,1,100,600
1701220331.503666,1488770,47262,1,BI,1,100,1680
1701220332.223684,1489490,47367,1,BI,1,100,720
1701220333.356712,1490623,47567,1,BI,1,100,1120
1701220334.276735,1491543,47718,1,BI,1,100,920
1701220336.076781,1493343,47998,1,BI,1,100,1800
1701220338.849850,1496116,48451,1,BI,1,100,2760
1701220343.702972,1500969,49245,1,BI,1,100,4840
1701220344.222985,1501489,49312,1,BI,1,100,520
1701220346.663046,1503929,49705,1,BI,1,100,2440
1701220347.756073,1505022,49875,1,BI,1,100,1080
1701220348.276087,1505542,49960,1,BI,1,100,520
1701220348.996104,1506262,50076,1,BI,1,100,720
1701220349.996130,1507262,50242,1,BI,1,100,1000
1701220351.036156,1508302,50428,1,BI,1,100,1040
1701220353.329213,1510595,50797,1,BI,1,100,2280
1701220354.449241,1511715,50977,1,BI,1,100,1120
1701220355.049256,1512315,51080,1,BI,1,100,600
1701220356.088282,1513354,51247,1,BI,1,100,1040
1701220356.822301,1514088,51364,1,BI,1,100,720
1701220359.541369,1516807,51797,1,BI,1,100,2720
1701220361.155410,1518421,52060,1,BI,1,100,1600
1701220361.514419,1518780,52127,1,BI,1,100,360
1701220362.554445,1519820,52298,1,BI,1,100,1040
