LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1701220222.902942,1380172.000,29759,1,BV,1,100,3.42
1701220227.903068,1385172.000,30556,1,BV,1,100,3.42
1701220232.902193,1390171.000,31370,1,BV,1,100,3.42
1701220237.902318,1395171.000,32188,1,BV,1,100,3.42
1701220242.901444,1400170.000,33005,1,BV,1,100,3.41
1701220247.901569,1405170.000,33806,1,BV,1,100,3.41
1701220252.900694,1410169.000,34604,1,BV,1,100,3.41
1701220257.900820,1415169.000,35356,1,BV,1,100,3.41
1701220262.899945,1420168.000,36175,1,BV,1,100,3.41
1701220267.900071,1425168.000,36989,1,BV,1,100,3.41
1701220272.899196,1430167.000,37800,1,BV,1,100,3.41
1701220277.899321,1435167.000,38603,1,BV,1,100,3.41
1701220282.898447,1440166.000,39404,1,BV,1,100,3.41
1701220287.898572,1445166.000,40220,1,BV,1,100,3.41
1701220292.897698,1450165.000,41037,1,BV,1,100,3.41
1701220297.897823,1455165.000,41847,1,BV,1,100,3.41
1701220302.896948,1460164.000,42640,1,BV,1,100,3.41
1701220307.897074,1465164.000,43458,1,BV,1,100,3.41
1701220312.896199,1470163.000,44262,1,BV,1,100,3.41
1701220317.896325,1475163.000,45067,1,BV,1,100,3.41
1701220322.895450,1480162.000,45867,1,BV,1,100,3.41
1701220327.895575,1485162.000,46682,1,BV,1,100,3.41
1701220332.894701,1490161.000,47500,1,BV,1,100,3.41
1701220337.894826,1495161.000,48318,1,BV,1,100,3.41
1701220342.893951,1500160.000,49127,1,BV,1,100,3.41
1701220347.894077,1505160.000,49925,1,BV,1,100,3.41
1701220352.893202,1510159.000,50728,1,BV,1,100,3.41
1701220357.893328,1515159.000,51549,1,BV,1,100,3.40
1701220362.892453,1520158.000,52365,1,BV,1,100,3.41
