LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1701220221.070896,1378340.000,29448,2,EA,1,100,0.067753
1701220221.070896,1378340.000,29448,2,EA,1,100,0.067734
1701220221.136898,1378406.000,29465,1,EA,1,100,0.067719
1701220221.203899,1378473.000,29482,2,EA,1,100,0.067701
1701220221.270901,1378540.000,29482,2,EA,1,100,0.067692
1701220221.336903,1378606.000,29499,1,EA,1,100,0.067677
1701220221.403904,1378673.000,29514,2,EA,1,100,0.067718
1701220221.470906,1378740.000,29514,2,EA,1,100,0.067761
1701220221.537408,1378806.500,29531,2,EA,1,100,0.067805
1701220221.603909,1378873.000,29531,2,EA,1,100,0.067841
1701220221.670911,1378940.000,29547,1,EA,1,100,0.067858
1701220221.737413,1379006.500,29564,2,EA,1,100,0.067856
1701220221.803915,1379073.000,29564,2,EA,1,100,0.067890
1701220221.870916,1379140.000,29582,1,EA,1,100,0.067919
1701220221.937418,1379206.500,29598,2,EA,1,100,0.067945
1701220222.003920,1379273.000,29598,2,EA,1,100,0.068004
1701220222.070921,1379340.000,29614,1,EA,1,100,0.068033
1701220222.137423,1379406.500,29633,2,EA,1,100,0.068003
1701220222.203924,1379473.000,29633,2,EA,1,100,0.067984
1701220222.270926,1379540.000,29650,1,EA,1,100,0.067996
1701220222.337428,1379606.500,29665,2,EA,1,100,0.068019
1701220222.403929,1379673.000,29665,2,EA,1,100,0.068025
1701220222.470931,1379740.000,29681,1,EA,1,100,0.068025
1701220222.537433,1379806.500,29699,2,EA,1,100,0.068017
1701220222.603935,1379873.000,29699,2,EA,1,100,0.067995
1701220222.670936,1379940.000,29715,1,EA,1,100,0.067945
1701220222.737438,1380006.500,29730,2,EA,1,100,0.067925
1701220222.803940,1380073.000,29730,2,EA,1,100,0.067903
1701220222.869941,1380139.000,29746,1,EA,1,100,0.067886
1701220222.936943,1380206.000,29766,2,EA,1,100,0.067857
1701220223.003945,1380273.000,29766,2,EA,1,100,0.067844
1701220223.070946,1380340.000,29782,1,EA,1,100,0.067828
1701220223.137448,1380406.500,29799,2,EA,1,100,0.067811
1701220223.203950,1380473.000,29799,2,EA,1,100,0.067802
1701220223.270951,1380540.000,29816,1,EA,1,100,0.067823
1701220223.337453,1380606.500,29833,2,EA,1,100,0.067795
1701220223.403955,1380673.000,29833,2,EA,1,100,0.067786
1701220223.470956,1380740.000,29849,1,EA,1,100,0.067802
1701220223.537458,1380806.500,29866,2,EA,1,100,0.067800
1701220223.603960,1380873.000,29866,2,EA,1,100,0.067797
1701220223.670461,1380939.500,29881,2,EA,1,100,0.067809
1701220223.736963,1381006.000,29881,2,EA,1,100,0.067819
1701220223.803965,1381073.000,29898,1,EA,1,100,0.067838
1701220223.870466,1381139.500,29915,2,EA,1,100,0.067881
1701220223.936968,1381206.000,29915,2,EA,1,100,0.067892
1701220224.003970,1381273.000,29932,1,EA,1,100,0.067874
1701220224.070471,1381339.500,29946,2,EA,1,100,0.067885
1701220224.136973,1381406.000,29946,2,EA,1,100,0.067906
1701220224.203641,1381472.667,29967,3,EA,1,100,0.067922
1701220224.270310,1381539.333,29967,3,EA,1,100,0.067927
1701220224.336978,1381606.000,29967,3,EA,1,100,0.067982
1701220224.403980,1381673.000,29984,1,EA,1,100,0.068027
1701220224.470481,1381739.500,29998,2,EA,1,100,0.068064
1701220224.536983,1381806.000,29998,2,EA,1,100,0.068095
1701220224.603985,1381873.000,30016,1,EA,1,100,0.068125
1701220224.670486,1381939.500,30032,2,EA,1,100,0.068169
1701220224.736988,1382006.000,30032,2,EA,1,100,0.068195
1701220224.803990,1382073.000,30049,1,EA,1,100,0.068226
1701220224.870492,1382139.500,30064,2,EA,1,100,0.068261
1701220224.936993,1382206.000,30064,2,EA,1,100,0.068281
1701220225.003995,1382273.000,30081,1,EA,1,100,0.068290
1701220225.070496,1382339.500,30099,2,EA,1,100,0.068301
1701220225.136998,1382406.000,30099,2,EA,1,100,0.068325
1701220225.204000,1382473.000,30116,1,EA,1,100,0.068345
1701220225.270501,1382539.500,30134,2,EA,1,100,0.068373
1701220225.337003,1382606.000,30134,2,EA,1,100,0.068377
1701220225.403505,1382672.500,30150,2,EA,1,100,0.068383
1701220225.470006,1382739.000,30150,2,EA,1,100,0.068363
1701220225.537008,1382806.000,30166,1,EA,1,100,0.068362
1701220225.603510,1382872.500,30184,2,EA,1,100,0.068363
1701220225.670012,1382939.000,30184,2,EA,1,100,0.068356
1701220225.737013,1383006.000,30200,1,EA,1,100,0.068349
1701220225.803515,1383072.500,30215,2,EA,1,100,0.068335
1701220225.870017,1383139.000,30215,2,EA,1,100,0.068343
1701220225.937018,1383206.000,30232,1,EA,1,100,0.068362
1701220226.003520,1383272.500,30249,2,EA,1,100,0.068349
1701220226.070021,1383339.000,30249,2,EA,1,100,0.068345
1701220226.137023,1383406.000,30265,1,EA,1,100,0.068339
1701220226.203525,1383472.500,30281,2,EA,1,100,0.068367
1701220226.270026,1383539.000,30281,2,EA,1,100,0.068344
1701220226.337028,1383606.000,30297,1,EA,1,100,0.068335
1701220226.403530,1383672.500,30316,2,EA,1,100,0.068369
1701220226.470031,1383739.000,30316,2,EA,1,100,0.068353
1701220226.537033,1383806.000,30332,1,EA,1,100,0.068310
1701220226.603535,1383872.500,30348,2,EA,1,100,0.068258
1701220226.670037,1383939.000,30348,2,EA,1,100,0.068224
1701220226.737038,1384006.000,30364,1,EA,1,100,0.068204
1701220226.803540,1384072.500,30381,2,EA,1,100,0.068220
1701220226.870042,1384139.000,30381,2,EA,1,100,0.068211
1701220226.937043,1384206.000,30398,1,EA,1,100,0.068223
1701220227.003545,1384272.500,30413,2,EA,1,100,0.068194
1701220227.070047,1384339.000,30413,2,EA,1,100,0.068137
1701220227.137048,1384406.000,30429,1,EA,1,100,0.068088
1701220227.203550,1384472.500,30447,2,EA,1,100,0.068071
1701220227.270051,1384539.000,30447,2,EA,1,100,0.068056
1701220227.337053,1384606.000,30463,1,EA,1,100,0.068012
1701220227.403555,1384672.500,30479,2,EA,1,100,0.068050
1701220227.470057,1384739.000,30479,2,EA,1,100,0.068044
1701220227.536558,1384805.500,30495,2,EA,1,100,0.068006
1701220227.603060,1384872.000,30495,2,EA,1,100,0.067993
1701220227.670062,1384939.000,30512,1,EA,1,100,0.067987
1701220227.736563,1385005.500,30528,2,EA,1,100,0.067995
1701220227.803065,1385072.000,30528,2,EA,1,100,0.067991
1701220227.870067,1385139.000,30545,1,EA,1,100,0.067996
1701220227.936568,1385205.500,30562,2,EA,1,100,0.068013
1701220228.003070,1385272.000,30562,2,EA,1,100,0.068017
1701220228.070072,1385339.000,30579,1,EA,1,100,0.068048
1701220228.136573,1385405.500,30595,2,EA,1,100,0.068127
1701220228.203075,1385472.000,30595,2,EA,1,100,0.068177
1701220228.270077,1385539.000,30613,1,EA,1,100,0.068211
1701220228.336578,1385605.500,30627,2,EA,1,100,0.068298
1701220228.403080,1385672.000,30627,2,EA,1,100,0.068344
1701220228.470082,1385739.000,30644,1,EA,1,100,0.068407
1701220228.536583,1385805.500,30661,2,EA,1,100,0.068450
1701220228.603085,1385872.000,30661,2,EA,1,100,0.068489
1701220228.670087,1385939.000,30678,1,EA,1,100,0.068534
1701220228.736588,1386005.500,30692,2,EA,1,100,0.068583
1701220228.803090,1386072.000,30692,2,EA,1,100,0.068624
1701220228.870092,1386139.000,30709,1,EA,1,100,0.068679
1701220228.936593,1386205.500,30726,2,EA,1,100,0.068716
1701220229.003095,1386272.000,30726,2,EA,1,100,0.068755
1701220229.070097,1386339.000,30743,1,EA,1,100,0.068795
1701220229.136598,1386405.500,30759,2,EA,1,100,0.068814
1701220229.203100,1386472.000,30759,2,EA,1,100,0.068825
1701220229.270102,1386539.000,30777,1,EA,1,100,0.068833
1701220229.336770,1386605.667,30799,3,EA,1,100,0.068842
1701220229.403438,1386672.333,30799,3,EA,1,100,0.068878
1701220229.470107,1386739.000,30799,3,EA,1,100,0.068900
1701220229.537108,1386806.000,30815,1,EA,1,100,0.068906
1701220229.603610,1386872.500,30833,2,EA,1,100,0.068872
1701220229.670112,1386939.000,30833,2,EA,1,100,0.068875
1701220229.736114,1387005.000,30849,1,EA,1,100,0.068882
1701220229.803115,1387072.000,30864,2,EA,1,100,0.068900
1701220229.870117,1387139.000,30864,2,EA,1,100,0.068887
1701220229.936118,1387205.000,30881,1,EA,1,100,0.068848
1701220230.003120,1387272.000,30898,2,EA,1,100,0.068857
1701220230.070122,1387339.000,30898,2,EA,1,100,0.068863
1701220230.137124,1387406.000,30916,1,EA,1,100,0.068860
1701220230.203625,1387472.500,30932,2,EA,1,100,0.068830
1701220230.270127,1387539.000,30932,2,EA,1,100,0.068782
1701220230.336128,1387605.000,30948,1,EA,1,100,0.068745
1701220230.403130,1387672.000,30965,2,EA,1,100,0.068749
1701220230.470132,1387739.000,30965,2,EA,1,100,0.068751
1701220230.536134,1387805.000,30981,1,EA,1,100,0.068720
1701220230.603135,1387872.000,30998,2,EA,1,100,0.068701
1701220230.670137,1387939.000,30998,2,EA,1,100,0.068651
1701220230.736139,1388005.000,31013,1,EA,1,100,0.068617
1701220230.803140,1388072.000,31030,2,EA,1,100,0.068562
