LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1701220221.070896,1378340.000,29449,2,EL,1,100,998.400024
1701220221.070896,1378340.000,29449,2,EL,1,100,1004.000000
1701220221.136898,1378406.000,29466,1,EL,1,100,1008.799988
1701220221.203899,1378473.000,29483,2,EL,1,100,1014.200012
1701220221.270901,1378540.000,29483,2,EL,1,100,1017.000000
1701220221.336903,1378606.000,29500,1,EL,1,100,1021.599976
1701220221.403904,1378673.000,29515,2,EL,1,100,1009.000000
1701220221.470906,1378740.000,29515,2,EL,1,100,995.799988
1701220221.537408,1378806.500,29532,2,EL,1,100,982.400024
1701220221.603909,1378873.000,29532,2,EL,1,100,971.599976
1701220221.670911,1378940.000,29548,1,EL,1,100,966.400024
1701220221.737413,1379006.500,29565,2,EL,1,100,967.000000
1701220221.803915,1379073.000,29565,2,EL,1,100,956.599976
1701220221.870916,1379140.000,29583,1,EL,1,100,947.799988
1701220221.937418,1379206.500,29599,2,EL,1,100,940.200012
1701220222.003920,1379273.000,29599,2,EL,1,100,922.200012
1701220222.070921,1379340.000,29615,1,EL,1,100,913.400024
1701220222.137423,1379406.500,29634,2,EL,1,100,922.599976
1701220222.203924,1379473.000,29634,2,EL,1,100,928.200012
1701220222.270926,1379540.000,29651,1,EL,1,100,924.599976
1701220222.337428,1379606.500,29666,2,EL,1,100,917.799988
1701220222.403929,1379673.000,29666,2,EL,1,100,915.799988
1701220222.470931,1379740.000,29682,1,EL,1,100,915.799988
1701220222.537433,1379806.500,29700,2,EL,1,100,918.200012
1701220222.603935,1379873.000,29700,2,EL,1,100,924.799988
1701220222.670936,1379940.000,29716,1,EL,1,100,940.000000
1701220222.737438,1380006.500,29731,2,EL,1,100,946.200012
1701220222.803940,1380073.000,29731,2,EL,1,100,952.799988
1701220222.869941,1380139.000,29747,1,EL,1,100,958.000000
1701220222.936943,1380206.000,29767,2,EL,1,100,966.799988
1701220223.003945,1380273.000,29767,2,EL,1,100,970.799988
1701220223.070946,1380340.000,29783,1,EL,1,100,975.599976
1701220223.137448,1380406.500,29800,2,EL,1,100,980.799988
1701220223.203950,1380473.000,29800,2,EL,1,100,983.400024
1701220223.270951,1380540.000,29817,1,EL,1,100,977.000000
1701220223.337453,1380606.500,29834,2,EL,1,100,985.599976
1701220223.403955,1380673.000,29834,2,EL,1,100,988.200012
1701220223.470956,1380740.000,29850,1,EL,1,100,983.400024
1701220223.537458,1380806.500,29867,2,EL,1,100,984.200012
1701220223.603960,1380873.000,29867,2,EL,1,100,985.000000
1701220223.670461,1380939.500,29882,2,EL,1,100,981.400024
1701220223.736963,1381006.000,29882,2,EL,1,100,978.400024
1701220223.803965,1381073.000,29899,1,EL,1,100,972.599976
1701220223.870466,1381139.500,29916,2,EL,1,100,959.599976
1701220223.936968,1381206.000,29916,2,EL,1,100,956.000000
1701220224.003970,1381273.000,29933,1,EL,1,100,961.599976
1701220224.070471,1381339.500,29947,2,EL,1,100,958.200012
1701220224.136973,1381406.000,29947,2,EL,1,100,952.000000
1701220224.203641,1381472.667,29968,3,EL,1,100,947.000000
1701220224.270310,1381539.333,29968,3,EL,1,100,945.400024
1701220224.336978,1381606.000,29968,3,EL,1,100,929.000000
1701220224.403980,1381673.000,29985,1,EL,1,100,915.200012
1701220224.470481,1381739.500,29999,2,EL,1,100,904.200012
1701220224.536983,1381806.000,29999,2,EL,1,100,894.799988
1701220224.603985,1381873.000,30017,1,EL,1,100,885.599976
1701220224.670486,1381939.500,30033,2,EL,1,100,872.400024
1701220224.736988,1382006.000,30033,2,EL,1,100,864.799988
1701220224.803990,1382073.000,30050,1,EL,1,100,855.400024
1701220224.870492,1382139.500,30065,2,EL,1,100,844.799988
1701220224.936993,1382206.000,30065,2,EL,1,100,838.799988
1701220225.003995,1382273.000,30082,1,EL,1,100,836.000000
1701220225.070496,1382339.500,30100,2,EL,1,100,832.799988
1701220225.136998,1382406.000,30100,2,EL,1,100,825.599976
1701220225.204000,1382473.000,30117,1,EL,1,100,819.799988
1701220225.270501,1382539.500,30135,2,EL,1,100,811.200012
1701220225.337003,1382606.000,30135,2,EL,1,100,810.200012
1701220225.403505,1382672.500,30151,2,EL,1,100,808.200012
1701220225.470006,1382739.000,30151,2,EL,1,100,814.200012
1701220225.537008,1382806.000,30167,1,EL,1,100,814.599976
1701220225.603510,1382872.500,30185,2,EL,1,100,814.200012
1701220225.670012,1382939.000,30185,2,EL,1,100,816.400024
1701220225.737013,1383006.000,30201,1,EL,1,100,818.599976
1701220225.803515,1383072.500,30216,2,EL,1,100,822.599976
1701220225.870017,1383139.000,30216,2,EL,1,100,820.400024
1701220225.937018,1383206.000,30233,1,EL,1,100,814.599976
1701220226.003520,1383272.500,30250,2,EL,1,100,818.599976
1701220226.070021,1383339.000,30250,2,EL,1,100,819.799988
1701220226.137023,1383406.000,30266,1,EL,1,100,821.599976
1701220226.203525,1383472.500,30282,2,EL,1,100,813.000000
1701220226.270026,1383539.000,30282,2,EL,1,100,820.000000
1701220226.337028,1383606.000,30298,1,EL,1,100,822.799988
1701220226.403530,1383672.500,30317,2,EL,1,100,812.599976
1701220226.470031,1383739.000,30317,2,EL,1,100,817.200012
1701220226.537033,1383806.000,30333,1,EL,1,100,830.200012
1701220226.603535,1383872.500,30349,2,EL,1,100,845.599976
1701220226.670037,1383939.000,30349,2,EL,1,100,855.799988
1701220226.737038,1384006.000,30365,1,EL,1,100,862.000000
1701220226.803540,1384072.500,30382,2,EL,1,100,857.200012
1701220226.870042,1384139.000,30382,2,EL,1,100,859.799988
1701220226.937043,1384206.000,30399,1,EL,1,100,856.200012
1701220227.003545,1384272.500,30414,2,EL,1,100,865.000000
1701220227.070047,1384339.000,30414,2,EL,1,100,882.000000
1701220227.137048,1384406.000,30430,1,EL,1,100,896.799988
1701220227.203550,1384472.500,30448,2,EL,1,100,902.000000
1701220227.270051,1384539.000,30448,2,EL,1,100,906.400024
1701220227.337053,1384606.000,30464,1,EL,1,100,919.799988
1701220227.403555,1384672.500,30480,2,EL,1,100,908.400024
1701220227.470057,1384739.000,30480,2,EL,1,100,910.200012
1701220227.536558,1384805.500,30496,2,EL,1,100,921.599976
1701220227.603060,1384872.000,30496,2,EL,1,100,925.599976
1701220227.670062,1384939.000,30513,1,EL,1,100,927.400024
1701220227.736563,1385005.500,30529,2,EL,1,100,924.799988
1701220227.803065,1385072.000,30529,2,EL,1,100,926.000000
1701220227.870067,1385139.000,30546,1,EL,1,100,924.599976
1701220227.936568,1385205.500,30563,2,EL,1,100,919.400024
1701220228.003070,1385272.000,30563,2,EL,1,100,918.400024
1701220228.070072,1385339.000,30580,1,EL,1,100,909.000000
1701220228.136573,1385405.500,30596,2,EL,1,100,885.000000
1701220228.203075,1385472.000,30596,2,EL,1,100,870.200012
1701220228.270077,1385539.000,30614,1,EL,1,100,859.799988
1701220228.336578,1385605.500,30628,2,EL,1,100,833.799988
1701220228.403080,1385672.000,30628,2,EL,1,100,820.000000
1701220228.470082,1385739.000,30645,1,EL,1,100,801.000000
1701220228.536583,1385805.500,30662,2,EL,1,100,788.400024
1701220228.603085,1385872.000,30662,2,EL,1,100,776.599976
1701220228.670087,1385939.000,30679,1,EL,1,100,763.200012
1701220228.736588,1386005.500,30693,2,EL,1,100,748.799988
1701220228.803090,1386072.000,30693,2,EL,1,100,736.400024
1701220228.870092,1386139.000,30710,1,EL,1,100,720.200012
1701220228.936593,1386205.500,30727,2,EL,1,100,709.200012
1701220229.003095,1386272.000,30727,2,EL,1,100,697.799988
1701220229.070097,1386339.000,30744,1,EL,1,100,686.000000
1701220229.136598,1386405.500,30760,2,EL,1,100,680.400024
1701220229.203100,1386472.000,30760,2,EL,1,100,677.000000
1701220229.270102,1386539.000,30778,1,EL,1,100,674.599976
1701220229.336770,1386605.667,30800,3,EL,1,100,672.000000
1701220229.403438,1386672.333,30800,3,EL,1,100,661.400024
1701220229.470107,1386739.000,30800,3,EL,1,100,654.799988
1701220229.537108,1386806.000,30816,1,EL,1,100,653.200012
1701220229.603610,1386872.500,30834,2,EL,1,100,663.200012
1701220229.670112,1386939.000,30834,2,EL,1,100,662.200012
1701220229.736114,1387005.000,30850,1,EL,1,100,660.200012
1701220229.803115,1387072.000,30865,2,EL,1,100,655.000000
1701220229.870117,1387139.000,30865,2,EL,1,100,658.799988
1701220229.936118,1387205.000,30882,1,EL,1,100,670.400024
1701220230.003120,1387272.000,30899,2,EL,1,100,667.599976
1701220230.070122,1387339.000,30899,2,EL,1,100,665.799988
1701220230.137124,1387406.000,30917,1,EL,1,100,666.599976
