LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1701220220.993894,1378263.000,29435,4,EM,1,100,RS
1701220220.993894,1378263.000,29435,4,EM,1,100,RB
1701220220.993894,1378263.000,29435,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220220.993894,1378263.000,29435,4,EM,1,100,PS
1701220221.043895,1378313.000,29461,4,EM,1,100,RS
1701220221.093897,1378363.000,29461,4,EM,1,100,RB
1701220221.143898,1378413.000,29461,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220221.193899,1378463.000,29461,4,EM,1,100,PS
1701220221.244150,1378513.250,29495,4,EM,1,100,RS
1701220221.294402,1378563.500,29495,4,EM,1,100,RB
1701220221.344653,1378613.750,29495,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220221.394904,1378664.000,29495,4,EM,1,100,PS
1701220221.445156,1378714.250,29526,4,EM,1,100,RS
1701220221.495407,1378764.500,29526,4,EM,1,100,RB
1701220221.545658,1378814.750,29526,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220221.595909,1378865.000,29526,4,EM,1,100,PS
1701220221.646410,1378915.500,29560,4,EM,1,100,RS
1701220221.696912,1378966.000,29560,4,EM,1,100,RB
1701220221.747413,1379016.500,29560,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220221.797914,1379067.000,29560,4,EM,1,100,PS
1701220221.848166,1379117.250,29593,4,EM,1,100,RS
1701220221.898417,1379167.500,29593,4,EM,1,100,RB
1701220221.948668,1379217.750,29593,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220221.998919,1379268.000,29593,4,EM,1,100,PS
1701220222.049171,1379318.250,29627,4,EM,1,100,RS
1701220222.099422,1379368.500,29627,4,EM,1,100,RB
1701220222.149673,1379418.750,29627,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220222.199924,1379469.000,29627,4,EM,1,100,PS
1701220222.250176,1379519.250,29661,4,EM,1,100,RS
1701220222.300427,1379569.500,29661,4,EM,1,100,RB
1701220222.350678,1379619.750,29661,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220222.400929,1379670.000,29661,4,EM,1,100,PS
1701220222.451181,1379720.250,29694,4,EM,1,100,RS
1701220222.501432,1379770.500,29694,4,EM,1,100,RB
1701220222.551683,1379820.750,29694,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220222.601934,1379871.000,29694,4,EM,1,100,PS
1701220222.652936,1379922.000,29726,4,EM,1,100,RS
1701220222.703937,1379973.000,29726,4,EM,1,100,RB
1701220222.754938,1380024.000,29726,4,EM,1,100,2023-11-28_20-10-20-072729.csv
1701220222.805940,1380075.000,29726,4,EM,1,100,PS
1701220222.856191,1380125.250,29761,4,EM,1,100,RS
1701220222.906442,1380175.500,29761,4,EM,1,100,RB
