LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1701220220.991894,1378261.000,29440,1,GY,1,100,0.214
1701220221.031895,1378301.000,29456,2,GY,1,100,-0.488
1701220221.071896,1378341.000,29456,2,GY,1,100,-0.641
1701220221.111564,1378380.667,29473,3,GY,1,100,-1.190
1701220221.151232,1378420.333,29473,3,GY,1,100,-0.427
1701220221.190899,1378460.000,29473,3,GY,1,100,0.275
1701220221.231400,1378500.500,29490,2,GY,1,100,0.397
1701220221.271901,1378541.000,29490,2,GY,1,100,0.305
1701220221.311569,1378580.667,29506,3,GY,1,100,0.061
1701220221.351237,1378620.333,29506,3,GY,1,100,-0.244
1701220221.390904,1378660.000,29506,3,GY,1,100,-0.305
1701220221.431405,1378700.500,29521,2,GY,1,100,-0.122
1701220221.471906,1378741.000,29521,2,GY,1,100,-0.122
1701220221.511574,1378780.667,29539,3,GY,1,100,-0.153
1701220221.551241,1378820.333,29539,3,GY,1,100,1.190
1701220221.590909,1378860.000,29539,3,GY,1,100,0.671
1701220221.630910,1378900.000,29555,2,GY,1,100,1.038
1701220221.670911,1378940.000,29555,2,GY,1,100,0.488
1701220221.710912,1378980.000,29572,3,GY,1,100,1.373
1701220221.750913,1379020.000,29572,3,GY,1,100,1.556
1701220221.790914,1379060.000,29572,3,GY,1,100,0.580
1701220221.830915,1379100.000,29588,2,GY,1,100,0.122
1701220221.870916,1379140.000,29588,2,GY,1,100,-0.122
1701220221.910917,1379180.000,29606,3,GY,1,100,-0.427
1701220221.950918,1379220.000,29606,3,GY,1,100,-0.610
1701220221.990919,1379260.000,29606,3,GY,1,100,-0.031
1701220222.026920,1379296.000,29622,3,GY,1,100,-0.122
1701220222.062921,1379332.000,29622,3,GY,1,100,0.366
1701220222.098922,1379368.000,29622,3,GY,1,100,0.000
1701220222.138923,1379408.000,29641,2,GY,1,100,0.671
1701220222.178924,1379448.000,29641,2,GY,1,100,0.397
1701220222.218925,1379488.000,29656,3,GY,1,100,-0.305
1701220222.258926,1379528.000,29656,3,GY,1,100,0.122
1701220222.298927,1379568.000,29656,3,GY,1,100,-0.153
1701220222.338928,1379608.000,29673,3,GY,1,100,-1.984
1701220222.378929,1379648.000,29673,3,GY,1,100,-1.404
1701220222.418930,1379688.000,29673,3,GY,1,100,0.793
1701220222.458931,1379728.000,29689,2,GY,1,100,-0.275
1701220222.498932,1379768.000,29689,2,GY,1,100,0.183
1701220222.538933,1379808.000,29707,3,GY,1,100,0.671
1701220222.578934,1379848.000,29707,3,GY,1,100,0.549
1701220222.618935,1379888.000,29707,3,GY,1,100,0.092
1701220222.658936,1379928.000,29721,2,GY,1,100,0.000
1701220222.698937,1379968.000,29721,2,GY,1,100,-0.061
1701220222.738938,1380008.000,29738,3,GY,1,100,-0.275
1701220222.778939,1380048.000,29738,3,GY,1,100,0.244
1701220222.818940,1380088.000,29738,3,GY,1,100,0.305
1701220222.858941,1380128.000,29754,2,GY,1,100,0.763
1701220222.898942,1380168.000,29754,2,GY,1,100,0.183
1701220222.938943,1380208.000,29774,3,GY,1,100,0.244
1701220222.978944,1380248.000,29774,3,GY,1,100,0.153
1701220223.018945,1380288.000,29774,3,GY,1,100,0.122
1701220223.058946,1380328.000,29788,2,GY,1,100,0.031
1701220223.098947,1380368.000,29788,2,GY,1,100,0.458
1701220223.138948,1380408.000,29807,3,GY,1,100,0.610
1701220223.178949,1380448.000,29807,3,GY,1,100,0.488
1701220223.218950,1380488.000,29807,3,GY,1,100,0.214
1701220223.258951,1380528.000,29824,2,GY,1,100,0.427
1701220223.298952,1380568.000,29824,2,GY,1,100,0.427
1701220223.338953,1380608.000,29841,3,GY,1,100,0.183
1701220223.378954,1380648.000,29841,3,GY,1,100,-0.397
1701220223.418955,1380688.000,29841,3,GY,1,100,-0.671
1701220223.458956,1380728.000,29856,2,GY,1,100,-1.221
1701220223.498957,1380768.000,29856,2,GY,1,100,-0.580
1701220223.538958,1380808.000,29873,3,GY,1,100,0.641
1701220223.578959,1380848.000,29873,3,GY,1,100,0.366
1701220223.618960,1380888.000,29873,3,GY,1,100,-0.122
