LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1701220220.991894,1378261.000,29441,1,GZ,1,100,0.000
1701220221.031895,1378301.000,29457,2,GZ,1,100,0.000
1701220221.071896,1378341.000,29457,2,GZ,1,100,0.336
1701220221.111564,1378380.667,29474,3,GZ,1,100,0.305
1701220221.151232,1378420.333,29474,3,GZ,1,100,0.519
1701220221.190899,1378460.000,29474,3,GZ,1,100,0.671
1701220221.231400,1378500.500,29491,2,GZ,1,100,0.488
1701220221.271901,1378541.000,29491,2,GZ,1,100,0.519
1701220221.311569,1378580.667,29507,3,GZ,1,100,0.519
1701220221.351237,1378620.333,29507,3,GZ,1,100,0.549
1701220221.390904,1378660.000,29507,3,GZ,1,100,0.580
1701220221.431405,1378700.500,29522,2,GZ,1,100,0.336
1701220221.471906,1378741.000,29522,2,GZ,1,100,0.366
1701220221.511574,1378780.667,29540,3,GZ,1,100,0.549
1701220221.551241,1378820.333,29540,3,GZ,1,100,0.366
1701220221.590909,1378860.000,29540,3,GZ,1,100,0.153
1701220221.630910,1378900.000,29556,2,GZ,1,100,0.549
1701220221.670911,1378940.000,29556,2,GZ,1,100,0.549
1701220221.710912,1378980.000,29573,3,GZ,1,100,0.336
1701220221.750913,1379020.000,29573,3,GZ,1,100,0.000
1701220221.790914,1379060.000,29573,3,GZ,1,100,0.397
1701220221.830915,1379100.000,29589,2,GZ,1,100,0.519
1701220221.870916,1379140.000,29589,2,GZ,1,100,0.061
1701220221.910917,1379180.000,29607,3,GZ,1,100,0.397
1701220221.950918,1379220.000,29607,3,GZ,1,100,0.488
1701220221.990919,1379260.000,29607,3,GZ,1,100,0.366
1701220222.026920,1379296.000,29623,3,GZ,1,100,0.397
1701220222.062921,1379332.000,29623,3,GZ,1,100,0.397
1701220222.098922,1379368.000,29623,3,GZ,1,100,0.580
1701220222.138923,1379408.000,29642,2,GZ,1,100,0.854
1701220222.178924,1379448.000,29642,2,GZ,1,100,0.732
1701220222.218925,1379488.000,29657,3,GZ,1,100,0.488
1701220222.258926,1379528.000,29657,3,GZ,1,100,0.580
1701220222.298927,1379568.000,29657,3,GZ,1,100,0.488
1701220222.338928,1379608.000,29674,3,GZ,1,100,0.061
1701220222.378929,1379648.000,29674,3,GZ,1,100,0.122
1701220222.418930,1379688.000,29674,3,GZ,1,100,0.549
1701220222.458931,1379728.000,29690,2,GZ,1,100,0.458
1701220222.498932,1379768.000,29690,2,GZ,1,100,0.519
1701220222.538933,1379808.000,29708,3,GZ,1,100,0.549
1701220222.578934,1379848.000,29708,3,GZ,1,100,0.549
1701220222.618935,1379888.000,29708,3,GZ,1,100,0.671
1701220222.658936,1379928.000,29722,2,GZ,1,100,0.397
1701220222.698937,1379968.000,29722,2,GZ,1,100,0.275
1701220222.738938,1380008.000,29739,3,GZ,1,100,0.305
1701220222.778939,1380048.000,29739,3,GZ,1,100,0.458
1701220222.818940,1380088.000,29739,3,GZ,1,100,0.275
1701220222.858941,1380128.000,29755,2,GZ,1,100,0.214
1701220222.898942,1380168.000,29755,2,GZ,1,100,0.519
1701220222.938943,1380208.000,29775,3,GZ,1,100,0.488
1701220222.978944,1380248.000,29775,3,GZ,1,100,0.336
1701220223.018945,1380288.000,29775,3,GZ,1,100,0.427
1701220223.058946,1380328.000,29789,2,GZ,1,100,0.397
1701220223.098947,1380368.000,29789,2,GZ,1,100,0.336
1701220223.138948,1380408.000,29808,3,GZ,1,100,0.427
1701220223.178949,1380448.000,29808,3,GZ,1,100,0.366
1701220223.218950,1380488.000,29808,3,GZ,1,100,0.366
1701220223.258951,1380528.000,29825,2,GZ,1,100,0.366
1701220223.298952,1380568.000,29825,2,GZ,1,100,0.427
1701220223.338953,1380608.000,29842,3,GZ,1,100,0.336
1701220223.378954,1380648.000,29842,3,GZ,1,100,0.427
1701220223.418955,1380688.000,29842,3,GZ,1,100,0.488
1701220223.458956,1380728.000,29857,2,GZ,1,100,0.549
1701220223.498957,1380768.000,29857,2,GZ,1,100,0.610
1701220223.538958,1380808.000,29874,3,GZ,1,100,0.397
1701220223.578959,1380848.000,29874,3,GZ,1,100,0.580
1701220223.618960,1380888.000,29874,3,GZ,1,100,0.549
1701220223.658961,1380928.000,29890,3,GZ,1,100,0.641
1701220223.698962,1380968.000,29890,3,GZ,1,100,0.397
1701220223.738963,1381008.000,29890,3,GZ,1,100,0.122
1701220223.778964,1381048.000,29907,2,GZ,1,100,0.092
1701220223.818965,1381088.000,29907,2,GZ,1,100,0.671
1701220223.858966,1381128.000,29924,3,GZ,1,100,0.580
1701220223.898967,1381168.000,29924,3,GZ,1,100,0.580
1701220223.938968,1381208.000,29924,3,GZ,1,100,0.549
1701220223.971469,1381240.500,29939,2,GZ,1,100,0.458
1701220224.003970,1381273.000,29939,2,GZ,1,100,0.427
1701220224.044304,1381313.333,29955,3,GZ,1,100,0.488
1701220224.084638,1381353.667,29955,3,GZ,1,100,0.488
1701220224.124973,1381394.000,29955,3,GZ,1,100,0.305
1701220224.164774,1381433.800,29976,5,GZ,1,100,0.183
1701220224.204575,1381473.600,29976,5,GZ,1,100,0.488
1701220224.244376,1381513.400,29976,5,GZ,1,100,0.641
1701220224.284177,1381553.200,29976,5,GZ,1,100,0.366
1701220224.323978,1381593.000,29976,5,GZ,1,100,0.458
1701220224.364312,1381633.333,29991,3,GZ,1,100,0.458
1701220224.404646,1381673.667,29991,3,GZ,1,100,0.488
1701220224.444981,1381714.000,29991,3,GZ,1,100,0.275
1701220224.484482,1381753.500,30007,2,GZ,1,100,0.275
1701220224.523983,1381793.000,30007,2,GZ,1,100,0.183
1701220224.563984,1381833.000,30025,3,GZ,1,100,0.275
1701220224.603985,1381873.000,30025,3,GZ,1,100,0.519
1701220224.643986,1381913.000,30025,3,GZ,1,100,0.671
1701220224.683987,1381953.000,30041,2,GZ,1,100,0.488
1701220224.723988,1381993.000,30041,2,GZ,1,100,0.397
1701220224.764322,1382033.333,30056,3,GZ,1,100,0.122
1701220224.804657,1382073.667,30056,3,GZ,1,100,0.000
1701220224.844991,1382114.000,30056,3,GZ,1,100,0.580
1701220224.884992,1382154.000,30073,3,GZ,1,100,0.641
1701220224.924993,1382194.000,30073,3,GZ,1,100,0.092
1701220224.964994,1382234.000,30073,3,GZ,1,100,0.153
1701220225.004495,1382273.500,30090,2,GZ,1,100,0.275
1701220225.043996,1382313.000,30090,2,GZ,1,100,0.183
1701220225.083997,1382353.000,30108,3,GZ,1,100,0.122
1701220225.123998,1382393.000,30108,3,GZ,1,100,0.214
1701220225.163999,1382433.000,30108,3,GZ,1,100,0.549
1701220225.204000,1382473.000,30124,2,GZ,1,100,0.854
1701220225.244001,1382513.000,30124,2,GZ,1,100,0.854
1701220225.284002,1382553.000,30142,3,GZ,1,100,0.519
1701220225.324003,1382593.000,30142,3,GZ,1,100,0.275
1701220225.364004,1382633.000,30142,3,GZ,1,100,0.488
1701220225.404005,1382673.000,30159,2,GZ,1,100,0.610
1701220225.444006,1382713.000,30159,2,GZ,1,100,0.549
1701220225.484007,1382753.000,30175,3,GZ,1,100,0.366
1701220225.524008,1382793.000,30175,3,GZ,1,100,0.397
1701220225.564009,1382833.000,30175,3,GZ,1,100,0.397
1701220225.604010,1382873.000,30193,2,GZ,1,100,0.641
1701220225.644011,1382913.000,30193,2,GZ,1,100,0.488
1701220225.684012,1382953.000,30207,3,GZ,1,100,0.275
1701220225.724013,1382993.000,30207,3,GZ,1,100,0.366
1701220225.764014,1383033.000,30207,3,GZ,1,100,0.427
1701220225.804015,1383073.000,30224,2,GZ,1,100,0.488
1701220225.844016,1383113.000,30224,2,GZ,1,100,0.458
1701220225.879683,1383148.667,30241,3,GZ,1,100,0.549
1701220225.915351,1383184.333,30241,3,GZ,1,100,0.519
1701220225.951019,1383220.000,30241,3,GZ,1,100,0.397
1701220225.991019,1383260.000,30258,3,GZ,1,100,0.397
1701220226.031020,1383300.000,30258,3,GZ,1,100,0.427
