LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1701220221.844916,1379114,29578,1,HR,1,100,45
1701220223.178949,1380448,29795,1,HR,1,100,45
1701220230.111123,1387380,30912,1,HR,1,100,37
1701220233.924218,1391193,31520,1,HR,1,100,32
1701220234.844242,1392113,31672,1,HR,1,100,40
1701220235.364255,1392633,31757,1,HR,1,100,56
1701220235.884268,1393153,31840,1,HR,1,100,70
1701220237.457307,1394726,32087,1,HR,1,100,63
1701220238.497333,1395766,32261,1,HR,1,100,62
1701220243.750465,1401019,33124,1,HR,1,100,50
1701220246.323529,1403592,33540,1,HR,1,100,44
1701220249.043598,1406312,33971,1,HR,1,100,39
1701220252.336680,1409605,34489,1,HR,1,100,35
1701220253.216702,1410485,34641,1,HR,1,100,42
1701220253.696714,1410965,34723,1,HR,1,100,61
1701220254.655738,1411924,34827,1,HR,1,100,61
1701220254.975746,1412244,34880,1,HR,1,100,89
1701220256.429783,1413698,35112,1,HR,1,100,79
1701220258.348831,1415617,35427,1,HR,1,100,68
1701220260.108875,1417377,35712,1,HR,1,100,61
1701220261.721916,1418990,35962,1,HR,1,100,55
1701220265.001998,1422270,36504,1,HR,1,100,47
1701220265.695015,1422963,36612,1,HR,1,100,56
1701220276.561288,1433829,38354,1,HR,1,100,45
1701220279.321357,1436589,38823,1,HR,1,100,40
1701220280.534388,1437802,39027,1,HR,1,100,42
1701220284.254481,1441522,39620,1,HR,1,100,36
1701220284.947498,1442215,39735,1,HR,1,100,48
1701220287.186554,1444454,40089,1,HR,1,100,43
1701220288.306582,1445574,40273,1,HR,1,100,45
1701220289.026601,1446294,40390,1,HR,1,100,54
1701220290.279632,1447547,40606,1,HR,1,100,53
1701220291.599665,1448867,40807,1,HR,1,100,51
1701220293.159704,1450427,41073,1,HR,1,100,48
1701220303.225957,1460493,42692,1,HR,1,100,39
1701220304.158980,1461426,42842,1,HR,1,100,45
1701220306.599041,1463866,43227,1,HR,1,100,40
1701220308.772096,1466039,43591,1,HR,1,100,37
1701220309.372111,1466639,43676,1,HR,1,100,51
1701220309.972126,1467239,43774,1,HR,1,100,62
1701220310.532140,1467799,43875,1,HR,1,100,72
1701220311.132155,1468399,43974,1,HR,1,100,78
1701220311.932175,1469199,44080,1,HR,1,100,78
1701220312.652193,1469919,44213,1,HR,1,100,79
1701220313.225207,1470492,44299,1,HR,1,100,85
1701220313.745220,1471012,44382,1,HR,1,100,92
1701220314.625242,1471892,44530,1,HR,1,100,87
1701220316.464289,1473731,44816,1,HR,1,100,75
1701220317.105305,1474372,44917,1,HR,1,100,79
1701220317.784322,1475051,45032,1,HR,1,100,81
1701220318.118330,1475385,45086,1,HR,1,100,105
1701220318.958351,1476225,45219,1,HR,1,100,97
1701220319.438363,1476705,45301,1,HR,1,100,103
1701220320.918400,1478185,45532,1,HR,1,100,89
1701220321.797422,1479064,45686,1,HR,1,100,85
1701220323.770472,1481037,46001,1,HR,1,100,73
1701220325.530516,1482797,46281,1,HR,1,100,64
1701220327.370562,1484637,46585,1,HR,1,100,57
1701220328.023579,1485290,46686,1,HR,1,100,65
1701220329.223609,1486490,46885,1,HR,1,100,62
1701220329.823624,1487090,46984,1,HR,1,100,70
1701220331.503666,1488770,47263,1,HR,1,100,63
1701220332.223684,1489490,47368,1,HR,1,100,67
1701220333.356712,1490623,47568,1,HR,1,100,64
1701220334.276735,1491543,47719,1,HR,1,100,64
1701220336.076781,1493343,47999,1,HR,1,100,58
1701220338.849850,1496116,48452,1,HR,1,100,50
1701220343.702972,1500969,49246,1,HR,1,100,41
1701220344.222985,1501489,49313,1,HR,1,100,58
1701220346.663046,1503929,49706,1,HR,1,100,50
1701220347.756073,1505022,49876,1,HR,1,100,52
1701220348.276087,1505542,49961,1,HR,1,100,66
1701220348.996104,1506262,50077,1,HR,1,100,70
1701220349.996130,1507262,50243,1,HR,1,100,67
1701220351.036156,1508302,50429,1,HR,1,100,65
1701220353.329213,1510595,50798,1,HR,1,100,57
1701220354.449241,1511715,50978,1,HR,1,100,56
1701220355.049256,1512315,51081,1,HR,1,100,66
1701220356.088282,1513354,51248,1,HR,1,100,64
1701220356.822301,1514088,51365,1,HR,1,100,68
1701220359.541369,1516807,51798,1,HR,1,100,58
1701220361.155410,1518421,52061,1,HR,1,100,53
1701220361.514419,1518780,52128,1,HR,1,100,79
1701220362.554445,1519820,52299,1,HR,1,100,74
