LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1701220220.991894,1378261.000,29443,1,MY,1,100,-13
1701220221.031895,1378301.000,29459,2,MY,1,100,-13
1701220221.071896,1378341.000,29459,2,MY,1,100,-12
1701220221.111564,1378380.667,29476,3,MY,1,100,-13
1701220221.151232,1378420.333,29476,3,MY,1,100,-14
1701220221.190899,1378460.000,29476,3,MY,1,100,-13
1701220221.231400,1378500.500,29493,2,MY,1,100,-14
1701220221.271901,1378541.000,29493,2,MY,1,100,-13
1701220221.311569,1378580.667,29509,3,MY,1,100,-13
1701220221.351237,1378620.333,29509,3,MY,1,100,-13
1701220221.390904,1378660.000,29509,3,MY,1,100,-13
1701220221.431405,1378700.500,29524,2,MY,1,100,-14
1701220221.471906,1378741.000,29524,2,MY,1,100,-14
1701220221.511574,1378780.667,29542,3,MY,1,100,-12
1701220221.551241,1378820.333,29542,3,MY,1,100,-13
1701220221.590909,1378860.000,29542,3,MY,1,100,-14
1701220221.630910,1378900.000,29558,2,MY,1,100,-13
1701220221.670911,1378940.000,29558,2,MY,1,100,-13
1701220221.710912,1378980.000,29575,3,MY,1,100,-12
1701220221.750913,1379020.000,29575,3,MY,1,100,-12
1701220221.790914,1379060.000,29575,3,MY,1,100,-13
1701220221.830915,1379100.000,29591,2,MY,1,100,-14
1701220221.870916,1379140.000,29591,2,MY,1,100,-13
1701220221.910917,1379180.000,29609,3,MY,1,100,-13
1701220221.950918,1379220.000,29609,3,MY,1,100,-13
1701220221.990919,1379260.000,29609,3,MY,1,100,-14
1701220222.026920,1379296.000,29625,3,MY,1,100,-13
1701220222.062921,1379332.000,29625,3,MY,1,100,-13
1701220222.098922,1379368.000,29625,3,MY,1,100,-13
1701220222.138923,1379408.000,29644,2,MY,1,100,-13
1701220222.178924,1379448.000,29644,2,MY,1,100,-13
1701220222.218925,1379488.000,29659,3,MY,1,100,-14
1701220222.258926,1379528.000,29659,3,MY,1,100,-12
1701220222.298927,1379568.000,29659,3,MY,1,100,-13
1701220222.338928,1379608.000,29676,3,MY,1,100,-12
1701220222.378929,1379648.000,29676,3,MY,1,100,-13
1701220222.418930,1379688.000,29676,3,MY,1,100,-13
1701220222.458931,1379728.000,29692,2,MY,1,100,-13
1701220222.498932,1379768.000,29692,2,MY,1,100,-14
1701220222.538933,1379808.000,29710,3,MY,1,100,-14
1701220222.578934,1379848.000,29710,3,MY,1,100,-13
1701220222.618935,1379888.000,29710,3,MY,1,100,-13
1701220222.658936,1379928.000,29724,2,MY,1,100,-13
1701220222.698937,1379968.000,29724,2,MY,1,100,-13
1701220222.738938,1380008.000,29741,3,MY,1,100,-12
1701220222.778939,1380048.000,29741,3,MY,1,100,-13
1701220222.818940,1380088.000,29741,3,MY,1,100,-12
1701220222.858941,1380128.000,29757,2,MY,1,100,-13
1701220222.898942,1380168.000,29757,2,MY,1,100,-13
1701220222.938943,1380208.000,29777,3,MY,1,100,-12
1701220222.978944,1380248.000,29777,3,MY,1,100,-14
1701220223.018945,1380288.000,29777,3,MY,1,100,-13
1701220223.058946,1380328.000,29791,2,MY,1,100,-14
1701220223.098947,1380368.000,29791,2,MY,1,100,-13
1701220223.138948,1380408.000,29810,3,MY,1,100,-13
1701220223.178949,1380448.000,29810,3,MY,1,100,-13
1701220223.218950,1380488.000,29810,3,MY,1,100,-13
1701220223.258951,1380528.000,29827,2,MY,1,100,-13
1701220223.298952,1380568.000,29827,2,MY,1,100,-13
1701220223.338953,1380608.000,29844,3,MY,1,100,-13
1701220223.378954,1380648.000,29844,3,MY,1,100,-13
1701220223.418955,1380688.000,29844,3,MY,1,100,-13
1701220223.458956,1380728.000,29859,2,MY,1,100,-13
1701220223.498957,1380768.000,29859,2,MY,1,100,-13
1701220223.538958,1380808.000,29876,3,MY,1,100,-13
1701220223.578959,1380848.000,29876,3,MY,1,100,-13
1701220223.618960,1380888.000,29876,3,MY,1,100,-13
1701220223.658961,1380928.000,29892,3,MY,1,100,-13
1701220223.698962,1380968.000,29892,3,MY,1,100,-13
1701220223.738963,1381008.000,29892,3,MY,1,100,-14
1701220223.778964,1381048.000,29909,2,MY,1,100,-14
1701220223.818965,1381088.000,29909,2,MY,1,100,-13
1701220223.858966,1381128.000,29926,3,MY,1,100,-13
1701220223.898967,1381168.000,29926,3,MY,1,100,-11
1701220223.938968,1381208.000,29926,3,MY,1,100,-13
1701220223.971469,1381240.500,29941,2,MY,1,100,-13
1701220224.003970,1381273.000,29941,2,MY,1,100,-13
1701220224.044304,1381313.333,29957,3,MY,1,100,-15
1701220224.084638,1381353.667,29957,3,MY,1,100,-12
1701220224.124973,1381394.000,29957,3,MY,1,100,-13
1701220224.164774,1381433.800,29978,5,MY,1,100,-13
1701220224.204575,1381473.600,29978,5,MY,1,100,-13
1701220224.244376,1381513.400,29978,5,MY,1,100,-14
1701220224.284177,1381553.200,29978,5,MY,1,100,-14
1701220224.323978,1381593.000,29978,5,MY,1,100,-13
1701220224.364312,1381633.333,29993,3,MY,1,100,-13
1701220224.404646,1381673.667,29993,3,MY,1,100,-13
