LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1701220221.085896,1378355.000,29447,3,PG,1,100,1543
1701220221.085896,1378355.000,29447,3,PG,1,100,1553
1701220221.085896,1378355.000,29447,3,PG,1,100,1548
1701220221.125397,1378394.500,29464,2,PG,1,100,1548
1701220221.164898,1378434.000,29464,2,PG,1,100,1541
1701220221.204900,1378474.000,29481,3,PG,1,100,1549
1701220221.244900,1378514.000,29481,3,PG,1,100,1555
1701220221.284901,1378554.000,29481,3,PG,1,100,1566
1701220221.324903,1378594.000,29498,2,PG,1,100,1548
1701220221.364903,1378634.000,29498,2,PG,1,100,1556
1701220221.404905,1378674.000,29513,3,PG,1,100,1558
1701220221.444906,1378714.000,29513,3,PG,1,100,1536
1701220221.484906,1378754.000,29513,3,PG,1,100,1550
1701220221.525241,1378794.333,29530,3,PG,1,100,1547
1701220221.565575,1378834.667,29530,3,PG,1,100,1574
1701220221.605910,1378875.000,29530,3,PG,1,100,1578
1701220221.645411,1378914.500,29546,2,PG,1,100,1550
1701220221.684911,1378954.000,29546,2,PG,1,100,1563
1701220221.724912,1378994.000,29563,3,PG,1,100,1536
1701220221.764914,1379034.000,29563,3,PG,1,100,1548
1701220221.804914,1379074.000,29563,3,PG,1,100,1563
1701220221.844916,1379114.000,29581,2,PG,1,100,1545
1701220221.884917,1379154.000,29581,2,PG,1,100,1544
1701220221.924917,1379194.000,29597,3,PG,1,100,1559
1701220221.964919,1379234.000,29597,3,PG,1,100,1547
1701220222.004920,1379274.000,29597,3,PG,1,100,1547
1701220222.051921,1379321.000,29613,2,PG,1,100,1548
1701220222.098922,1379368.000,29613,2,PG,1,100,1553
1701220222.138923,1379408.000,29632,2,PG,1,100,1558
1701220222.178924,1379448.000,29632,2,PG,1,100,1564
1701220222.218925,1379488.000,29649,3,PG,1,100,1552
1701220222.258926,1379528.000,29649,3,PG,1,100,1574
1701220222.298927,1379568.000,29649,3,PG,1,100,1563
1701220222.338928,1379608.000,29664,2,PG,1,100,1554
1701220222.378929,1379648.000,29664,2,PG,1,100,1548
1701220222.418930,1379688.000,29680,3,PG,1,100,1564
1701220222.458931,1379728.000,29680,3,PG,1,100,1563
1701220222.498932,1379768.000,29680,3,PG,1,100,1556
1701220222.538933,1379808.000,29698,3,PG,1,100,1546
1701220222.578934,1379848.000,29698,3,PG,1,100,1568
1701220222.618935,1379888.000,29698,3,PG,1,100,1563
1701220222.658936,1379928.000,29714,2,PG,1,100,1540
1701220222.698937,1379968.000,29714,2,PG,1,100,1547
1701220222.738938,1380008.000,29729,3,PG,1,100,1560
1701220222.778939,1380048.000,29729,3,PG,1,100,1560
1701220222.818940,1380088.000,29729,3,PG,1,100,1563
1701220222.858941,1380128.000,29745,2,PG,1,100,1567
1701220222.898942,1380168.000,29745,2,PG,1,100,1562
1701220222.938943,1380208.000,29765,3,PG,1,100,1546
1701220222.978944,1380248.000,29765,3,PG,1,100,1550
1701220223.018945,1380288.000,29765,3,PG,1,100,1551
1701220223.058946,1380328.000,29781,2,PG,1,100,1557
1701220223.098947,1380368.000,29781,2,PG,1,100,1554
1701220223.138948,1380408.000,29798,3,PG,1,100,1563
1701220223.178949,1380448.000,29798,3,PG,1,100,1561
1701220223.218950,1380488.000,29798,3,PG,1,100,1573
1701220223.258951,1380528.000,29815,2,PG,1,100,1553
1701220223.298952,1380568.000,29815,2,PG,1,100,1556
1701220223.338953,1380608.000,29832,3,PG,1,100,1551
1701220223.378954,1380648.000,29832,3,PG,1,100,1567
1701220223.418955,1380688.000,29832,3,PG,1,100,1559
1701220223.458456,1380727.500,29848,2,PG,1,100,1554
1701220223.497957,1380767.000,29848,2,PG,1,100,1558
1701220223.538291,1380807.333,29865,3,PG,1,100,1562
1701220223.578626,1380847.667,29865,3,PG,1,100,1552
1701220223.618960,1380888.000,29865,3,PG,1,100,1551
1701220223.658961,1380928.000,29880,3,PG,1,100,1551
1701220223.698962,1380968.000,29880,3,PG,1,100,1552
1701220223.738963,1381008.000,29880,3,PG,1,100,1554
1701220223.778964,1381048.000,29897,2,PG,1,100,1558
1701220223.818965,1381088.000,29897,2,PG,1,100,1570
1701220223.858966,1381128.000,29914,3,PG,1,100,1544
1701220223.898967,1381168.000,29914,3,PG,1,100,1554
1701220223.938968,1381208.000,29914,3,PG,1,100,1567
1701220223.978469,1381247.500,29931,2,PG,1,100,1544
1701220224.017970,1381287.000,29931,2,PG,1,100,1562
1701220224.058304,1381327.333,29945,3,PG,1,100,1567
1701220224.098639,1381367.667,29945,3,PG,1,100,1561
1701220224.138973,1381408.000,29945,3,PG,1,100,1557
1701220224.178774,1381447.800,29966,5,PG,1,100,1554
1701220224.218575,1381487.600,29966,5,PG,1,100,1548
1701220224.258376,1381527.400,29966,5,PG,1,100,1551
1701220224.298177,1381567.200,29966,5,PG,1,100,1551
1701220224.337978,1381607.000,29966,5,PG,1,100,1562
1701220224.377979,1381647.000,29983,2,PG,1,100,1567
1701220224.417980,1381687.000,29983,2,PG,1,100,1570
1701220224.457981,1381727.000,29997,3,PG,1,100,1559
