LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1701220221.085896,1378355.000,29445,3,PI,1,100,135618
1701220221.085896,1378355.000,29445,3,PI,1,100,135620
1701220221.085896,1378355.000,29445,3,PI,1,100,135593
1701220221.125397,1378394.500,29462,2,PI,1,100,135606
1701220221.164898,1378434.000,29462,2,PI,1,100,135602
1701220221.204900,1378474.000,29479,3,PI,1,100,135604
1701220221.244900,1378514.000,29479,3,PI,1,100,135613
1701220221.284901,1378554.000,29479,3,PI,1,100,135614
1701220221.324903,1378594.000,29496,2,PI,1,100,135640
1701220221.364903,1378634.000,29496,2,PI,1,100,135636
1701220221.404905,1378674.000,29511,3,PI,1,100,135645
1701220221.444906,1378714.000,29511,3,PI,1,100,135648
1701220221.484906,1378754.000,29511,3,PI,1,100,135655
1701220221.525241,1378794.333,29528,3,PI,1,100,135652
1701220221.565575,1378834.667,29528,3,PI,1,100,135630
1701220221.605910,1378875.000,29528,3,PI,1,100,135643
1701220221.645411,1378914.500,29544,2,PI,1,100,135636
1701220221.684911,1378954.000,29544,2,PI,1,100,135624
1701220221.724912,1378994.000,29561,3,PI,1,100,135620
1701220221.764914,1379034.000,29561,3,PI,1,100,135625
1701220221.804914,1379074.000,29561,3,PI,1,100,135648
1701220221.844916,1379114.000,29579,2,PI,1,100,135661
1701220221.884917,1379154.000,29579,2,PI,1,100,135633
1701220221.924917,1379194.000,29595,3,PI,1,100,135672
1701220221.964919,1379234.000,29595,3,PI,1,100,135671
1701220222.004920,1379274.000,29595,3,PI,1,100,135654
1701220222.051921,1379321.000,29611,2,PI,1,100,135674
1701220222.098922,1379368.000,29611,2,PI,1,100,135695
1701220222.138923,1379408.000,29630,2,PI,1,100,135677
1701220222.178924,1379448.000,29630,2,PI,1,100,135709
1701220222.218925,1379488.000,29647,3,PI,1,100,135691
1701220222.258926,1379528.000,29647,3,PI,1,100,135702
1701220222.298927,1379568.000,29647,3,PI,1,100,135685
1701220222.338928,1379608.000,29662,2,PI,1,100,135685
1701220222.378929,1379648.000,29662,2,PI,1,100,135689
1701220222.418930,1379688.000,29678,3,PI,1,100,135695
1701220222.458931,1379728.000,29678,3,PI,1,100,135700
1701220222.498932,1379768.000,29678,3,PI,1,100,135700
1701220222.538933,1379808.000,29696,3,PI,1,100,135713
1701220222.578934,1379848.000,29696,3,PI,1,100,135708
1701220222.618935,1379888.000,29696,3,PI,1,100,135720
1701220222.658936,1379928.000,29712,2,PI,1,100,135711
1701220222.698937,1379968.000,29712,2,PI,1,100,135731
1701220222.738938,1380008.000,29727,3,PI,1,100,135738
1701220222.778939,1380048.000,29727,3,PI,1,100,135732
1701220222.818940,1380088.000,29727,3,PI,1,100,135742
1701220222.858941,1380128.000,29743,2,PI,1,100,135745
1701220222.898942,1380168.000,29743,2,PI,1,100,135736
1701220222.938943,1380208.000,29763,3,PI,1,100,135710
1701220222.978944,1380248.000,29763,3,PI,1,100,135703
