LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1701220221.085896,1378355.000,29446,3,PR,1,100,43393
1701220221.085896,1378355.000,29446,3,PR,1,100,43398
1701220221.085896,1378355.000,29446,3,PR,1,100,43385
1701220221.125397,1378394.500,29463,2,PR,1,100,43398
1701220221.164898,1378434.000,29463,2,PR,1,100,43392
1701220221.204900,1378474.000,29480,3,PR,1,100,43409
1701220221.244900,1378514.000,29480,3,PR,1,100,43407
1701220221.284901,1378554.000,29480,3,PR,1,100,43422
1701220221.324903,1378594.000,29497,2,PR,1,100,43406
1701220221.364903,1378634.000,29497,2,PR,1,100,43384
1701220221.404905,1378674.000,29512,3,PR,1,100,43410
1701220221.444906,1378714.000,29512,3,PR,1,100,43407
1701220221.484906,1378754.000,29512,3,PR,1,100,43399
1701220221.525241,1378794.333,29529,3,PR,1,100,43394
1701220221.565575,1378834.667,29529,3,PR,1,100,43398
1701220221.605910,1378875.000,29529,3,PR,1,100,43404
1701220221.645411,1378914.500,29545,2,PR,1,100,43401
1701220221.684911,1378954.000,29545,2,PR,1,100,43398
1701220221.724912,1378994.000,29562,3,PR,1,100,43400
1701220221.764914,1379034.000,29562,3,PR,1,100,43413
1701220221.804914,1379074.000,29562,3,PR,1,100,43404
1701220221.844916,1379114.000,29580,2,PR,1,100,43420
1701220221.884917,1379154.000,29580,2,PR,1,100,43414
1701220221.924917,1379194.000,29596,3,PR,1,100,43414
1701220221.964919,1379234.000,29596,3,PR,1,100,43410
1701220222.004920,1379274.000,29596,3,PR,1,100,43414
1701220222.051921,1379321.000,29612,2,PR,1,100,43418
1701220222.098922,1379368.000,29612,2,PR,1,100,43408
1701220222.138923,1379408.000,29631,2,PR,1,100,43412
1701220222.178924,1379448.000,29631,2,PR,1,100,43424
1701220222.218925,1379488.000,29648,3,PR,1,100,43436
1701220222.258926,1379528.000,29648,3,PR,1,100,43412
1701220222.298927,1379568.000,29648,3,PR,1,100,43402
1701220222.338928,1379608.000,29663,2,PR,1,100,43400
1701220222.378929,1379648.000,29663,2,PR,1,100,43419
1701220222.418930,1379688.000,29679,3,PR,1,100,43414
1701220222.458931,1379728.000,29679,3,PR,1,100,43431
1701220222.498932,1379768.000,29679,3,PR,1,100,43424
1701220222.538933,1379808.000,29697,3,PR,1,100,43409
1701220222.578934,1379848.000,29697,3,PR,1,100,43416
1701220222.618935,1379888.000,29697,3,PR,1,100,43415
1701220222.658936,1379928.000,29713,2,PR,1,100,43421
1701220222.698937,1379968.000,29713,2,PR,1,100,43426
1701220222.738938,1380008.000,29728,3,PR,1,100,43423
1701220222.778939,1380048.000,29728,3,PR,1,100,43420
1701220222.818940,1380088.000,29728,3,PR,1,100,43437
1701220222.858941,1380128.000,29744,2,PR,1,100,43430
1701220222.898942,1380168.000,29744,2,PR,1,100,43420
1701220222.938943,1380208.000,29764,3,PR,1,100,43425
1701220222.978944,1380248.000,29764,3,PR,1,100,43433
1701220223.018945,1380288.000,29764,3,PR,1,100,43431
1701220223.058946,1380328.000,29780,2,PR,1,100,43418
1701220223.098947,1380368.000,29780,2,PR,1,100,43421
1701220223.138948,1380408.000,29797,3,PR,1,100,43435
1701220223.178949,1380448.000,29797,3,PR,1,100,43414
1701220223.218950,1380488.000,29797,3,PR,1,100,43404
1701220223.258951,1380528.000,29814,2,PR,1,100,43419
1701220223.298952,1380568.000,29814,2,PR,1,100,43417
1701220223.338953,1380608.000,29831,3,PR,1,100,43428
1701220223.378954,1380648.000,29831,3,PR,1,100,43433
1701220223.418955,1380688.000,29831,3,PR,1,100,43431
1701220223.458456,1380727.500,29847,2,PR,1,100,43413
1701220223.497957,1380767.000,29847,2,PR,1,100,43425
1701220223.538291,1380807.333,29864,3,PR,1,100,43436
1701220223.578626,1380847.667,29864,3,PR,1,100,43439
1701220223.618960,1380888.000,29864,3,PR,1,100,43436
1701220223.658961,1380928.000,29879,3,PR,1,100,43425
1701220223.698962,1380968.000,29879,3,PR,1,100,43432
1701220223.738963,1381008.000,29879,3,PR,1,100,43440
1701220223.778964,1381048.000,29896,2,PR,1,100,43418
1701220223.818965,1381088.000,29896,2,PR,1,100,43425
1701220223.858966,1381128.000,29913,3,PR,1,100,43417
1701220223.898967,1381168.000,29913,3,PR,1,100,43429
1701220223.938968,1381208.000,29913,3,PR,1,100,43420
1701220223.978469,1381247.500,29930,2,PR,1,100,43425
1701220224.017970,1381287.000,29930,2,PR,1,100,43442
1701220224.058304,1381327.333,29944,3,PR,1,100,43429
1701220224.098639,1381367.667,29944,3,PR,1,100,43418
1701220224.138973,1381408.000,29944,3,PR,1,100,43411
1701220224.178774,1381447.800,29965,5,PR,1,100,43446
1701220224.218575,1381487.600,29965,5,PR,1,100,43438
1701220224.258376,1381527.400,29965,5,PR,1,100,43402
1701220224.298177,1381567.200,29965,5,PR,1,100,43424
1701220224.337978,1381607.000,29965,5,PR,1,100,43430
1701220224.377979,1381647.000,29982,2,PR,1,100,43412
1701220224.417980,1381687.000,29982,2,PR,1,100,43420
1701220224.457981,1381727.000,29996,3,PR,1,100,43414
1701220224.497982,1381767.000,29996,3,PR,1,100,43433
1701220224.537983,1381807.000,29996,3,PR,1,100,43430
1701220224.578317,1381847.333,30014,3,PR,1,100,43433
1701220224.618652,1381887.667,30014,3,PR,1,100,43416
1701220224.658986,1381928.000,30014,3,PR,1,100,43421
1701220224.698487,1381967.500,30030,2,PR,1,100,43417
1701220224.737988,1382007.000,30030,2,PR,1,100,43413
1701220224.778322,1382047.333,30047,3,PR,1,100,43427
1701220224.818657,1382087.667,30047,3,PR,1,100,43434
1701220224.858991,1382128.000,30047,3,PR,1,100,43434
