LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1701220224.248976,1381518.000,29962,2,RD,1,100,TL
1701220224.248976,1381518.000,29962,2,RD,1,100,TU
1701220226.808040,1384077.000,30794,2,RD,1,100,TL
1701220229.367104,1386636.000,30794,2,RD,1,100,TU
1701220231.934669,1389203.500,31621,2,RD,1,100,TL
1701220234.502233,1391771.000,31621,2,RD,1,100,TU
1701220237.071297,1394340.000,32446,2,RD,1,100,TL
1701220239.640362,1396909.000,32446,2,RD,1,100,TU
1701220242.198426,1399467.000,33288,2,RD,1,100,TL
1701220244.756490,1402025.000,33288,2,RD,1,100,TU
1701220247.310554,1404579.000,34104,2,RD,1,100,TL
1701220249.864618,1407133.000,34104,2,RD,1,100,TU
1701220252.418682,1409687.000,34878,2,RD,1,100,TL
1701220254.972746,1412241.000,34878,2,RD,1,100,TU
1701220257.534811,1414803.000,35710,2,RD,1,100,TL
1701220260.096875,1417365.000,35710,2,RD,1,100,TU
1701220262.652439,1419920.500,36542,2,RD,1,100,TL
1701220265.208003,1422476.000,36542,2,RD,1,100,TU
1701220267.769567,1425037.500,37372,2,RD,1,100,TL
1701220270.331132,1427599.000,37372,2,RD,1,100,TU
1701220272.888196,1430156.000,38183,2,RD,1,100,TL
1701220275.445260,1432713.000,38183,2,RD,1,100,TU
1701220278.001324,1435269.000,39022,2,RD,1,100,TL
1701220280.557388,1437825.000,39022,2,RD,1,100,TU
1701220283.118952,1440386.500,39856,2,RD,1,100,TL
1701220285.680516,1442948.000,39856,2,RD,1,100,TU
1701220288.243081,1445510.500,40690,2,RD,1,100,TL
1701220290.805645,1448073.000,40690,2,RD,1,100,TU
1701220293.367209,1450634.500,41517,2,RD,1,100,TL
1701220295.928774,1453196.000,41517,2,RD,1,100,TU
1701220298.505838,1455773.000,42343,2,RD,1,100,TL
1701220301.082903,1458350.000,42343,2,RD,1,100,TU
1701220303.648967,1460916.000,43172,2,RD,1,100,TL
1701220306.215032,1463482.000,43172,2,RD,1,100,TU
1701220308.765095,1466032.000,43993,2,RD,1,100,TL
1701220311.315160,1468582.000,43993,2,RD,1,100,TU
1701220313.868223,1471135.000,44813,2,RD,1,100,TL
1701220316.421288,1473688.000,44813,2,RD,1,100,TU
1701220318.996852,1476263.500,45651,2,RD,1,100,TL
1701220321.572417,1478839.000,45651,2,RD,1,100,TU
1701220324.136481,1481403.000,46483,2,RD,1,100,TL
1701220326.700545,1483967.000,46483,2,RD,1,100,TU
1701220329.259609,1486526.000,47316,2,RD,1,100,TL
1701220331.818674,1489085.000,47316,2,RD,1,100,TU
1701220334.375738,1491642.000,48150,2,RD,1,100,TL
1701220336.932802,1494199.000,48150,2,RD,1,100,TU
1701220339.495366,1496761.500,48976,2,RD,1,100,TL
1701220342.057930,1499324.000,48976,2,RD,1,100,TU
1701220344.613495,1501879.500,49791,2,RD,1,100,TL
1701220347.169059,1504435.000,49791,2,RD,1,100,TU
1701220349.731123,1506997.000,50628,2,RD,1,100,TL
1701220352.293187,1509559.000,50628,2,RD,1,100,TU
1701220354.854752,1512120.500,51466,2,RD,1,100,TL
1701220357.416316,1514682.000,51466,2,RD,1,100,TU
1701220359.975380,1517241.000,52296,2,RD,1,100,TL
1701220362.534444,1519800.000,52296,2,RD,1,100,TU
