LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1701220221.603909,1378873,29628,1,SA,1,100,0.000192
1701220224.136973,1381406,30094,1,SA,1,100,0.000385
1701220225.136998,1382406,30129,1,SA,1,100,0.000048
1701220226.337028,1383606,30311,1,SA,1,100,0.000034
1701220228.270077,1385539,30754,1,SA,1,100,0.000602
1701220237.270302,1394539,32153,1,SA,1,100,0.000094
1701220237.936319,1395205,32191,1,SA,1,100,0.000026
1701220238.136324,1395405,32224,1,SA,1,100,0.000021
1701220238.469332,1395738,32277,1,SA,1,100,0.000014
1701220239.335354,1396604,32482,1,SA,1,100,0.000050
1701220240.069373,1397338,32599,1,SA,1,100,0.000080
1701220240.669388,1397938,32633,1,SA,1,100,0.000029
1701220240.869393,1398138,32686,1,SA,1,100,0.000047
1701220241.269403,1398538,32785,1,SA,1,100,0.000044
1701220241.869418,1399138,32852,1,SA,1,100,0.000023
1701220242.269428,1399538,32953,1,SA,1,100,0.000127
1701220242.803441,1400072,32988,1,SA,1,100,0.000054
1701220244.202476,1401471,33423,1,SA,1,100,0.000783
1701220246.335530,1403604,33558,1,SA,1,100,0.000029
1701220249.534610,1406803,34125,1,SA,1,100,0.000218
1701220250.134625,1407403,34192,1,SA,1,100,0.000130
1701220258.734841,1416003,35573,1,SA,1,100,0.000112
1701220259.334856,1416603,35626,1,SA,1,100,0.000047
1701220259.933871,1417202,35713,1,SA,1,100,0.000014
1701220268.800093,1426068,37204,1,SA,1,100,0.000157
1701220269.401108,1426669,37336,1,SA,1,100,0.000195
1701220270.334132,1427602,37390,1,SA,1,100,0.000007
1701220276.133277,1433401,38300,1,SA,1,100,0.000011
1701220277.266305,1434534,38500,1,SA,1,100,0.000002
1701220277.600314,1434868,38567,1,SA,1,100,0.000044
1701220277.933322,1435201,38670,1,SA,1,100,0.000194
1701220278.666341,1435934,38755,1,SA,1,100,0.000067
1701220279.466361,1436734,38855,1,SA,1,100,0.000022
1701220283.265456,1440533,39736,1,SA,1,100,0.001096
1701220285.266506,1442534,39804,1,SA,1,100,0.000050
1701220289.398610,1446666,40570,1,SA,1,100,0.000253
1701220301.931924,1459199,42541,1,SA,1,100,0.011804
1701220325.463514,1482730,46314,1,SA,1,100,0.000002
1701220333.195708,1490462,47586,1,SA,1,100,0.000010
1701220348.661096,1505927,50226,1,SA,1,100,0.000347
1701220350.061131,1507327,50295,1,SA,1,100,0.000052
1701220353.528218,1510794,50979,1,SA,1,100,0.000449
1701220354.527243,1511793,51147,1,SA,1,100,0.000555
