LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1701220221.270901,1378540.000,29478,1,SF,1,100,18.0614
1701220221.603909,1378873.000,29527,1,SF,1,100,17.8524
1701220222.003920,1379273.000,29594,1,SF,1,100,17.6459
1701220222.270926,1379540.000,29646,1,SF,1,100,19.5240
1701220222.603935,1379873.000,29695,1,SF,1,100,19.2982
1701220223.003945,1380273.000,29762,1,SF,1,100,19.0749
1701220223.270951,1380540.000,29812,1,SF,1,100,18.8543
1701220223.603960,1380873.000,29862,1,SF,1,100,18.6362
1701220223.936968,1381206.000,29911,1,SF,1,100,18.4206
1701220224.336978,1381606.000,29963,1,SF,1,100,18.2075
1701220224.603985,1381873.000,30012,1,SF,1,100,17.9969
1701220224.936993,1382206.000,30060,1,SF,1,100,17.7887
1701220225.337003,1382606.000,30128,1,SF,1,100,19.6652
1701220225.670012,1382939.000,30180,1,SF,1,100,21.5199
1701220225.937018,1383206.000,30228,1,SF,1,100,21.2710
1701220226.270026,1383539.000,30277,1,SF,1,100,21.0249
1701220226.670037,1383939.000,30344,1,SF,1,100,22.8639
1701220226.937043,1384206.000,30394,1,SF,1,100,22.5995
1701220227.270051,1384539.000,30443,1,SF,1,100,22.3380
1701220227.603060,1384872.000,30491,1,SF,1,100,22.0796
1701220228.003070,1385272.000,30558,1,SF,1,100,21.8242
1701220228.270077,1385539.000,30609,1,SF,1,100,21.5717
1701220228.603085,1385872.000,30657,1,SF,1,100,21.3222
1701220229.003095,1386272.000,30722,1,SF,1,100,21.0755
1701220229.270102,1386539.000,30773,1,SF,1,100,22.9140
1701220229.670112,1386939.000,30829,1,SF,1,100,22.6489
1701220229.936118,1387205.000,30877,1,SF,1,100,22.3869
1701220230.270127,1387539.000,30928,1,SF,1,100,22.1279
1701220230.670137,1387939.000,30994,1,SF,1,100,21.8720
1701220231.003145,1388272.000,31043,1,SF,1,100,21.6189
