LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1701220221.603909,1378873,29629,1,SR,1,100,0.466667
1701220224.136973,1381406,30095,1,SR,1,100,0.866667
1701220225.136998,1382406,30130,1,SR,1,100,0.133333
1701220226.337028,1383606,30312,1,SR,1,100,0.066667
1701220228.270077,1385539,30755,1,SR,1,100,0.866667
1701220237.270302,1394539,32154,1,SR,1,100,0.533333
1701220237.936319,1395205,32192,1,SR,1,100,0.066667
1701220238.136324,1395405,32225,1,SR,1,100,0.066667
1701220238.469332,1395738,32278,1,SR,1,100,0.066667
1701220239.335354,1396604,32483,1,SR,1,100,0.466667
1701220240.069373,1397338,32600,1,SR,1,100,0.466667
1701220240.669388,1397938,32634,1,SR,1,100,0.066667
1701220240.869393,1398138,32687,1,SR,1,100,0.133333
1701220241.269403,1398538,32786,1,SR,1,100,0.333333
1701220241.869418,1399138,32853,1,SR,1,100,0.133333
1701220242.269428,1399538,32954,1,SR,1,100,0.400000
1701220242.803441,1400072,32989,1,SR,1,100,0.066667
1701220244.202476,1401471,33424,1,SR,1,100,1.333333
1701220246.335530,1403604,33559,1,SR,1,100,0.066667
1701220249.534610,1406803,34126,1,SR,1,100,0.466667
1701220250.134625,1407403,34193,1,SR,1,100,0.200000
1701220258.734841,1416003,35574,1,SR,1,100,0.466667
1701220259.334856,1416603,35627,1,SR,1,100,0.200000
1701220259.933871,1417202,35714,1,SR,1,100,0.133333
1701220268.800093,1426068,37205,1,SR,1,100,0.466667
1701220269.401108,1426669,37337,1,SR,1,100,0.666667
1701220270.334132,1427602,37391,1,SR,1,100,0.066667
1701220276.133277,1433401,38301,1,SR,1,100,0.066667
1701220277.266305,1434534,38501,1,SR,1,100,0.133333
1701220277.600314,1434868,38568,1,SR,1,100,0.200000
1701220277.933322,1435201,38671,1,SR,1,100,0.466667
1701220278.666341,1435934,38756,1,SR,1,100,0.266667
1701220279.466361,1436734,38856,1,SR,1,100,0.066667
1701220283.265456,1440533,39737,1,SR,1,100,1.600000
1701220285.266506,1442534,39805,1,SR,1,100,0.066667
1701220289.398610,1446666,40571,1,SR,1,100,0.666667
1701220301.931924,1459199,42542,1,SR,1,100,0.400000
1701220325.463514,1482730,46315,1,SR,1,100,0.133333
1701220333.195708,1490462,47587,1,SR,1,100,0.200000
1701220348.661096,1505927,50227,1,SR,1,100,1.133333
1701220350.061131,1507327,50296,1,SR,1,100,0.133333
1701220353.528218,1510794,50980,1,SR,1,100,0.866667
1701220354.527243,1511793,51148,1,SR,1,100,0.866667
