LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1701220220.996894,1378266.000,29450,1,T1,1,100,33.351
1701220221.129898,1378399.000,29467,1,T1,1,100,33.329
1701220221.263901,1378533.000,29484,1,T1,1,100,33.391
1701220221.396904,1378666.000,29501,1,T1,1,100,33.453
1701220221.529908,1378799.000,29533,1,T1,1,100,33.550
1701220221.663911,1378933.000,29549,1,T1,1,100,33.486
1701220221.796914,1379066.000,29566,1,T1,1,100,33.388
1701220221.929918,1379199.000,29600,1,T1,1,100,33.416
1701220222.063921,1379333.000,29616,1,T1,1,100,33.464
1701220222.196924,1379466.000,29635,1,T1,1,100,33.413
1701220222.329928,1379599.000,29667,1,T1,1,100,33.427
1701220222.463931,1379733.000,29683,1,T1,1,100,33.433
1701220222.596934,1379866.000,29701,1,T1,1,100,33.329
1701220222.729938,1379999.000,29732,1,T1,1,100,33.213
1701220222.863941,1380133.000,29748,1,T1,1,100,33.305
1701220222.996944,1380266.000,29768,1,T1,1,100,33.345
1701220223.129948,1380399.000,29801,1,T1,1,100,33.362
1701220223.263951,1380533.000,29818,1,T1,1,100,33.405
1701220223.396955,1380666.000,29835,1,T1,1,100,33.423
1701220223.529958,1380799.000,29851,1,T1,1,100,33.360
1701220223.663961,1380933.000,29883,1,T1,1,100,33.333
1701220223.796964,1381066.000,29900,1,T1,1,100,33.321
1701220223.929968,1381199.000,29917,1,T1,1,100,33.281
1701220224.063971,1381333.000,29948,1,T1,1,100,33.228
1701220224.196975,1381466.000,29969,2,T1,1,100,33.382
1701220224.329978,1381599.000,29969,2,T1,1,100,33.343
1701220224.463981,1381733.000,30000,1,T1,1,100,33.326
1701220224.596985,1381866.000,30018,1,T1,1,100,33.318
1701220224.729988,1381999.000,30034,1,T1,1,100,33.350
1701220224.863991,1382133.000,30066,1,T1,1,100,33.400
1701220224.996994,1382266.000,30083,1,T1,1,100,33.492
1701220225.129998,1382399.000,30101,1,T1,1,100,33.319
1701220225.263001,1382532.000,30118,1,T1,1,100,33.315
1701220225.397005,1382666.000,30152,1,T1,1,100,33.385
1701220225.530008,1382799.000,30168,1,T1,1,100,33.273
