LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1701220221.011895,1378281.000,29451,1,TH,1,100,32.607
1701220221.144898,1378414.000,29468,1,TH,1,100,32.695
1701220221.278901,1378548.000,29485,1,TH,1,100,32.688
1701220221.411905,1378681.000,29516,1,TH,1,100,32.578
1701220221.544908,1378814.000,29534,1,TH,1,100,32.585
1701220221.678911,1378948.000,29550,1,TH,1,100,32.629
1701220221.811915,1379081.000,29567,1,TH,1,100,32.629
1701220221.944918,1379214.000,29601,1,TH,1,100,32.627
1701220222.078921,1379348.000,29617,1,TH,1,100,32.627
1701220222.211925,1379481.000,29636,1,TH,1,100,32.612
1701220222.344928,1379614.000,29668,1,TH,1,100,32.612
1701220222.478931,1379748.000,29684,1,TH,1,100,32.686
1701220222.611935,1379881.000,29702,1,TH,1,100,32.685
1701220222.744938,1380014.000,29733,1,TH,1,100,32.639
1701220222.878942,1380148.000,29749,1,TH,1,100,32.639
1701220223.011945,1380281.000,29769,1,TH,1,100,32.629
1701220223.144948,1380414.000,29802,1,TH,1,100,32.629
1701220223.278951,1380548.000,29819,1,TH,1,100,32.656
1701220223.411955,1380681.000,29836,1,TH,1,100,32.656
1701220223.544958,1380814.000,29868,1,TH,1,100,32.624
1701220223.678962,1380948.000,29884,1,TH,1,100,32.624
1701220223.811965,1381081.000,29901,1,TH,1,100,32.605
1701220223.944968,1381214.000,29918,1,TH,1,100,32.605
1701220224.077971,1381347.000,29949,1,TH,1,100,32.658
1701220224.211475,1381480.500,29970,2,TH,1,100,32.658
1701220224.344978,1381614.000,29970,2,TH,1,100,32.563
1701220224.477982,1381747.000,30001,1,TH,1,100,32.563
1701220224.611985,1381881.000,30019,1,TH,1,100,32.597
1701220224.744988,1382014.000,30035,1,TH,1,100,32.597
1701220224.878992,1382148.000,30067,1,TH,1,100,32.597
1701220225.011995,1382281.000,30084,1,TH,1,100,32.597
1701220225.144998,1382414.000,30102,1,TH,1,100,32.592
1701220225.279002,1382548.000,30136,1,TH,1,100,32.592
1701220225.412005,1382681.000,30153,1,TH,1,100,32.612
1701220225.545008,1382814.000,30169,1,TH,1,100,32.612
1701220225.679012,1382948.000,30187,1,TH,1,100,32.649
1701220225.812015,1383081.000,30218,1,TH,1,100,32.649
1701220225.945018,1383214.000,30235,1,TH,1,100,32.683
1701220226.078022,1383347.000,30252,1,TH,1,100,32.683
1701220226.212025,1383481.000,30284,1,TH,1,100,32.685
1701220226.345028,1383614.000,30300,1,TH,1,100,32.685
1701220226.478032,1383747.000,30319,1,TH,1,100,32.678
1701220226.612035,1383881.000,30351,1,TH,1,100,32.678
1701220226.745039,1384014.000,30367,1,TH,1,100,32.710
1701220226.878042,1384147.000,30384,1,TH,1,100,32.710
1701220227.011045,1384280.000,30416,1,TH,1,100,32.610
1701220227.145048,1384414.000,30432,1,TH,1,100,32.617
1701220227.278052,1384547.000,30450,1,TH,1,100,32.626
1701220227.412055,1384681.000,30481,1,TH,1,100,32.619
1701220227.545058,1384814.000,30498,1,TH,1,100,32.688
1701220227.678062,1384947.000,30515,1,TH,1,100,32.688
1701220227.812065,1385081.000,30531,1,TH,1,100,32.710
1701220227.945069,1385214.000,30565,1,TH,1,100,32.710
1701220228.078072,1385347.000,30582,1,TH,1,100,32.663
1701220228.211075,1385480.000,30598,1,TH,1,100,32.663
1701220228.345078,1385614.000,30630,1,TH,1,100,32.671
1701220228.478082,1385747.000,30647,1,TH,1,100,32.671
1701220228.611085,1385880.000,30664,1,TH,1,100,32.673
1701220228.745089,1386014.000,30695,1,TH,1,100,32.673
1701220228.878092,1386147.000,30712,1,TH,1,100,32.722
1701220229.011095,1386280.000,30729,1,TH,1,100,32.729
1701220229.145099,1386414.000,30762,1,TH,1,100,32.690
1701220229.278102,1386547.000,30780,1,TH,1,100,32.683
1701220229.411105,1386680.000,30802,1,TH,1,100,32.751
1701220229.545109,1386814.000,30818,1,TH,1,100,32.751
1701220229.678112,1386947.000,30836,1,TH,1,100,32.636
1701220229.811115,1387080.000,30867,1,TH,1,100,32.643
1701220229.945119,1387214.000,30884,1,TH,1,100,32.612
1701220230.078122,1387347.000,30901,1,TH,1,100,32.612
1701220230.211125,1387480.000,30935,1,TH,1,100,32.568
1701220230.345129,1387614.000,30951,1,TH,1,100,32.568
1701220230.478132,1387747.000,30968,1,TH,1,100,32.634
1701220230.611135,1387880.000,31000,1,TH,1,100,32.634
1701220230.745139,1388014.000,31016,1,TH,1,100,32.597
1701220230.878142,1388147.000,31033,1,TH,1,100,32.597
1701220231.011145,1388280.000,31050,1,TH,1,100,32.749
1701220231.144149,1388413.000,31081,1,TH,1,100,32.749
1701220231.278152,1388547.000,31099,1,TH,1,100,32.671
1701220231.411155,1388680.000,31115,1,TH,1,100,32.671
1701220231.545159,1388814.000,31147,1,TH,1,100,32.656
1701220231.678162,1388947.000,31164,1,TH,1,100,32.656
1701220231.811166,1389080.000,31180,1,TH,1,100,32.732
1701220231.944169,1389213.000,31212,1,TH,1,100,32.732
1701220232.078172,1389347.000,31229,1,TH,1,100,32.658
1701220232.211175,1389480.000,31245,1,TH,1,100,32.658
1701220232.345179,1389614.000,31277,1,TH,1,100,32.680
1701220232.478182,1389747.000,31294,1,TH,1,100,32.680
1701220232.611186,1389880.000,31311,1,TH,1,100,32.678
1701220232.744189,1390013.000,31342,1,TH,1,100,32.678
1701220232.878192,1390147.000,31360,1,TH,1,100,32.712
1701220233.011196,1390280.000,31378,1,TH,1,100,32.712
1701220233.144199,1390413.000,31395,1,TH,1,100,32.663
1701220233.278202,1390547.000,31427,1,TH,1,100,32.663
1701220233.411206,1390680.000,31443,1,TH,1,100,32.717
1701220233.544209,1390813.000,31460,1,TH,1,100,32.717
1701220233.678212,1390947.000,31492,1,TH,1,100,32.668
1701220233.811216,1391080.000,31508,1,TH,1,100,32.668
1701220233.944219,1391213.000,31528,1,TH,1,100,32.636
1701220234.078222,1391347.000,31559,1,TH,1,100,32.636
1701220234.211226,1391480.000,31575,1,TH,1,100,32.688
1701220234.344229,1391613.000,31593,1,TH,1,100,32.688
1701220234.477732,1391746.500,31630,2,TH,1,100,32.658
1701220234.611236,1391880.000,31630,2,TH,1,100,32.658
1701220234.744239,1392013.000,31661,1,TH,1,100,32.634
1701220234.878242,1392147.000,31679,1,TH,1,100,32.634
1701220235.011246,1392280.000,31697,1,TH,1,100,32.680
1701220235.144249,1392413.000,31728,1,TH,1,100,32.680
1701220235.277252,1392546.000,31745,1,TH,1,100,32.594
1701220235.411256,1392680.000,31764,1,TH,1,100,32.594
1701220235.544259,1392813.000,31796,1,TH,1,100,32.585
1701220235.677263,1392946.000,31812,1,TH,1,100,32.585
1701220235.811266,1393080.000,31829,1,TH,1,100,32.631
1701220235.944269,1393213.000,31863,1,TH,1,100,32.631
1701220236.077272,1393346.000,31879,1,TH,1,100,32.643
1701220236.211276,1393480.000,31896,1,TH,1,100,32.643
1701220236.344279,1393613.000,31913,1,TH,1,100,32.675
1701220236.477283,1393746.000,31944,1,TH,1,100,32.675
1701220236.611286,1393880.000,31962,1,TH,1,100,32.741
1701220236.744289,1394013.000,31978,1,TH,1,100,32.741
1701220236.877293,1394146.000,32010,1,TH,1,100,32.626
1701220237.011296,1394280.000,32027,1,TH,1,100,32.626
1701220237.144299,1394413.000,32043,1,TH,1,100,32.594
1701220237.277303,1394546.000,32075,1,TH,1,100,32.594
1701220237.410306,1394679.000,32094,1,TH,1,100,32.700
1701220237.544309,1394813.000,32110,1,TH,1,100,32.707
1701220237.677313,1394946.000,32142,1,TH,1,100,32.582
1701220237.811316,1395080.000,32161,1,TH,1,100,32.582
1701220237.944319,1395213.000,32178,1,TH,1,100,32.599
1701220238.077323,1395346.000,32199,1,TH,1,100,32.599
1701220238.210326,1395479.000,32233,1,TH,1,100,32.570
1701220238.343829,1395612.500,32250,2,TH,1,100,32.570
1701220238.477333,1395746.000,32250,2,TH,1,100,32.670
1701220238.611336,1395880.000,32286,1,TH,1,100,32.670
