LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1701220224.245976,1381515.000,29960,1,TL,1,100,2023-11-28_20-10-19-203130
1701220229.360104,1386629.000,30790,1,TL,1,100,2023-11-28_20-10-24-378638
1701220229.365104,1386634.000,30792,1,TL,1,100,2023-11-28_20-10-24-423103
1701220234.494233,1391763.000,31617,1,TL,1,100,2023-11-28_20-10-29-417314
1701220234.500233,1391769.000,31619,1,TL,1,100,2023-11-28_20-10-29-863160
1701220239.636362,1396905.000,32442,1,TL,1,100,2023-11-28_20-10-34-517493
1701220239.638362,1396907.000,32444,1,TL,1,100,2023-11-28_20-10-34-647812
1701220239.684363,1396953.000,32447,1,TL,1,100,2023-11-28_20-10-39-659182
1701220244.754490,1402023.000,33286,1,TL,1,100,2023-11-28_20-10-39-732919
1701220244.803491,1402072.000,33289,1,TL,1,100,2023-11-28_20-10-44-799053
1701220249.862618,1407131.000,34102,1,TL,1,100,2023-11-28_20-10-44-898637
1701220249.896619,1407165.000,34105,1,TL,1,100,2023-11-28_20-10-49-880619
1701220254.970746,1412239.000,34876,1,TL,1,100,2023-11-28_20-10-50-078040
1701220260.092875,1417361.000,35708,1,TL,1,100,2023-11-28_20-10-55-394183
1701220265.204003,1422472.000,36538,1,TL,1,100,2023-11-28_20-11-00-161958
1701220265.207003,1422475.000,36540,1,TL,1,100,2023-11-28_20-11-00-367142
1701220265.256004,1422524.000,36543,1,TL,1,100,2023-11-28_20-11-05-248232
1701220270.329132,1427597.000,37370,1,TL,1,100,2023-11-28_20-11-05-346466
1701220275.437260,1432705.000,38179,1,TL,1,100,2023-11-28_20-11-10-465833
1701220275.443260,1432711.000,38181,1,TL,1,100,2023-11-28_20-11-10-477205
1701220275.513262,1432781.000,38184,1,TL,1,100,2023-11-28_20-11-15-508151
1701220280.555388,1437823.000,39020,1,TL,1,100,2023-11-28_20-11-15-597307
1701220280.621390,1437889.000,39023,1,TL,1,100,2023-11-28_20-11-20-612846
1701220285.675516,1442943.000,39854,1,TL,1,100,2023-11-28_20-11-20-712082
1701220285.716517,1442984.000,39857,1,TL,1,100,2023-11-28_20-11-25-710972
1701220290.803645,1448071.000,40688,1,TL,1,100,2023-11-28_20-11-25-831884
1701220295.922773,1453190.000,41513,1,TL,1,100,2023-11-28_20-11-30-969414
1701220295.926774,1453194.000,41515,1,TL,1,100,2023-11-28_20-11-30-969674
1701220301.075903,1458343.000,42339,1,TL,1,100,2023-11-28_20-11-35-987681
1701220301.080903,1458348.000,42341,1,TL,1,100,2023-11-28_20-11-36-097083
1701220306.208031,1463475.000,43168,1,TL,1,100,2023-11-28_20-11-41-201284
1701220306.214031,1463481.000,43170,1,TL,1,100,2023-11-28_20-11-41-215632
1701220306.233032,1463500.000,43173,1,TL,1,100,2023-11-28_20-11-46-229527
1701220311.312159,1468579.000,43991,1,TL,1,100,2023-11-28_20-11-46-402042
1701220311.375161,1468642.000,43994,1,TL,1,100,2023-11-28_20-11-51-327926
1701220316.420288,1473687.000,44811,1,TL,1,100,2023-11-28_20-11-51-455887
1701220321.566417,1478833.000,45647,1,TL,1,100,2023-11-28_20-11-56-459067
1701220321.568417,1478835.000,45649,1,TL,1,100,2023-11-28_20-11-56-684961
1701220326.696545,1483963.000,46479,1,TL,1,100,2023-11-28_20-12-01-832512
1701220326.698545,1483965.000,46481,1,TL,1,100,2023-11-28_20-12-01-845866
1701220331.814674,1489081.000,47312,1,TL,1,100,2023-11-28_20-12-07-623796
1701220331.816674,1489083.000,47314,1,TL,1,100,2023-11-28_20-12-07-637691
1701220336.925802,1494192.000,48146,1,TL,1,100,2023-11-28_20-12-12-409617
1701220336.931802,1494198.000,48148,1,TL,1,100,2023-11-28_20-12-12-410080
1701220336.949802,1494216.000,48151,1,TL,1,100,2023-11-28_20-12-16-945536
1701220342.056931,1499323.000,48974,1,TL,1,100,2023-11-28_20-12-17-068553
1701220342.071931,1499338.000,48977,1,TL,1,100,2023-11-28_20-12-22-064931
1701220347.165059,1504431.000,49789,1,TL,1,100,2023-11-28_20-12-22-236082
1701220352.285187,1509551.000,50624,1,TL,1,100,2023-11-28_20-12-27-218364
1701220352.291187,1509557.000,50626,1,TL,1,100,2023-11-28_20-12-27-312987
1701220357.412316,1514678.000,51462,1,TL,1,100,2023-11-28_20-12-32-684734
1701220357.414316,1514680.000,51464,1,TL,1,100,2023-11-28_20-12-32-700991
1701220362.529444,1519795.000,52292,1,TL,1,100,2023-11-28_20-12-38-217332
1701220362.532444,1519798.000,52294,1,TL,1,100,2023-11-28_20-12-38-218097
