RD,TS_received,TS_sent,AK,RoundTrip,
1381518,1386629,2023-11-28_20-10-24-378638,1386630,5111,
1386636,1391763,2023-11-28_20-10-29-417314,1391768,5127,
1391771,1396905,2023-11-28_20-10-34-517493,1396906,5134,
1396909,1396953,2023-11-28_20-10-39-659182,1396954,44,
1402025,1402072,2023-11-28_20-10-44-799053,1402074,47,
1407133,1407165,2023-11-28_20-10-49-880619,1407166,32,
1412241,1417361,2023-11-28_20-10-55-394183,1417365,5120,
1417365,1422472,2023-11-28_20-11-00-161958,1422473,5107,
1422476,1422524,2023-11-28_20-11-05-248232,1422525,48,
1427599,1432705,2023-11-28_20-11-10-465833,1432706,5106,
1432713,1432781,2023-11-28_20-11-15-508151,1432782,68,
1437825,1437889,2023-11-28_20-11-20-612846,1437891,64,
1442948,1442984,2023-11-28_20-11-25-710972,1442985,36,
1448073,1453190,2023-11-28_20-11-30-969414,1453193,5117,
1453196,1458343,2023-11-28_20-11-35-987681,1458347,5147,
1458350,1463475,2023-11-28_20-11-41-201284,1463479,5125,
1463482,1463500,2023-11-28_20-11-46-229527,1463501,18,
1468582,1468642,2023-11-28_20-11-51-327926,1468644,60,
1473688,1478833,2023-11-28_20-11-56-459067,1478834,5145,
1478839,1483963,2023-11-28_20-12-01-832512,1483964,5124,
1483967,1489081,2023-11-28_20-12-07-623796,1489082,5114,
1489085,1494192,2023-11-28_20-12-12-409617,1494193,5107,
1494199,1494216,2023-11-28_20-12-16-945536,1494217,17,
1499324,1499338,2023-11-28_20-12-22-064931,1499342,14,
1504435,1509551,2023-11-28_20-12-27-218364,1509556,5116,
1509559,1514678,2023-11-28_20-12-32-684734,1514679,5119,
1514682,1519795,2023-11-28_20-12-38-217332,1519797,5113,
1519800,
