LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709872533.729886,961652.000,26391,2,AK,1,100,25600
1709872533.729886,961652.000,26391,2,AK,1,100,RD
1709872533.732386,961654.500,26393,2,AK,1,100,25600
1709872533.734886,961657.000,26393,2,AK,1,100,RD
1709872533.751886,961674.000,26396,2,AK,1,100,26394
1709872533.768886,961691.000,26396,2,AK,1,100,RD
1709872536.305415,964227.500,27242,2,AK,1,100,26394
1709872538.841944,966764.000,27242,2,AK,1,100,RD
1709872538.848944,966771.000,27245,2,AK,1,100,27243
1709872538.855945,966778.000,27245,2,AK,1,100,RD
1709872541.402974,969325.000,28098,2,AK,1,100,27243
1709872543.950003,971872.000,28098,2,AK,1,100,RD
1709872546.511032,974433.000,28943,2,AK,1,100,28099
1709872549.072061,976994.000,28943,2,AK,1,100,RD
1709872549.073061,976995.000,28945,2,AK,1,100,28099
1709872549.074061,976996.000,28945,2,AK,1,100,RD
1709872551.636591,979558.500,29788,2,AK,1,100,28946
1709872554.199120,982121.000,29788,2,AK,1,100,RD
1709872554.200620,982122.500,29790,2,AK,1,100,28946
1709872554.202120,982124.000,29790,2,AK,1,100,RD
1709872554.208620,982130.500,29793,2,AK,1,100,29791
1709872554.215120,982137.000,29793,2,AK,1,100,RD
1709872556.761149,984683.000,30641,2,AK,1,100,29791
1709872559.307178,987229.000,30641,2,AK,1,100,RD
1709872559.327679,987249.500,30644,2,AK,1,100,30642
1709872559.348179,987270.000,30644,2,AK,1,100,RD
1709872561.881208,989803.000,31482,2,AK,1,100,30642
1709872564.414237,992336.000,31482,2,AK,1,100,RD
1709872566.980266,994902.000,32327,2,AK,1,100,31483
1709872569.546295,997468.000,32327,2,AK,1,100,RD
1709872569.548295,997470.000,32329,2,AK,1,100,31483
1709872569.550296,997472.000,32329,2,AK,1,100,RD
1709872569.568796,997490.500,32332,2,AK,1,100,32330
1709872569.587296,997509.000,32332,2,AK,1,100,RD
1709872572.119825,1000041.500,33175,2,AK,1,100,32330
1709872574.652354,1002574.000,33175,2,AK,1,100,RD
1709872574.669354,1002591.000,33178,2,AK,1,100,33176
1709872574.686354,1002608.000,33178,2,AK,1,100,RD
1709872577.225383,1005147.000,34008,2,AK,1,100,33176
1709872579.764412,1007686.000,34008,2,AK,1,100,RD
1709872579.787913,1007709.500,34011,2,AK,1,100,34009
1709872579.811413,1007733.000,34011,2,AK,1,100,RD
1709872582.348442,1010270.000,34840,2,AK,1,100,34009
1709872584.885471,1012807.000,34840,2,AK,1,100,RD
1709872584.891971,1012813.500,34843,2,AK,1,100,34841
1709872584.898471,1012820.000,34843,2,AK,1,100,RD
1709872587.448000,1015369.500,35674,2,AK,1,100,34841
1709872589.997529,1017919.000,35674,2,AK,1,100,RD
1709872592.552058,1020473.500,36456,2,AK,1,100,35675
1709872595.106588,1023028.000,36456,2,AK,1,100,RD
1709872595.158588,1023080.000,36459,2,AK,1,100,36457
1709872595.210589,1023132.000,36459,2,AK,1,100,RD
1709872597.724618,1025646.000,37307,2,AK,1,100,36457
1709872600.238646,1028160.000,37307,2,AK,1,100,RD
1709872600.258147,1028179.500,37310,2,AK,1,100,37308
1709872600.277647,1028199.000,37310,2,AK,1,100,RD
1709872602.829676,1030751.000,38158,2,AK,1,100,37308
1709872605.381705,1033303.000,38158,2,AK,1,100,RD
1709872605.391705,1033313.000,38161,2,AK,1,100,38159
1709872605.401706,1033323.000,38161,2,AK,1,100,RD
1709872607.954235,1035875.500,38997,2,AK,1,100,38159
1709872610.506764,1038428.000,38997,2,AK,1,100,RD
1709872613.063793,1040985.000,39821,2,AK,1,100,38998
1709872615.620822,1043542.000,39821,2,AK,1,100,RD
1709872615.629822,1043551.000,39824,2,AK,1,100,39822
1709872615.638822,1043560.000,39824,2,AK,1,100,RD
1709872618.190351,1046111.500,40666,2,AK,1,100,39822
1709872620.741881,1048663.000,40666,2,AK,1,100,RD
1709872623.311910,1051233.000,41511,2,AK,1,100,40667
1709872625.881940,1053803.000,41511,2,AK,1,100,RD
1709872625.884940,1053806.000,41513,2,AK,1,100,40667
1709872625.887940,1053809.000,41513,2,AK,1,100,RD
1709872625.894940,1053816.000,41516,2,AK,1,100,41514
1709872625.901940,1053823.000,41516,2,AK,1,100,RD
1709872628.478469,1056399.500,42343,2,AK,1,100,42341
1709872631.054999,1058976.000,42343,2,AK,1,100,RD
1709872633.580528,1061501.500,43183,2,AK,1,100,42341
1709872636.106056,1064027.000,43183,2,AK,1,100,RD
1709872638.676086,1066597.000,44015,2,AK,1,100,43184
1709872641.246115,1069167.000,44015,2,AK,1,100,RD
1709872641.247615,1069168.500,44017,2,AK,1,100,43184
1709872641.249115,1069170.000,44017,2,AK,1,100,RD
1709872641.261115,1069182.000,44020,2,AK,1,100,44018
1709872641.273115,1069194.000,44020,2,AK,1,100,RD
1709872643.833145,1071754.000,44867,2,AK,1,100,44018
1709872646.393174,1074314.000,44867,2,AK,1,100,RD
1709872648.946203,1076867.000,45706,2,AK,1,100,44868
1709872651.499233,1079420.000,45706,2,AK,1,100,RD
1709872651.500732,1079421.500,45708,2,AK,1,100,44868
1709872651.502233,1079423.000,45708,2,AK,1,100,RD
1709872651.554233,1079475.000,45711,2,AK,1,100,45709
1709872651.606234,1079527.000,45711,2,AK,1,100,RD
1709872654.119262,1082040.000,46552,2,AK,1,100,45709
1709872656.632291,1084553.000,46552,2,AK,1,100,RD
1709872656.640791,1084561.500,46555,2,AK,1,100,46553
1709872656.649291,1084570.000,46555,2,AK,1,100,RD
1709872659.207821,1087128.500,47391,2,AK,1,100,46553
1709872661.766350,1089687.000,47391,2,AK,1,100,RD
1709872661.774350,1089695.000,47394,2,AK,1,100,47392
1709872661.782350,1089703.000,47394,2,AK,1,100,RD
1709872664.335879,1092256.500,48238,2,AK,1,100,47392
1709872666.889408,1094810.000,48238,2,AK,1,100,RD
1709872669.456938,1097377.500,49084,2,AK,1,100,48239
1709872672.024467,1099945.000,49084,2,AK,1,100,RD
1709872672.027467,1099948.000,49086,2,AK,1,100,48239
1709872672.030467,1099951.000,49086,2,AK,1,100,RD
1709872674.590997,1102511.500,49933,2,AK,1,100,49087
1709872677.151526,1105072.000,49933,2,AK,1,100,RD
1709872677.152526,1105073.000,49935,2,AK,1,100,49087
1709872677.153526,1105074.000,49935,2,AK,1,100,RD
1709872677.169026,1105089.500,49938,2,AK,1,100,49936
1709872677.184526,1105105.000,49938,2,AK,1,100,RD
1709872679.735555,1107656.000,50761,2,AK,1,100,49936
1709872682.286584,1110207.000,50761,2,AK,1,100,RD
1709872682.300585,1110221.000,50764,2,AK,1,100,50762
1709872682.314585,1110235.000,50764,2,AK,1,100,RD
1709872684.865614,1112786.000,51604,2,AK,1,100,50762
1709872687.416643,1115337.000,51604,2,AK,1,100,RD
1709872687.438643,1115359.000,51607,2,AK,1,100,51605
1709872687.460644,1115381.000,51607,2,AK,1,100,RD
1709872690.006673,1117927.000,52449,2,AK,1,100,51605
1709872692.552702,1120473.000,52449,2,AK,1,100,RD
1709872692.591202,1120511.500,52452,2,AK,1,100,52450
1709872692.629703,1120550.000,52452,2,AK,1,100,RD
1709872695.154732,1123075.000,53300,2,AK,1,100,52450
1709872697.679760,1125600.000,53300,2,AK,1,100,RD
1709872697.720261,1125640.500,53303,2,AK,1,100,53301
