LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1709872535.177902,963100.000,26656,1,B%,1,100,22
1709872540.177960,968100.000,27486,1,B%,1,100,22
1709872545.177017,973099.000,28315,1,B%,1,100,22
1709872550.177074,978099.000,29133,1,B%,1,100,22
1709872555.176131,983098.000,29979,1,B%,1,100,22
1709872560.176188,988098.000,30809,1,B%,1,100,22
1709872565.175246,993097.000,31624,1,B%,1,100,22
1709872570.175303,998097.000,32449,1,B%,1,100,21
1709872575.174360,1003096.000,33279,1,B%,1,100,22
1709872580.174417,1008096.000,34083,1,B%,1,100,21
1709872585.173474,1013095.000,34894,1,B%,1,100,21
1709872590.173531,1018095.000,35713,1,B%,1,100,22
1709872595.172588,1023094.000,36478,1,B%,1,100,21
1709872600.172646,1028094.000,37305,1,B%,1,100,21
1709872605.171703,1033093.000,38139,1,B%,1,100,22
1709872610.171760,1038093.000,38961,1,B%,1,100,22
1709872615.170817,1043092.000,39771,1,B%,1,100,21
1709872620.170874,1048092.000,40580,1,B%,1,100,21
1709872625.169931,1053091.000,41411,1,B%,1,100,21
1709872630.169989,1058091.000,42242,1,B%,1,100,21
1709872635.169046,1063090.000,43049,1,B%,1,100,22
1709872640.169103,1068090.000,43850,1,B%,1,100,21
1709872645.168160,1073089.000,44679,1,B%,1,100,22
1709872650.168217,1078089.000,45500,1,B%,1,100,21
1709872655.167274,1083088.000,46318,1,B%,1,100,22
1709872660.167331,1088088.000,47141,1,B%,1,100,21
1709872665.166389,1093087.000,47970,1,B%,1,100,22
1709872670.166446,1098087.000,48781,1,B%,1,100,21
1709872675.165503,1103086.000,49610,1,B%,1,100,21
1709872680.165560,1108086.000,50443,1,B%,1,100,21
1709872685.164617,1113085.000,51254,1,B%,1,100,21
1709872690.164675,1118085.000,52061,1,B%,1,100,21
1709872695.163732,1123084.000,52895,1,B%,1,100,21
1709872700.163789,1128084.000,53720,1,B%,1,100,22
1709872705.162846,1133083.000,54525,1,B%,1,100,20
1709872710.162903,1138083.000,55362,1,B%,1,100,21
