LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709872531.480860,959403,26016,1,BI,1,100,1560
1709872532.719874,960642,26218,1,BI,1,100,1240
1709872533.640885,961563,26372,1,BI,1,100,920
1709872534.279892,962202,26481,1,BI,1,100,640
1709872534.959900,962882,26601,1,BI,1,100,680
1709872535.359905,963282,26672,1,BI,1,100,400
1709872536.572918,964495,26873,1,BI,1,100,1200
1709872538.332939,966255,27158,1,BI,1,100,1760
1709872539.132948,967055,27298,1,BI,1,100,800
1709872542.905991,970828,27924,1,BI,1,100,3760
1709872543.385996,971308,28011,1,BI,1,100,480
1709872545.626022,973548,28367,1,BI,1,100,2240
1709872546.146028,974068,28453,1,BI,1,100,520
1709872548.519055,976441,28856,1,BI,1,100,2360
1709872553.532112,981454,29670,1,BI,1,100,5000
1709872557.092153,985014,30264,1,BI,1,100,3560
1709872557.731160,985653,30383,1,BI,1,100,640
1709872558.585170,986507,30515,1,BI,1,100,840
1709872559.145176,987067,30618,1,BI,1,100,560
1709872564.158234,992080,31443,1,BI,1,100,5000
1709872564.717240,992639,31518,1,BI,1,100,560
1709872565.677251,993599,31690,1,BI,1,100,960
1709872566.477260,994399,31824,1,BI,1,100,800
1709872572.050324,999972,32754,1,BI,1,100,5560
1709872573.210337,1001132,32936,1,BI,1,100,1160
1709872576.783378,1004705,33516,1,BI,1,100,3560
1709872576.863379,1004785,33532,1,BI,1,100,80
1709872577.343385,1005265,33621,1,BI,1,100,480
1709872579.303407,1007225,33926,1,BI,1,100,1960
1709872587.688503,1015610,35297,1,BI,1,100,8360
1709872588.288510,1016210,35400,1,BI,1,100,600
1709872589.288521,1017210,35554,1,BI,1,100,1000
1709872591.221543,1019143,35863,1,BI,1,100,1920
1709872603.047678,1030969,37760,1,BI,1,100,11800
1709872604.167691,1032089,37947,1,BI,1,100,1120
1709872605.087702,1033009,38102,1,BI,1,100,920
1709872610.059759,1037981,38909,1,BI,1,100,4960
1709872610.580765,1038502,39000,1,BI,1,100,520
1709872612.073782,1039995,39252,1,BI,1,100,1480
1709872613.352796,1041274,39453,1,BI,1,100,1280
1709872617.645845,1045567,40145,1,BI,1,100,4280
1709872624.538924,1052460,41290,1,BI,1,100,6880
1709872629.671983,1057593,42137,1,BI,1,100,5120
1709872632.392014,1060313,42561,1,BI,1,100,2720
1709872633.805030,1061726,42797,1,BI,1,100,1400
1709872637.924077,1065845,43467,1,BI,1,100,4120
1709872644.710155,1072631,44573,1,BI,1,100,6760
1709872645.471164,1073392,44713,1,BI,1,100,760
1709872646.070170,1073991,44814,1,BI,1,100,600
1709872649.670212,1077591,45395,1,BI,1,100,3600
1709872651.043227,1078964,45638,1,BI,1,100,1360
1709872661.469347,1089390,47340,1,BI,1,100,10400
1709872664.828385,1092749,47900,1,BI,1,100,3360
1709872668.721429,1096642,48529,1,BI,1,100,3880
1709872671.281459,1099202,48951,1,BI,1,100,2560
1709872676.254515,1104175,49782,1,BI,1,100,4960
1709872683.240595,1111161,50917,1,BI,1,100,6960
1709872686.079628,1114000,51389,1,BI,1,100,2840
1709872692.572702,1120493,52454,1,BI,1,100,6480
1709872698.918775,1126839,53503,1,BI,1,100,6320
1709872705.011844,1132932,54491,1,BI,1,100,6080
1709872705.931855,1133852,54647,1,BI,1,100,920
1709872706.931866,1134852,54815,1,BI,1,100,1000
1709872708.411883,1136332,55055,1,BI,1,100,1480
1709872712.384928,1140305,55714,1,BI,1,100,3960
