LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1709872535.177902,963100.000,26655,1,BV,1,100,3.55
1709872540.177960,968100.000,27485,1,BV,1,100,3.55
1709872545.177017,973099.000,28314,1,BV,1,100,3.55
1709872550.177074,978099.000,29132,1,BV,1,100,3.55
1709872555.176131,983098.000,29978,1,BV,1,100,3.54
1709872560.176188,988098.000,30808,1,BV,1,100,3.55
1709872565.175246,993097.000,31623,1,BV,1,100,3.55
1709872570.175303,998097.000,32448,1,BV,1,100,3.54
1709872575.174360,1003096.000,33278,1,BV,1,100,3.55
1709872580.174417,1008096.000,34082,1,BV,1,100,3.54
1709872585.173474,1013095.000,34893,1,BV,1,100,3.54
1709872590.173531,1018095.000,35712,1,BV,1,100,3.55
1709872595.172588,1023094.000,36477,1,BV,1,100,3.54
1709872600.172646,1028094.000,37304,1,BV,1,100,3.54
1709872605.171703,1033093.000,38138,1,BV,1,100,3.54
1709872610.171760,1038093.000,38960,1,BV,1,100,3.54
1709872615.170817,1043092.000,39770,1,BV,1,100,3.54
1709872620.170874,1048092.000,40579,1,BV,1,100,3.54
1709872625.169931,1053091.000,41410,1,BV,1,100,3.54
1709872630.169989,1058091.000,42241,1,BV,1,100,3.54
1709872635.169046,1063090.000,43048,1,BV,1,100,3.55
1709872640.169103,1068090.000,43849,1,BV,1,100,3.54
1709872645.168160,1073089.000,44678,1,BV,1,100,3.54
1709872650.168217,1078089.000,45499,1,BV,1,100,3.54
1709872655.167274,1083088.000,46317,1,BV,1,100,3.54
1709872660.167331,1088088.000,47140,1,BV,1,100,3.54
1709872665.166389,1093087.000,47969,1,BV,1,100,3.55
1709872670.166446,1098087.000,48780,1,BV,1,100,3.54
1709872675.165503,1103086.000,49609,1,BV,1,100,3.54
1709872680.165560,1108086.000,50442,1,BV,1,100,3.54
1709872685.164617,1113085.000,51253,1,BV,1,100,3.54
1709872690.164675,1118085.000,52060,1,BV,1,100,3.54
1709872695.163732,1123084.000,52894,1,BV,1,100,3.54
1709872700.163789,1128084.000,53719,1,BV,1,100,3.54
1709872705.162846,1133083.000,54524,1,BV,1,100,3.54
1709872710.162903,1138083.000,55361,1,BV,1,100,3.54
