LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709872531.345859,959268.000,25988,2,EA,1,100,0.043657
1709872531.345859,959268.000,25988,2,EA,1,100,0.043641
1709872531.412859,959335.000,26005,1,EA,1,100,0.043641
1709872531.479360,959401.500,26022,2,EA,1,100,0.043650
1709872531.545861,959468.000,26022,2,EA,1,100,0.043636
1709872531.612862,959535.000,26039,1,EA,1,100,0.043633
1709872531.679363,959601.500,26055,2,EA,1,100,0.043624
1709872531.745863,959668.000,26055,2,EA,1,100,0.043636
1709872531.812864,959735.000,26072,1,EA,1,100,0.043647
1709872531.879365,959801.500,26089,2,EA,1,100,0.043637
1709872531.945866,959868.000,26089,2,EA,1,100,0.043627
1709872532.012866,959935.000,26106,1,EA,1,100,0.043632
1709872532.079367,960001.500,26122,2,EA,1,100,0.043641
1709872532.145868,960068.000,26122,2,EA,1,100,0.043650
1709872532.212869,960135.000,26140,1,EA,1,100,0.043658
1709872532.279369,960201.500,26154,2,EA,1,100,0.043658
1709872532.345870,960268.000,26154,2,EA,1,100,0.043672
1709872532.412871,960335.000,26171,1,EA,1,100,0.043688
1709872532.479372,960401.500,26188,2,EA,1,100,0.043697
1709872532.545872,960468.000,26188,2,EA,1,100,0.043692
1709872532.612873,960535.000,26207,1,EA,1,100,0.043677
1709872532.679374,960601.500,26223,2,EA,1,100,0.043674
1709872532.745875,960668.000,26223,2,EA,1,100,0.043681
1709872532.811875,960734.000,26240,1,EA,1,100,0.043694
1709872532.878876,960801.000,26257,2,EA,1,100,0.043695
1709872532.945877,960868.000,26257,2,EA,1,100,0.043699
1709872533.012878,960935.000,26274,1,EA,1,100,0.043710
1709872533.079379,961001.500,26291,2,EA,1,100,0.043714
1709872533.145879,961068.000,26291,2,EA,1,100,0.043702
1709872533.212380,961134.500,26308,2,EA,1,100,0.043684
1709872533.278881,961201.000,26308,2,EA,1,100,0.043688
1709872533.345881,961268.000,26324,1,EA,1,100,0.043694
1709872533.412382,961334.500,26341,2,EA,1,100,0.043708
1709872533.478883,961401.000,26341,2,EA,1,100,0.043710
1709872533.545884,961468.000,26360,1,EA,1,100,0.043708
1709872533.612385,961534.500,26377,2,EA,1,100,0.043699
1709872533.678885,961601.000,26377,2,EA,1,100,0.043711
1709872533.745886,961668.000,26400,1,EA,1,100,0.043720
1709872533.812387,961734.500,26420,2,EA,1,100,0.043715
1709872533.878888,961801.000,26420,2,EA,1,100,0.043717
1709872533.945889,961868.000,26436,1,EA,1,100,0.043724
1709872534.012389,961934.500,26451,2,EA,1,100,0.043727
1709872534.078890,962001.000,26451,2,EA,1,100,0.043740
1709872534.145891,962068.000,26467,1,EA,1,100,0.043751
1709872534.212391,962134.500,26487,2,EA,1,100,0.043756
1709872534.278892,962201.000,26487,2,EA,1,100,0.043769
1709872534.345893,962268.000,26503,1,EA,1,100,0.043773
1709872534.412394,962334.500,26520,2,EA,1,100,0.043762
1709872534.478894,962401.000,26520,2,EA,1,100,0.043759
1709872534.545895,962468.000,26537,1,EA,1,100,0.043753
1709872534.612396,962534.500,26554,2,EA,1,100,0.043769
1709872534.678897,962601.000,26554,2,EA,1,100,0.043771
1709872534.745898,962668.000,26572,1,EA,1,100,0.043765
1709872534.812398,962734.500,26589,2,EA,1,100,0.043767
