LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709872531.345859,959268.000,25989,2,EL,1,100,12384.400391
1709872531.345859,959268.000,25989,2,EL,1,100,12396.000000
1709872531.412859,959335.000,26006,1,EL,1,100,12396.400391
1709872531.479360,959401.500,26023,2,EL,1,100,12390.000000
1709872531.545861,959468.000,26023,2,EL,1,100,12400.200195
1709872531.612862,959535.000,26040,1,EL,1,100,12402.200195
1709872531.679363,959601.500,26056,2,EL,1,100,12408.400391
1709872531.745863,959668.000,26056,2,EL,1,100,12399.799805
1709872531.812864,959735.000,26073,1,EL,1,100,12392.200195
1709872531.879365,959801.500,26090,2,EL,1,100,12399.200195
1709872531.945866,959868.000,26090,2,EL,1,100,12406.599609
1709872532.012866,959935.000,26107,1,EL,1,100,12402.599609
1709872532.079367,960001.500,26123,2,EL,1,100,12396.000000
1709872532.145868,960068.000,26123,2,EL,1,100,12389.799805
1709872532.212869,960135.000,26141,1,EL,1,100,12384.000000
1709872532.279369,960201.500,26155,2,EL,1,100,12384.000000
1709872532.345870,960268.000,26155,2,EL,1,100,12373.799805
1709872532.412871,960335.000,26172,1,EL,1,100,12361.799805
1709872532.479372,960401.500,26189,2,EL,1,100,12355.200195
1709872532.545872,960468.000,26189,2,EL,1,100,12358.799805
1709872532.612873,960535.000,26208,1,EL,1,100,12370.200195
1709872532.679374,960601.500,26224,2,EL,1,100,12372.000000
1709872532.745875,960668.000,26224,2,EL,1,100,12366.599609
1709872532.811875,960734.000,26241,1,EL,1,100,12357.599609
1709872532.878876,960801.000,26258,2,EL,1,100,12356.400391
1709872532.945877,960868.000,26258,2,EL,1,100,12353.799805
1709872533.012878,960935.000,26275,1,EL,1,100,12346.000000
1709872533.079379,961001.500,26292,2,EL,1,100,12342.799805
1709872533.145879,961068.000,26292,2,EL,1,100,12351.200195
1709872533.212380,961134.500,26309,2,EL,1,100,12365.000000
1709872533.278881,961201.000,26309,2,EL,1,100,12361.799805
1709872533.345881,961268.000,26325,1,EL,1,100,12357.400391
1709872533.412382,961334.500,26342,2,EL,1,100,12346.799805
1709872533.478883,961401.000,26342,2,EL,1,100,12345.400391
1709872533.545884,961468.000,26361,1,EL,1,100,12347.400391
1709872533.612385,961534.500,26378,2,EL,1,100,12354.000000
1709872533.678885,961601.000,26378,2,EL,1,100,12344.799805
1709872533.745886,961668.000,26401,1,EL,1,100,12338.599609
1709872533.812387,961734.500,26421,2,EL,1,100,12342.000000
1709872533.878888,961801.000,26421,2,EL,1,100,12340.599609
1709872533.945889,961868.000,26437,1,EL,1,100,12335.599609
1709872534.012389,961934.500,26452,2,EL,1,100,12333.000000
1709872534.078890,962001.000,26452,2,EL,1,100,12323.599609
1709872534.145891,962068.000,26468,1,EL,1,100,12315.599609
1709872534.212391,962134.500,26488,2,EL,1,100,12312.200195
1709872534.278892,962201.000,26488,2,EL,1,100,12302.799805
1709872534.345893,962268.000,26504,1,EL,1,100,12299.799805
1709872534.412394,962334.500,26521,2,EL,1,100,12307.400391
1709872534.478894,962401.000,26521,2,EL,1,100,12310.000000
1709872534.545895,962468.000,26538,1,EL,1,100,12314.000000
1709872534.612396,962534.500,26555,2,EL,1,100,12302.400391
1709872534.678897,962601.000,26555,2,EL,1,100,12300.799805
1709872534.745898,962668.000,26573,1,EL,1,100,12305.400391
1709872534.812398,962734.500,26590,2,EL,1,100,12303.799805
1709872534.878899,962801.000,26590,2,EL,1,100,12305.799805
1709872534.945400,962867.500,26607,2,EL,1,100,12311.200195
1709872535.011901,962934.000,26607,2,EL,1,100,12301.000000
1709872535.078901,963001.000,26626,1,EL,1,100,12301.200195
1709872535.145402,963067.500,26643,2,EL,1,100,12302.599609
1709872535.211903,963134.000,26643,2,EL,1,100,12304.599609
1709872535.278904,963201.000,26662,1,EL,1,100,12305.000000
1709872535.345404,963267.500,26678,2,EL,1,100,12288.000000
1709872535.411905,963334.000,26678,2,EL,1,100,12283.200195
1709872535.478906,963401.000,26695,1,EL,1,100,12283.000000
1709872535.545407,963467.500,26714,2,EL,1,100,12282.400391
1709872535.611907,963534.000,26714,2,EL,1,100,12285.599609
1709872535.678908,963601.000,26731,1,EL,1,100,12284.200195
1709872535.745409,963667.500,26745,2,EL,1,100,12282.400391
1709872535.811910,963734.000,26745,2,EL,1,100,12276.400391
1709872535.878911,963801.000,26763,1,EL,1,100,12271.200195
1709872535.945411,963867.500,26781,2,EL,1,100,12272.799805
1709872536.011912,963934.000,26781,2,EL,1,100,12279.200195
1709872536.078913,964001.000,26798,1,EL,1,100,12280.599609
1709872536.145414,964067.500,26813,2,EL,1,100,12274.200195
1709872536.211914,964134.000,26813,2,EL,1,100,12262.799805
1709872536.278915,964201.000,26830,1,EL,1,100,12249.000000
1709872536.345416,964267.500,26846,2,EL,1,100,12252.599609
1709872536.411917,964334.000,26846,2,EL,1,100,12247.599609
1709872536.478917,964401.000,26863,1,EL,1,100,12239.799805
1709872536.545418,964467.500,26880,2,EL,1,100,12230.599609
1709872536.611919,964534.000,26880,2,EL,1,100,12231.200195
1709872536.678920,964601.000,26899,1,EL,1,100,12231.200195
1709872536.745420,964667.500,26915,2,EL,1,100,12231.599609
1709872536.811921,964734.000,26915,2,EL,1,100,12229.599609
1709872536.878922,964801.000,26933,1,EL,1,100,12224.400391
1709872536.945423,964867.500,26948,2,EL,1,100,12230.799805
1709872537.011924,964934.000,26948,2,EL,1,100,12232.599609
1709872537.078924,965001.000,26964,1,EL,1,100,12230.000000
1709872537.145425,965067.500,26981,2,EL,1,100,12229.599609
1709872537.211926,965134.000,26981,2,EL,1,100,12231.599609
1709872537.278426,965200.500,26998,2,EL,1,100,12239.799805
1709872537.344927,965267.000,26998,2,EL,1,100,12232.200195
1709872537.411928,965334.000,27014,1,EL,1,100,12233.599609
1709872537.478429,965400.500,27032,2,EL,1,100,12228.599609
1709872537.544930,965467.000,27032,2,EL,1,100,12233.799805
1709872537.611930,965534.000,27048,1,EL,1,100,12240.400391
1709872537.678431,965600.500,27065,2,EL,1,100,12244.400391
1709872537.744932,965667.000,27065,2,EL,1,100,12240.000000
1709872537.811933,965734.000,27081,1,EL,1,100,12240.000000
1709872537.878433,965800.500,27097,2,EL,1,100,12247.799805
1709872537.944934,965867.000,27097,2,EL,1,100,12241.599609
1709872538.011935,965934.000,27113,1,EL,1,100,12238.799805
1709872538.078436,966000.500,27130,2,EL,1,100,12239.200195
1709872538.144936,966067.000,27130,2,EL,1,100,12240.000000
1709872538.211937,966134.000,27147,1,EL,1,100,12235.200195
1709872538.278438,966200.500,27164,2,EL,1,100,12239.000000
1709872538.344939,966267.000,27164,2,EL,1,100,12240.200195
1709872538.411939,966334.000,27180,1,EL,1,100,12238.000000
1709872538.478440,966400.500,27198,2,EL,1,100,12231.599609
1709872538.544941,966467.000,27198,2,EL,1,100,12225.400391
1709872538.611942,966534.000,27214,1,EL,1,100,12228.599609
1709872538.678442,966600.500,27230,2,EL,1,100,12212.799805
1709872538.744943,966667.000,27230,2,EL,1,100,12207.599609
1709872538.811944,966734.000,27250,1,EL,1,100,12213.599609
1709872538.878445,966800.500,27270,2,EL,1,100,12213.799805
1709872538.944946,966867.000,27270,2,EL,1,100,12209.799805
1709872539.011946,966934.000,27286,1,EL,1,100,12201.000000
