LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709872531.244858,959167.000,25981,4,EM,1,100,RS
1709872531.244858,959167.000,25981,4,EM,1,100,RB
1709872531.244858,959167.000,25981,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872531.244858,959167.000,25981,4,EM,1,100,PS
1709872531.295108,959217.250,26001,4,EM,1,100,RS
1709872531.345359,959267.500,26001,4,EM,1,100,RB
1709872531.395609,959317.750,26001,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872531.445860,959368.000,26001,4,EM,1,100,PS
1709872531.496110,959418.250,26035,4,EM,1,100,RS
1709872531.546361,959468.500,26035,4,EM,1,100,RB
1709872531.596611,959518.750,26035,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872531.646862,959569.000,26035,4,EM,1,100,PS
1709872531.697113,959619.250,26068,4,EM,1,100,RS
1709872531.747363,959669.500,26068,4,EM,1,100,RB
1709872531.797614,959719.750,26068,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872531.847864,959770.000,26068,4,EM,1,100,PS
1709872531.898115,959820.250,26102,4,EM,1,100,RS
1709872531.948366,959870.500,26102,4,EM,1,100,RB
1709872531.998616,959920.750,26102,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872532.048867,959971.000,26102,4,EM,1,100,PS
1709872532.099117,960021.250,26135,4,EM,1,100,RS
1709872532.149368,960071.500,26135,4,EM,1,100,RB
1709872532.199618,960121.750,26135,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872532.249869,960172.000,26135,4,EM,1,100,PS
1709872532.300120,960222.250,26167,4,EM,1,100,RS
1709872532.350370,960272.500,26167,4,EM,1,100,RB
1709872532.400621,960322.750,26167,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872532.450871,960373.000,26167,4,EM,1,100,PS
1709872532.501622,960423.750,26201,4,EM,1,100,RS
1709872532.552372,960474.500,26201,4,EM,1,100,RB
1709872532.603123,960525.250,26201,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872532.653874,960576.000,26201,4,EM,1,100,PS
1709872532.704124,960626.250,26236,4,EM,1,100,RS
1709872532.754375,960676.500,26236,4,EM,1,100,RB
1709872532.804625,960726.750,26236,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872532.854876,960777.000,26236,4,EM,1,100,PS
1709872532.905127,960827.250,26270,4,EM,1,100,RS
1709872532.955377,960877.500,26270,4,EM,1,100,RB
1709872533.005628,960927.750,26270,4,EM,1,100,2024-03-07_23-35-30-738298.csv
1709872533.055878,960978.000,26270,4,EM,1,100,PS
1709872533.106129,961028.250,26303,4,EM,1,100,RS
