LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1709872531.332859,959255.000,25996,3,GY,1,100,-0.824
1709872531.332859,959255.000,25996,3,GY,1,100,-0.610
1709872531.332859,959255.000,25996,3,GY,1,100,-0.031
1709872531.372859,959295.000,26011,2,GY,1,100,0.153
1709872531.412859,959335.000,26011,2,GY,1,100,0.366
1709872531.452860,959375.000,26030,3,GY,1,100,0.702
1709872531.492860,959415.000,26030,3,GY,1,100,0.488
1709872531.532861,959455.000,26030,3,GY,1,100,-0.092
1709872531.573195,959495.333,26047,3,GY,1,100,-0.641
1709872531.613528,959535.667,26047,3,GY,1,100,-0.275
1709872531.653862,959576.000,26047,3,GY,1,100,-0.580
1709872531.687363,959609.500,26063,2,GY,1,100,0.397
1709872531.720863,959643.000,26063,2,GY,1,100,0.580
1709872531.760864,959683.000,26078,3,GY,1,100,0.458
1709872531.800864,959723.000,26078,3,GY,1,100,0.000
1709872531.840864,959763.000,26078,3,GY,1,100,-0.580
1709872531.880865,959803.000,26097,3,GY,1,100,-0.488
1709872531.920865,959843.000,26097,3,GY,1,100,-0.824
1709872531.960866,959883.000,26097,3,GY,1,100,-0.275
1709872532.000866,959923.000,26114,2,GY,1,100,-0.580
1709872532.040867,959963.000,26114,2,GY,1,100,-0.519
1709872532.080867,960003.000,26130,3,GY,1,100,-0.580
1709872532.120867,960043.000,26130,3,GY,1,100,-0.214
1709872532.160868,960083.000,26130,3,GY,1,100,0.000
1709872532.200868,960123.000,26146,2,GY,1,100,0.519
1709872532.240869,960163.000,26146,2,GY,1,100,0.183
1709872532.280869,960203.000,26162,3,GY,1,100,-0.183
1709872532.320870,960243.000,26162,3,GY,1,100,-0.336
1709872532.360870,960283.000,26162,3,GY,1,100,-0.732
1709872532.400871,960323.000,26179,2,GY,1,100,0.031
1709872532.440871,960363.000,26179,2,GY,1,100,0.214
1709872532.480872,960403.000,26196,3,GY,1,100,0.031
1709872532.520872,960443.000,26196,3,GY,1,100,-0.214
1709872532.560873,960483.000,26196,3,GY,1,100,0.214
1709872532.600873,960523.000,26213,2,GY,1,100,0.427
1709872532.640873,960563.000,26213,2,GY,1,100,0.214
1709872532.680874,960603.000,26231,3,GY,1,100,-0.397
1709872532.720874,960643.000,26231,3,GY,1,100,-0.519
1709872532.760875,960683.000,26231,3,GY,1,100,-0.549
1709872532.800875,960723.000,26248,2,GY,1,100,-0.427
1709872532.840876,960763.000,26248,2,GY,1,100,-0.397
1709872532.880876,960803.000,26265,3,GY,1,100,-0.092
1709872532.920877,960843.000,26265,3,GY,1,100,0.275
1709872532.960877,960883.000,26265,3,GY,1,100,-0.122
1709872533.000878,960923.000,26281,2,GY,1,100,-0.244
1709872533.040878,960963.000,26281,2,GY,1,100,-0.092
1709872533.080878,961003.000,26298,3,GY,1,100,-0.061
1709872533.120879,961043.000,26298,3,GY,1,100,-0.153
1709872533.160879,961083.000,26298,3,GY,1,100,-0.031
1709872533.200547,961122.667,26316,3,GY,1,100,-0.061
1709872533.240214,961162.333,26316,3,GY,1,100,-0.610
1709872533.279881,961202.000,26316,3,GY,1,100,-0.488
1709872533.319881,961242.000,26332,2,GY,1,100,-0.214
1709872533.359882,961282.000,26332,2,GY,1,100,-0.153
1709872533.400216,961322.333,26349,3,GY,1,100,-0.977
1709872533.440549,961362.667,26349,3,GY,1,100,-2.319
1709872533.480883,961403.000,26349,3,GY,1,100,-1.282
1709872533.520384,961442.500,26366,2,GY,1,100,0.092
1709872533.559884,961482.000,26366,2,GY,1,100,0.763
1709872533.600218,961522.333,26385,3,GY,1,100,0.610
1709872533.640552,961562.667,26385,3,GY,1,100,0.061
1709872533.680885,961603.000,26385,3,GY,1,100,-0.732
1709872533.715886,961638.000,26408,3,GY,1,100,-1.221
1709872533.750886,961673.000,26408,3,GY,1,100,-1.007
1709872533.785887,961708.000,26408,3,GY,1,100,-0.366
1709872533.826387,961748.500,26428,2,GY,1,100,-0.458
1709872533.866888,961789.000,26428,2,GY,1,100,0.122
1709872533.906555,961828.667,26442,3,GY,1,100,0.275
1709872533.946222,961868.333,26442,3,GY,1,100,0.702
1709872533.985889,961908.000,26442,3,GY,1,100,0.763
1709872534.026389,961948.500,26459,2,GY,1,100,0.214
1709872534.066890,961989.000,26459,2,GY,1,100,-0.580
1709872534.106890,962029.000,26475,3,GY,1,100,-0.641
1709872534.146891,962069.000,26475,3,GY,1,100,-0.519
1709872534.186891,962109.000,26475,3,GY,1,100,-0.671
1709872534.226892,962149.000,26495,2,GY,1,100,-1.251
1709872534.266892,962189.000,26495,2,GY,1,100,-1.068
1709872534.306559,962228.667,26509,3,GY,1,100,-0.580
1709872534.346226,962268.333,26509,3,GY,1,100,-0.031
1709872534.385893,962308.000,26509,3,GY,1,100,-0.580
1709872534.425894,962348.000,26528,2,GY,1,100,-0.549
1709872534.465894,962388.000,26528,2,GY,1,100,-0.458
1709872534.505895,962428.000,26545,3,GY,1,100,-0.641
1709872534.545895,962468.000,26545,3,GY,1,100,-0.183
1709872534.585896,962508.000,26545,3,GY,1,100,0.397
1709872534.626230,962548.333,26562,3,GY,1,100,1.038
1709872534.666563,962588.667,26562,3,GY,1,100,1.526
1709872534.706897,962629.000,26562,3,GY,1,100,1.495
1709872534.746397,962668.500,26579,2,GY,1,100,0.702
1709872534.785898,962708.000,26579,2,GY,1,100,0.519
1709872534.825898,962748.000,26596,3,GY,1,100,-0.153
1709872534.865899,962788.000,26596,3,GY,1,100,-0.122
1709872534.905899,962828.000,26596,3,GY,1,100,-0.031
1709872534.945900,962868.000,26614,2,GY,1,100,0.000
1709872534.985900,962908.000,26614,2,GY,1,100,0.153
1709872535.025901,962948.000,26633,3,GY,1,100,0.824
1709872535.065901,962988.000,26633,3,GY,1,100,1.160
1709872535.105902,963028.000,26633,3,GY,1,100,0.549
1709872535.145902,963068.000,26650,2,GY,1,100,-0.244
1709872535.185903,963108.000,26650,2,GY,1,100,-0.427
