LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709872531.480860,959403,26017,1,HR,1,100,51
1709872532.719874,960642,26219,1,HR,1,100,50
1709872533.640885,961563,26373,1,HR,1,100,53
1709872534.279892,962202,26482,1,HR,1,100,62
1709872534.959900,962882,26602,1,HR,1,100,68
1709872535.359905,963282,26673,1,HR,1,100,86
1709872536.572918,964495,26874,1,HR,1,100,78
1709872538.332939,966255,27159,1,HR,1,100,68
1709872539.132948,967055,27299,1,HR,1,100,70
1709872542.905991,970828,27925,1,HR,1,100,58
1709872543.385996,971308,28012,1,HR,1,100,73
1709872545.626022,973548,28368,1,HR,1,100,63
1709872546.146028,974068,28454,1,HR,1,100,74
1709872548.519055,976441,28857,1,HR,1,100,63
1709872553.532112,981454,29671,1,HR,1,100,52
1709872557.092153,985014,30265,1,HR,1,100,44
1709872557.731160,985653,30384,1,HR,1,100,55
1709872558.585170,986507,30516,1,HR,1,100,59
1709872559.145176,987067,30619,1,HR,1,100,70
1709872564.158234,992080,31444,1,HR,1,100,57
1709872564.717240,992639,31519,1,HR,1,100,68
1709872565.677251,993599,31691,1,HR,1,100,67
1709872566.477260,994399,31825,1,HR,1,100,69
1709872572.050324,999972,32755,1,HR,1,100,56
1709872573.210337,1001132,32937,1,HR,1,100,55
1709872576.783378,1004705,33517,1,HR,1,100,46
1709872576.863379,1004785,33533,1,HR,1,100,203
1709872577.343385,1005265,33622,1,HR,1,100,185
1709872579.303407,1007225,33927,1,HR,1,100,151
1709872587.688503,1015610,35298,1,HR,1,100,119
1709872588.288510,1016210,35401,1,HR,1,100,115
1709872589.288521,1017210,35555,1,HR,1,100,103
1709872591.221543,1019143,35864,1,HR,1,100,87
1709872603.047678,1030969,37761,1,HR,1,100,69
1709872604.167691,1032089,37948,1,HR,1,100,65
1709872605.087702,1033009,38103,1,HR,1,100,65
1709872610.059759,1037981,38910,1,HR,1,100,53
1709872610.580765,1038502,39001,1,HR,1,100,67
1709872612.073782,1039995,39253,1,HR,1,100,61
1709872613.352796,1041274,39454,1,HR,1,100,58
1709872617.645845,1045567,40146,1,HR,1,100,48
1709872624.538924,1052460,41291,1,HR,1,100,39
1709872629.671983,1057593,42138,1,HR,1,100,33
1709872632.392014,1060313,42562,1,HR,1,100,31
1709872633.805030,1061726,42798,1,HR,1,100,33
1709872637.924077,1065845,43468,1,HR,1,100,29
1709872644.710155,1072631,44574,1,HR,1,100,25
1709872645.471164,1073392,44714,1,HR,1,100,37
1709872646.070170,1073991,44815,1,HR,1,100,51
1709872649.670212,1077591,45396,1,HR,1,100,43
1709872651.043227,1078964,45639,1,HR,1,100,43
1709872661.469347,1089390,47341,1,HR,1,100,35
1709872664.828385,1092749,47901,1,HR,1,100,31
1709872668.721429,1096642,48530,1,HR,1,100,28
1709872671.281459,1099202,48952,1,HR,1,100,27
1709872676.254515,1104175,49783,1,HR,1,100,24
1709872683.240595,1111161,50918,1,HR,1,100,20
1709872686.079628,1114000,51390,1,HR,1,100,20
1709872692.572702,1120493,52455,1,HR,1,100,18
1709872698.918775,1126839,53504,1,HR,1,100,16
1709872705.011844,1132932,54492,1,HR,1,100,15
1709872705.931855,1133852,54648,1,HR,1,100,26
1709872706.931866,1134852,54816,1,HR,1,100,33
1709872708.411883,1136332,55056,1,HR,1,100,35
1709872712.384928,1140305,55715,1,HR,1,100,31
